group, subj_id, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,1721367125452,train,1,[1 -2 0],1 3 8,3,1326 12193 3431,49 49 32,0 1,16950,90,1553799596.005,Thu Mar 28 2019 11:59:56 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-2 1 0],1 2 7,3,450 1221 831 2687,50 32 50 32,0 2,5189,-10,1553799603.342,Thu Mar 28 2019 12:00:03 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -2 0],1 3 8,3,425 1832 1719,49 49 32,0 1,3976,90,1553799608.686,Thu Mar 28 2019 12:00:08 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-1 1 0],1 3 8,3,360 1384 1599,49 49 32,0 1,3343,-90,1553799612.973,Thu Mar 28 2019 12:00:12 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-2 1 0],1 2 6,3,592 1417 1872,50 49 32,0 1,3881,-200,1553799617.262,Thu Mar 28 2019 12:00:17 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -2 0],1 4 12,3,815 1560 1657,51 51 32,0 1,4032,-200,1553799622.006,Thu Mar 28 2019 12:00:22 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-2 1 0],1 2 7,3,344 1441 1528 519,50 50 50 32,0 1,3832,-10,1553799626.677,Thu Mar 28 2019 12:00:26 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-2 1 0],1 3 10,3,448 1408 1520,49 51 32,0 1,3376,90,1553799630.622,Thu Mar 28 2019 12:00:30 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -1 0],1 3 10,3,503 1272 1400,49 51 32,0 1,3175,-90,1553799634.341,Thu Mar 28 2019 12:00:34 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -1 0],1 2 6,3,439 1305 1799,50 49 32,0 1,3543,100,1553799638.533,Thu Mar 28 2019 12:00:38 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-1 1 0],1 2 6,3,376 1311 1505,50 49 32,0 1,3192,-100,1553799642.334,Thu Mar 28 2019 12:00:42 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-2 1 0],1 2 5,3,369 1287 1481,50 51 32,0 1,3137,30,1553799645.91,Thu Mar 28 2019 12:00:45 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-1 1 0],1 2 6,3,343 1816 1496,50 49 32,0 1,3655,-100,1553799650.445,Thu Mar 28 2019 12:00:50 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-1 1 0],1 2 5,3,503 2440 1807,50 51 32,0 1,4750,30,1553799655.654,Thu Mar 28 2019 12:00:55 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-2 1 0],1 2 7,3,1159 2128 1553,50 50 32,0 1,4840,-10,1553799661.047,Thu Mar 28 2019 12:01:01 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -1 0],1 2 6,3,4296 2696 1832,50 49 32,0 1,8824,100,1553799677.15,Thu Mar 28 2019 12:01:17 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-2 1 0],1 2 5,3,2023 1321 1696,50 51 32,0 1,5040,30,1553799682.759,Thu Mar 28 2019 12:01:22 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-2 1 0],1 2 5,3,1208 1271 1416,50 51 32,0 1,3895,30,1553799687.213,Thu Mar 28 2019 12:01:27 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -1 0],1 2 6,3,1864 1311 1529,50 49 32,0 1,4704,100,1553799692.326,Thu Mar 28 2019 12:01:32 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-1 1 0],1 2 5,3,3127 1320 1393,50 51 32,0 1,5840,30,1553799698.55,Thu Mar 28 2019 12:01:38 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-2 1 0],1 4 12,3,1384 1352 1704,51 51 32,0 1,4440,100,1553799703.502,Thu Mar 28 2019 12:01:43 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -1 0],1 2 6,3,1616 1295 1423,50 49 32,0 1,4334,100,1553799708.598,Thu Mar 28 2019 12:01:48 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -2 0],1 2 6,3,703 1361 1041,50 49 32,0 1,3105,100,1553799712.15,Thu Mar 28 2019 12:01:52 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -1 0],1 2 6,3,1248 1304 1376,50 49 32,0 1,3928,100,1553799716.966,Thu Mar 28 2019 12:01:56 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-1 1 0],1 2 5,3,784 1296 1463,50 51 32,0 1,3543,30,1553799721.038,Thu Mar 28 2019 12:02:01 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -1 0],1 2 6,3,1165 1369 1374,50 49 32,0 1,3908,100,1553799725.348,Thu Mar 28 2019 12:02:05 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -1 0],1 2 6,3,792 1279 1416,50 49 32,0 1,3487,100,1553799729.358,Thu Mar 28 2019 12:02:09 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-2 1 0],1 4 12,3,1479 1282 1583,51 51 32,0 1,4344,100,1553799735.03,Thu Mar 28 2019 12:02:15 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-2 1 0],1 4 12,3,1048 1295 1415,51 51 32,0 1,3758,100,1553799739.213,Thu Mar 28 2019 12:02:19 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-2 1 0],1 4 12,3,1167 1283 1573,51 51 32,0 1,4023,100,1553799743.613,Thu Mar 28 2019 12:02:23 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -1 0],1 2 6,3,1487 1825 1407,50 49 32,0 1,4719,100,1553799748.99,Thu Mar 28 2019 12:02:28 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -2 0],1 2 6,3,752 1255 1313,50 49 32,0 1,3320,100,1553799752.831,Thu Mar 28 2019 12:02:32 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-1 1 0],1 4 12,3,927 1913 1504,51 51 32,0 1,4344,100,1553799757.622,Thu Mar 28 2019 12:02:37 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -2 0],1 2 6,3,2056 1424 1424,50 49 32,0 1,4904,100,1553799762.942,Thu Mar 28 2019 12:02:42 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -1 0],1 2 6,3,726 1273 1287,50 49 32,0 1,3286,100,1553799766.686,Thu Mar 28 2019 12:02:46 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -2 0],1 2 6,3,1528 1271 1329,50 49 32,0 1,4128,100,1553799771.214,Thu Mar 28 2019 12:02:51 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -2 0],1 2 6,3,527 1344 2224,50 49 32,0 1,4095,100,1553799775.678,Thu Mar 28 2019 12:02:55 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-1 1 0],1 4 12,3,1872 1271 1392,51 51 32,0 1,4535,100,1553799780.798,Thu Mar 28 2019 12:03:00 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -2 0],1 2 6,3,1303 1264 1328,50 49 32,0 1,3895,100,1553799785.086,Thu Mar 28 2019 12:03:05 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-2 1 0],1 4 12,3,1297 1303 1296,51 51 32,0 1,3896,100,1553799789.358,Thu Mar 28 2019 12:03:09 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-1 1 0],1 4 12,3,1095 1160 1249,51 51 32,0 1,3504,100,1553799793.214,Thu Mar 28 2019 12:03:13 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-1 1 0],1 4 12,3,888 1232 1279,51 51 32,0 1,3399,100,1553799796.982,Thu Mar 28 2019 12:03:16 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-2 1 0],1 4 12,3,696 1287 1264,51 51 32,0 1,3247,100,1553799800.557,Thu Mar 28 2019 12:03:20 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -2 0],1 2 6,3,927 1265 1295,50 49 32,0 1,3487,100,1553799804.429,Thu Mar 28 2019 12:03:24 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -1 0],1 2 6,3,551 1328 1281,50 49 32,0 1,3160,100,1553799807.966,Thu Mar 28 2019 12:03:27 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-1 1 0],1 4 12,3,1465 1232 1304,51 51 32,0 1,4001,100,1553799812.734,Thu Mar 28 2019 12:03:32 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-2 1 0],1 4 12,3,1040 1288 1328,51 51 32,0 1,3656,100,1553799816.733,Thu Mar 28 2019 12:03:36 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-1 1 0],1 4 12,3,1167 1239 1545,51 51 32,0 1,3951,100,1553799821.093,Thu Mar 28 2019 12:03:41 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[-2 1 0],1 4 12,3,791 1289 1615,51 51 32,0 1,3695,100,1553799825.142,Thu Mar 28 2019 12:03:45 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -2 0],1 2 6,3,1060 1276 1320,50 49 32,0 1,3656,100,1553799829.118,Thu Mar 28 2019 12:03:49 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -1 0],1 2 6,3,824 1304 1274,50 49 32,0 1,3402,100,1553799833,Thu Mar 28 2019 12:03:53 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -1 0],1 2 6,3,688 1313 1079,50 49 32,0 1,3080,100,1553799836.406,Thu Mar 28 2019 12:03:56 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -2 0],1 2 6,3,1144 1232 1288,50 49 32,0 1,3664,100,1553799840.527,Thu Mar 28 2019 12:04:00 GMT-0700 (Pacific Daylight Time),4
A,1721367125452,train,1,[1 -1 0],1 2 6,3,1032 1328 1248,50 49 32,0 1,3608,100,1553799844.414,Thu Mar 28 2019 12:04:04 GMT-0700 (Pacific Daylight Time),4
