group, subj_id, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,1162819131161,train,1,[-2 1 0],1 2 6,3,3151 12458 3488,51 50 32,0 1,19097,-200,1554082534.26,Sun Mar 31 2019 20:35:34 GMT-0500 (Central Daylight Time),0
A,1162819131161,train,1,[-2 1 0],1 2 7,3,696 4018 3493,51 49 32,0 1,8207,-20,1554082543.802,Sun Mar 31 2019 20:35:43 GMT-0500 (Central Daylight Time),0
A,1162819131161,train,1,[-1 1 0],1 3 8,3,1232 3200 1975,50 51 32,0 1,6407,-90,1554082551.216,Sun Mar 31 2019 20:35:51 GMT-0500 (Central Daylight Time),0
A,1162819131161,train,1,[1 -2 0],1 4 13,3,478 1848 1665,49 49 32,0 1,3991,10,1554082562.072,Sun Mar 31 2019 20:36:02 GMT-0500 (Central Daylight Time),0
A,1162819131161,train,1,[-2 1 0],1 4 13,3,1097 1751 1502,49 49 32,0 1,4350,-20,1554082566.992,Sun Mar 31 2019 20:36:06 GMT-0500 (Central Daylight Time),0
A,1162819131161,train,1,[-2 1 0],1 2 5,3,965 2866 1705,51 51 32,0 1,5536,20,1554082573.016,Sun Mar 31 2019 20:36:13 GMT-0500 (Central Daylight Time),0
A,1162819131161,train,1,[-1 1 0],1 3 9,3,805 2906 3741,50 49 32,0 1,7452,0,1554082581.145,Sun Mar 31 2019 20:36:21 GMT-0500 (Central Daylight Time),0
A,1162819131161,train,1,[-2 1 0],1 2 6,3,874 2266 2447,51 50 32,0 1,5587,-200,1554082587.526,Sun Mar 31 2019 20:36:27 GMT-0500 (Central Daylight Time),0
A,1162819131161,train,1,[-1 1 0],1 2 7,3,3222 1652 3699,51 49 32,0 1,8573,0,1554082596.601,Sun Mar 31 2019 20:36:36 GMT-0500 (Central Daylight Time),0
A,1162819131161,train,1,[-2 1 0],1 2 6,3,1040 1279 1653,51 50 32,0 1,3972,-200,1554082601.964,Sun Mar 31 2019 20:36:41 GMT-0500 (Central Daylight Time),0
A,1162819131161,train,1,[1 -2 0],1 2 7,3,2681 1812 2275,51 49 32,0 1,6768,-20,1554082609.165,Sun Mar 31 2019 20:36:49 GMT-0500 (Central Daylight Time),0
A,1162819131161,train,1,[-1 1 0],1 4 11,3,2078 1649 1495,49 50 32,0 1,5222,0,1554082614.911,Sun Mar 31 2019 20:36:54 GMT-0500 (Central Daylight Time),0
A,1162819131161,train,1,[1 -2 0],1 4 12,3,1199 1473 2703,49 51 32,0 1,5375,-200,1554082620.83,Sun Mar 31 2019 20:37:00 GMT-0500 (Central Daylight Time),0
A,1162819131161,train,1,[1 -1 0],1 2 7,3,1667 1405 1626,51 49 32,0 1,4698,0,1554082625.983,Sun Mar 31 2019 20:37:05 GMT-0500 (Central Daylight Time),0
