group, subj_id, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,1352684039091,train,1,[0 1 0],1 4 13,3,2690 7439 2293 7256,49 32 50 32,0 2,19678,0,1564678391.172,Thu Aug 01 2019 11:53:11 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 1 0],1 3 8,3,1509 3494 2036,51 50 32,0 1,7039,9,1564678399.337,Thu Aug 01 2019 11:53:19 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 3 8,3,833 1694 701 1220,51 32 50 32,0 2,4448,-10,1564678404.527,Thu Aug 01 2019 11:53:24 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 3 8,3,1227 4150 1187 633,51 50 50 32,0 1,7197,-10,1564678412.27,Thu Aug 01 2019 11:53:32 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 1 0],1 4 12,3,571 2329 1985,49 51 32,0 1,4885,-10,1564678417.901,Thu Aug 01 2019 11:53:37 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 2 5,3,929 2316 1147,50 49 32,0 1,4392,0,1564678422.778,Thu Aug 01 2019 11:53:42 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 4 13,3,506 1506 1818 624,49 50 49 32,0 1,4454,0,1564678427.901,Thu Aug 01 2019 11:53:47 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 1 0],1 2 6,3,398 2004 1954,50 50 32,0 1,4356,10,1564678433.182,Thu Aug 01 2019 11:53:53 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 1 0],1 3 10,3,386 1687 1505,51 51 32,0 1,3578,-10,1564678437.476,Thu Aug 01 2019 11:53:57 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 1 0],1 2 5,3,360 1654 1576,50 49 32,0 1,3590,0,1564678441.732,Thu Aug 01 2019 11:54:01 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 2 7,3,409 1445 1514,50 51 32,0 1,3368,-1,1564678445.839,Thu Aug 01 2019 11:54:05 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 2 5,3,543 1814 1843,50 49 32,0 1,4200,0,1564678450.469,Thu Aug 01 2019 11:54:10 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 1 0],1 2 7,3,416 1585 1857,50 51 32,0 1,3858,-1,1564678455.278,Thu Aug 01 2019 11:54:15 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 1 0],1 4 11,3,315 1805 1506 443,49 49 50 32,0 1,4069,0,1564678460.173,Thu Aug 01 2019 11:54:20 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 1 0],1 4 12,3,510 1920 346 2024 315,49 32 51 51 32,0 2,5115,-10,1564678466.924,Thu Aug 01 2019 11:54:26 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 1 0],1 4 13,3,12608 1094 1531,49 50 32,0 1,15233,0,1564678484.255,Thu Aug 01 2019 11:54:44 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 1 0],1 3 10,3,656 1766 1006 1292 1413 342,52 52 51 51 50 32,2 3,6475,-10,1564678491.38,Thu Aug 01 2019 11:54:51 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 2 6,3,502 1401 532 1653,50 32 50 32,0 2,4088,-10,1564678496.105,Thu Aug 01 2019 11:54:56 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 1 0],1 4 11,3,582 1719 803 1698,49 32 49 32,0 2,4802,0,1564678501.788,Thu Aug 01 2019 11:55:01 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 2 5,3,875 1389 2748,50 49 32,0 1,5012,0,1564678507.366,Thu Aug 01 2019 11:55:07 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 3 8,3,545 1626 2268,51 50 32,0 1,4439,-10,1564678512.35,Thu Aug 01 2019 11:55:12 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 1 0],1 4 12,3,271 3134 2932,49 51 32,0 1,6337,-10,1564678519.873,Thu Aug 01 2019 11:55:19 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 2 5,3,419 1684 1083,50 49 32,0 1,3186,0,1564678524.358,Thu Aug 01 2019 11:55:24 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 2 7,3,400 1319 485 300 1592,50 53 52 51 32,0 3,4096,-1,1564678528.967,Thu Aug 01 2019 11:55:28 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 1 0],1 2 7,3,1181 5598 3262,50 51 32,0 1,10041,-1,1564678539.613,Thu Aug 01 2019 11:55:39 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 1 0],1 4 11,3,1126 2280 3759,49 49 32,0 1,7165,0,1564678550.179,Thu Aug 01 2019 11:55:50 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 1 0],1 2 6,3,1760 1778 3453,50 50 32,0 1,6991,10,1564678560.029,Thu Aug 01 2019 11:56:00 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 2 6,3,1815 2079 3849,50 50 32,0 1,7743,-10,1564678568.604,Thu Aug 01 2019 11:56:08 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 3 10,3,1084 1303 5536,51 51 32,0 1,7923,9,1564678577.913,Thu Aug 01 2019 11:56:17 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 1 0],1 2 6,3,1338 1835 2459,50 50 32,0 1,5632,10,1564678585.044,Thu Aug 01 2019 11:56:25 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 1 0],1 2 6,3,745 1292 1845,50 50 32,0 1,3882,10,1564678590.621,Thu Aug 01 2019 11:56:30 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 3 10,3,785 1448 1808,51 51 32,0 1,4041,9,1564678595.999,Thu Aug 01 2019 11:56:35 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 1 0],1 2 6,3,560 1797 2118,50 50 32,0 1,4475,10,1564678601.73,Thu Aug 01 2019 11:56:41 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 1 0],1 2 6,3,907 1420 1620,50 50 32,0 1,3947,10,1564678606.855,Thu Aug 01 2019 11:56:46 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 3 10,3,507 1582 1702,51 51 32,0 1,3791,9,1564678611.856,Thu Aug 01 2019 11:56:51 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 1 0],1 2 6,3,787 1540 1627,50 50 32,0 1,3954,10,1564678616.638,Thu Aug 01 2019 11:56:56 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 3 10,3,416 1860 1625,51 51 32,0 1,3901,9,1564678622.149,Thu Aug 01 2019 11:57:02 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 3 10,3,391 2245 2917,51 51 32,0 1,5553,9,1564678629.518,Thu Aug 01 2019 11:57:09 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 3 10,3,352 1573 1556,51 51 32,0 1,3481,9,1564678634.467,Thu Aug 01 2019 11:57:14 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 3 10,3,1879 1373 378 1399,51 32 51 32,0 2,5029,9,1564678640.272,Thu Aug 01 2019 11:57:20 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 4 11,3,915 1501 1783,49 49 32,0 1,4199,0,1564678645.559,Thu Aug 01 2019 11:57:25 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 3 10,3,336 1323 1961,51 51 32,0 1,3620,9,1564678650.25,Thu Aug 01 2019 11:57:30 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 1 0],1 2 6,3,261 1858 1981,50 50 32,0 1,4100,10,1564678655.29,Thu Aug 01 2019 11:57:35 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 3 10,3,425 1645 2428 489,51 51 51 32,0 1,4987,9,1564678661.254,Thu Aug 01 2019 11:57:41 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 3 10,3,622 1421 1788,51 51 32,0 1,3831,9,1564678666.727,Thu Aug 01 2019 11:57:46 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 1 0],1 2 6,3,506 1246 1808,50 50 32,0 1,3560,10,1564678671.132,Thu Aug 01 2019 11:57:51 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 1 0],1 2 6,3,351 1598 1398,50 50 32,0 1,3347,10,1564678675.421,Thu Aug 01 2019 11:57:55 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 3 10,3,2373 1188 1614,51 51 32,0 1,5175,9,1564678680.97,Thu Aug 01 2019 11:58:00 GMT-0500 (Central Daylight Time),1
A,1352684039091,train,1,[0 0 1],1 3 10,3,569 1655 1702,51 51 32,0 1,3926,9,1564678685.203,Thu Aug 01 2019 11:58:05 GMT-0500 (Central Daylight Time),1
