group, subj_id, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,1934090628675,train,1,[0 0 1],1 4 12,3,15578 18480 4222 5018 16206,49 32 32 49 32,0 3,59504,10,1564783378.125,Fri Aug 02 2019 17:02:58 GMT-0500 (Central Daylight Time),0
A,1934090628675,train,1,[0 0 1],1 2 7,3,3245 2403 1908 6038 4583,50 32 50 51 32,0 2,18177,-1,1564783403.317,Fri Aug 02 2019 17:03:23 GMT-0500 (Central Daylight Time),0
A,1934090628675,train,1,[0 1 0],1 3 8,3,1114 3902 6550,51 51 32,0 1,11566,9,1564783417.737,Fri Aug 02 2019 17:03:37 GMT-0500 (Central Daylight Time),0
A,1934090628675,train,1,[0 0 1],1 4 12,3,2120 1721 860 6962,49 32 49 32,0 2,11663,10,1564783432.459,Fri Aug 02 2019 17:03:52 GMT-0500 (Central Daylight Time),0
A,1934090628675,train,1,[0 1 0],1 4 12,3,1670 2741 4752,49 49 32,0 1,9163,-10,1564783443.297,Fri Aug 02 2019 17:04:03 GMT-0500 (Central Daylight Time),0
A,1934090628675,train,1,[0 0 1],1 4 12,3,3260 1619 2600,49 49 32,0 1,7479,10,1564783451.931,Fri Aug 02 2019 17:04:11 GMT-0500 (Central Daylight Time),0
A,1934090628675,train,1,[0 0 1],1 3 9,3,924 4120 4843,51 49 32,0 1,9887,8,1564783463.405,Fri Aug 02 2019 17:04:23 GMT-0500 (Central Daylight Time),0
A,1934090628675,train,1,[0 1 0],1 2 6,3,2125 2457 3594,50 49 32,0 1,8176,10,1564783473.88,Fri Aug 02 2019 17:04:33 GMT-0500 (Central Daylight Time),0
A,1934090628675,train,1,[0 0 1],1 2 6,3,1508 1679 1589,50 49 32,0 1,4776,-10,1564783479.987,Fri Aug 02 2019 17:04:39 GMT-0500 (Central Daylight Time),0
A,1934090628675,train,1,[0 0 1],1 4 12,3,612 1698 2521,49 49 32,0 1,4831,10,1564783488.283,Fri Aug 02 2019 17:04:48 GMT-0500 (Central Daylight Time),0
A,1934090628675,train,1,[0 0 1],1 4 12,3,911 1887 2457,49 49 32,0 1,5255,10,1564783495.991,Fri Aug 02 2019 17:04:55 GMT-0500 (Central Daylight Time),0
A,1934090628675,train,1,[0 1 0],1 3 10,3,902 3070 3227,51 50 32,0 1,7199,-10,1564783505.003,Fri Aug 02 2019 17:05:05 GMT-0500 (Central Daylight Time),0
A,1934090628675,train,1,[0 0 1],1 3 8,3,756 2301 2135,51 51 32,0 1,5192,-10,1564783511.574,Fri Aug 02 2019 17:05:11 GMT-0500 (Central Daylight Time),0
A,1934090628675,train,1,[0 1 0],1 4 12,3,748 1666 1852,49 49 32,0 1,4266,-10,1564783516.889,Fri Aug 02 2019 17:05:16 GMT-0500 (Central Daylight Time),0
A,1934090628675,train,1,[0 0 1],1 2 6,3,1003 1610 1928,50 49 32,0 1,4541,-10,1564783523.413,Fri Aug 02 2019 17:05:23 GMT-0500 (Central Daylight Time),0
A,1934090628675,train,1,[0 1 0],1 4 12,3,856 4051 2485,49 49 32,0 1,7392,-10,1564783533.145,Fri Aug 02 2019 17:05:33 GMT-0500 (Central Daylight Time),0
A,1934090628675,train,1,[0 1 0],1 4 12,3,1342 1896 1950,49 49 32,0 1,5188,-10,1564783541.742,Fri Aug 02 2019 17:05:41 GMT-0500 (Central Daylight Time),0
A,1934090628675,train,1,[0 1 0],1 2 6,3,1828 1360 7596,50 49 32,0 1,10784,10,1564783553.958,Fri Aug 02 2019 17:05:53 GMT-0500 (Central Daylight Time),0
A,1934090628675,train,1,[0 1 0],1 3 9,3,3051 1812 8557,51 49 32,0 1,13420,8,1564783569.09,Fri Aug 02 2019 17:06:09 GMT-0500 (Central Daylight Time),0
A,1934090628675,train,1,[0 1 0],1 3 9,3,824 1701 2566,51 49 32,0 1,5091,8,1564783577.004,Fri Aug 02 2019 17:06:17 GMT-0500 (Central Daylight Time),0
A,1934090628675,train,1,[0 0 1],1 3 9,3,965 1762 2324,51 49 32,0 1,5051,8,1564783584.91,Fri Aug 02 2019 17:06:24 GMT-0500 (Central Daylight Time),0
A,1934090628675,train,1,[0 1 0],1 3 9,3,1576 2437 1936,51 49 32,0 1,5949,8,1564783593.061,Fri Aug 02 2019 17:06:33 GMT-0500 (Central Daylight Time),0
A,1934090628675,train,1,[0 0 1],1 3 9,3,677 1258 630 1717,51 32 49 32,0 2,4282,8,1564783599.541,Fri Aug 02 2019 17:06:39 GMT-0500 (Central Daylight Time),0
A,1934090628675,train,1,[0 1 0],1 4 12,3,2076 1657 4172,49 49 32,0 1,7905,-10,1564783609.931,Fri Aug 02 2019 17:06:49 GMT-0500 (Central Daylight Time),0
