,2.00
A2VLK57ZQ2YI28,1.00
A3HW4QDJB63OQ2,1.00
A3957CWJOK0XSI,0.90
AS4E902OXUO5Z,1.00
ASIULWA5R4JYU,0.90
A2R8IV2PWFTY00,0.00
A3PRX6CU0P34NE,0.90
A24L6N9RMSSB8G,1.00
A8028AFBBS29G,0.00
A29ANBEU3JKCKZ,0.10
A2JDJFBKD3U830,0.00
A1KHHLRJ9S0MW8,0.10
A3914P24XPNPY3,0.00
AYUZGGAGNM9FT,1.00
AGJTJN49ZVPMZ,0.10
A17LF7GCAFYMSL,0.00
A1X8GO1B236KMK,0.10
AIHHRINW9IN1I,1.00
AXTVX0Y7CYNQ3,1.00
A3K00L9I9L92BJ,1.00
A1065G5RBQCJKH,0.00
A0017268R9SKD8U2Y3F,0.00
A1LKKK4H3XF42C,1.00
A6U5ZHN5Y953Q,1.00
A2615YW1YERQBO,1.00
A31A4YKVSOYRVS,0.00
A3JGVZEXXELM3C,0.10
AVBRJBJONL47I,0.00
A277KN9SYH1OLP,0.10
A28VE2YSRYE3B8,0.10
A279YSE7NB16M0,0.00
AEQ6KLNVTRKKR,0.90
A2GHME4F11G828,0.00
A19KXJ5PWHS6YH,0.00
A2N2GFB33ZMYGF,0.00
A1I72NHC21347A,0.90
A2YHXVN8BRNRJ7,0.00
AP4FDDWBJW47O,0.00
A1EEWU0N4JM7UJ,1.00
A2NKW6JBEM4LL4,0.00
A2WCDQDLMC6J72,1.00
A26SF9CTNKKBYB,1.00
A1JL8N1PWIFDH2,1.00
A1D9ZWU1M46SAF,0.00
A2Y6H6QGPWH4N9,0.90
AJFVK3O1D7SPE,1.00
A2L5RS0Z20PK2D,1.00
A37E36IPU0BJX5,0.90
A3L2FPKRD46FRW,0.00
A27W025UEXS1G0,0.90
