group, subj_id, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,1775899692674,train,1,[-1 1 0],1 3 8,3,10575 11138 8140,50 51 32,0 1,29853,-90,1565126492.085,Tue Aug 06 2019 17:21:32 GMT-0400 (Eastern Daylight Time),0
A,1775899692674,train,1,[1 -2 0],1 2 7,3,5475 4291 4447,51 49 32,0 1,14213,-70,1565126510.572,Tue Aug 06 2019 17:21:50 GMT-0400 (Eastern Daylight Time),0
A,1775899692674,train,1,[-2 1 0],1 3 9,3,4011 4520 4308,50 50 32,0 1,12839,-100,1565126525.601,Tue Aug 06 2019 17:22:05 GMT-0400 (Eastern Daylight Time),0
A,1775899692674,train,1,[1 -1 0],1 2 5,3,3518 6621 7483,51 50 32,0 1,17622,-10,1565126546.198,Tue Aug 06 2019 17:22:26 GMT-0400 (Eastern Daylight Time),0
A,1775899692674,train,1,[1 -1 0],1 2 6,3,5155 6745 49381,51 51 32,0 1,61281,100,1565126609.494,Tue Aug 06 2019 17:23:29 GMT-0400 (Eastern Daylight Time),0
A,1775899692674,train,1,[1 -2 0],1 4 13,3,3209 6223 3161,49 51 32,0 1,12593,10,1565126623.863,Tue Aug 06 2019 17:23:43 GMT-0400 (Eastern Daylight Time),0
A,1775899692674,train,1,[1 -1 0],1 2 6,3,2406 2176 3456,51 51 32,0 1,8038,100,1565126633.543,Tue Aug 06 2019 17:23:53 GMT-0400 (Eastern Daylight Time),0
A,1775899692674,train,1,[-2 1 0],1 4 11,3,2103 2888 2767,49 49 32,0 1,7758,0,1565126644.229,Tue Aug 06 2019 17:24:04 GMT-0400 (Eastern Daylight Time),0
A,1775899692674,train,1,[1 -2 0],1 4 12,3,1030 2769 2967,49 50 32,0 1,6766,-200,1565126654.954,Tue Aug 06 2019 17:24:14 GMT-0400 (Eastern Daylight Time),0
A,1775899692674,train,1,[1 -2 0],1 2 6,3,9995 1998 2649,51 51 32,0 1,14642,100,1565126671.147,Tue Aug 06 2019 17:24:31 GMT-0400 (Eastern Daylight Time),0
A,1775899692674,train,1,[-1 1 0],1 3 10,3,2991 4648 2919,50 49 32,0 1,10558,90,1565126683.466,Tue Aug 06 2019 17:24:43 GMT-0400 (Eastern Daylight Time),0
A,1775899692674,train,1,[-2 1 0],1 3 10,3,2680 2217 2599,50 49 32,0 1,7496,90,1565126694.347,Tue Aug 06 2019 17:24:54 GMT-0400 (Eastern Daylight Time),0
A,1775899692674,train,1,[-2 1 0],1 3 10,3,1040 2120 1983,50 49 32,0 1,5143,90,1565126701.795,Tue Aug 06 2019 17:25:01 GMT-0400 (Eastern Daylight Time),0
A,1775899692674,train,1,[-1 1 0],1 3 10,3,2455 1600 1928,50 49 32,0 1,5983,90,1565126709.666,Tue Aug 06 2019 17:25:09 GMT-0400 (Eastern Daylight Time),0
A,1775899692674,train,1,[1 -1 0],1 4 13,3,3325 4446 2505,49 51 32,0 1,10276,10,1565126728.073,Tue Aug 06 2019 17:25:28 GMT-0400 (Eastern Daylight Time),0
A,1775899692674,train,1,[1 -2 0],1 2 6,3,960 2008 2304,51 51 32,0 1,5272,100,1565126734.784,Tue Aug 06 2019 17:25:34 GMT-0400 (Eastern Daylight Time),0
A,1775899692674,train,1,[-2 1 0],1 2 5,3,1662 2536 2192,51 50 32,0 1,6390,10,1565126745.117,Tue Aug 06 2019 17:25:45 GMT-0400 (Eastern Daylight Time),0
A,1775899692674,train,1,[1 -1 0],1 2 6,3,1056 2057 2151,51 51 32,0 1,5264,100,1565126752.149,Tue Aug 06 2019 17:25:52 GMT-0400 (Eastern Daylight Time),0
A,1775899692674,train,1,[1 -1 0],1 2 6,3,808 1535 2113,51 51 32,0 1,4456,100,1565126757.965,Tue Aug 06 2019 17:25:57 GMT-0400 (Eastern Daylight Time),0
A,1775899692674,train,1,[-1 1 0],1 3 10,3,2487 2807 2152,50 49 32,0 1,7446,90,1565126768.476,Tue Aug 06 2019 17:26:08 GMT-0400 (Eastern Daylight Time),0
