group, subj_id, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,1100525918210,train,1,[0 -1 1],1 2 6,3,11685 12112 10626,49 49 32,0 1,34423,100,1565022130.754,Mon Aug 05 2019 09:22:10 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 -2 1],1 2 6,3,4916 1819 25288,49 49 32,0 1,32023,100,1565022173.13,Mon Aug 05 2019 09:22:53 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 -2 1],1 2 6,3,1386 1564 2316,49 49 32,0 1,5266,100,1565022184.149,Mon Aug 05 2019 09:23:04 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 1 -2],1 4 13,3,1469 2318 20789,50 50 32,0 1,24576,-20,1565022213.856,Mon Aug 05 2019 09:23:33 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 -2 1],1 2 6,3,799 1271 3450,49 49 32,0 1,5520,100,1565022223.54,Mon Aug 05 2019 09:23:43 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 1 -1],1 3 10,3,699 2154 24788,51 51 32,0 1,27641,90,1565022254.761,Mon Aug 05 2019 09:24:14 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 1 -2],1 3 10,3,763 1976 4502,51 51 32,0 1,7241,90,1565022270.945,Mon Aug 05 2019 09:24:30 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 1 -2],1 3 10,3,521 1948 3112,51 51 32,0 1,5581,90,1565022280.217,Mon Aug 05 2019 09:24:40 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 1 -2],1 3 10,3,994 1925 3392,51 51 32,0 1,6311,90,1565022290.049,Mon Aug 05 2019 09:24:50 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 -1 1],1 2 6,3,481 1761 3061,49 49 32,0 1,5303,100,1565022298.569,Mon Aug 05 2019 09:24:58 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 -1 1],1 2 6,3,449 1597 2564,49 49 32,0 1,4610,100,1565022305.202,Mon Aug 05 2019 09:25:05 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 -2 1],1 2 6,3,415 1822 3465,49 49 32,0 1,5702,100,1565022313.833,Mon Aug 05 2019 09:25:13 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 -1 1],1 2 6,3,443 1665 2280,49 49 32,0 1,4388,100,1565022320.982,Mon Aug 05 2019 09:25:20 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 1 -2],1 3 10,3,364 1803 3315,51 51 32,0 1,5482,90,1565022329.635,Mon Aug 05 2019 09:25:29 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 -2 1],1 2 6,3,367 1778 4227,49 49 32,0 1,6372,100,1565022337.88,Mon Aug 05 2019 09:25:37 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 1 -1],1 3 10,3,315 1508 1909,51 51 32,0 1,3732,90,1565022344.313,Mon Aug 05 2019 09:25:44 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 -2 1],1 2 6,3,330 1560 2274,49 49 32,0 1,4164,100,1565022350.996,Mon Aug 05 2019 09:25:50 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 -1 1],1 2 6,3,368 1377 2520,49 49 32,0 1,4265,100,1565022356.826,Mon Aug 05 2019 09:25:56 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 1 -1],1 3 10,3,540 1458 2484,51 51 32,0 1,4482,90,1565022363.015,Mon Aug 05 2019 09:26:03 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 -1 1],1 2 6,3,423 1393 2833,49 49 32,0 1,4649,100,1565022369.991,Mon Aug 05 2019 09:26:09 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 1 -1],1 3 10,3,351 1554 2273,51 51 32,0 1,4178,90,1565022376.441,Mon Aug 05 2019 09:26:16 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 1 -2],1 3 9,3,1037 2861 35500,51 49 32,0 1,39398,-100,1565022419.313,Mon Aug 05 2019 09:26:59 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 -1 1],1 2 6,3,364 2500 2901,49 49 32,0 1,5765,100,1565022428.578,Mon Aug 05 2019 09:27:08 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 -1 1],1 2 6,3,499 1881 2072,49 49 32,0 1,4452,100,1565022435.294,Mon Aug 05 2019 09:27:15 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 -2 1],1 2 6,3,369 1870 1973,49 49 32,0 1,4212,100,1565022441.627,Mon Aug 05 2019 09:27:21 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 -2 1],1 2 6,3,561 3574 1907,49 49 32,0 1,6042,100,1565022449.319,Mon Aug 05 2019 09:27:29 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 -1 1],1 2 6,3,719 1804 2071,49 49 32,0 1,4594,100,1565022455.758,Mon Aug 05 2019 09:27:35 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 -1 1],1 2 6,3,709 2198 2362,49 49 32,0 1,5269,100,1565022463.685,Mon Aug 05 2019 09:27:43 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 1 -2],1 3 8,3,351 1704 17129,51 50 32,0 1,19184,-180,1565022488.252,Mon Aug 05 2019 09:28:08 GMT-0700 (Pacific Daylight Time),0
A,1100525918210,train,1,[0 1 -2],1 3 10,3,374 1545 2967,51 51 32,0 1,4886,90,1565022501.374,Mon Aug 05 2019 09:28:21 GMT-0700 (Pacific Daylight Time),0
