group, subj_id, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,1443731468886,train,1,[-2 1 0],1 3 8,3,2095 1725 1627 6185,50 49 50 32,0 1,11632,-20,1565271493.989,Thu Aug 08 2019 09:38:13 GMT-0400 (Eastern Daylight Time),2
A,1443731468886,train,1,[-1 1 0],1 3 9,3,800 1728 288 2192,50 32 50 32,0 2,5008,0,1565271500.26,Thu Aug 08 2019 09:38:20 GMT-0400 (Eastern Daylight Time),2
A,1443731468886,train,1,[-2 1 0],1 4 12,3,448 369 1110 1209,32 49 50 32,1 2,3136,100,1565271504.205,Thu Aug 08 2019 09:38:24 GMT-0400 (Eastern Daylight Time),2
A,1443731468886,train,1,[1 -2 0],1 3 8,3,456 280 1168 1288,32 50 49 32,1 2,3192,10,1565271507.813,Thu Aug 08 2019 09:38:27 GMT-0400 (Eastern Daylight Time),2
A,1443731468886,train,1,[1 -2 0],1 3 8,3,143 1161 1999,50 49 32,0 1,3303,10,1565271511.789,Thu Aug 08 2019 09:38:31 GMT-0400 (Eastern Daylight Time),2
A,1443731468886,train,1,[1 -1 0],1 4 11,3,664 1496 1112 496 499 117 208 296 560,49 49 49 49 49 49 50 49 32,0 1,5448,0,1565271519.188,Thu Aug 08 2019 09:38:39 GMT-0400 (Eastern Daylight Time),2
A,1443731468886,train,1,[1 -2 0],1 3 9,3,504 529 1255 1017 271 536 192,32 50 50 50 49 51 32,1 2,4304,-100,1565271529.148,Thu Aug 08 2019 09:38:49 GMT-0400 (Eastern Daylight Time),2
A,1443731468886,train,1,[-1 1 0],1 2 6,3,22 1374 1472 432,51 51 51 32,0 1,3300,-100,1565271532.948,Thu Aug 08 2019 09:38:52 GMT-0400 (Eastern Daylight Time),2
A,1443731468886,train,1,[1 -2 0],1 4 11,3,720 1063 1600 360 272,49 49 49 50 32,0 1,4015,0,1565271541.075,Thu Aug 08 2019 09:39:01 GMT-0400 (Eastern Daylight Time),2
A,1443731468886,train,1,[-2 1 0],1 2 5,3,671 1208 1448 320 304 240 392 344 433 359 352 464 264 392 992,51 49 51 49 51 49 51 49 51 49 51 49 51 49 32,0 1,8183,10,1565271553.483,Thu Aug 08 2019 09:39:13 GMT-0400 (Eastern Daylight Time),2
A,1443731468886,train,1,[1 -1 0],1 2 6,3,33 33 33 34 319 272 1080 1576 160 376 408 440 208 336 336 288 336 584,32 32 32 32 32 51 51 49 50 49 50 49 51 49 51 49 51 32,5 6,6852,100,1565271560.835,Thu Aug 08 2019 09:39:20 GMT-0400 (Eastern Daylight Time),2
A,1443731468886,train,1,[-1 1 0],1 2 5,3,328 1032 1011,51 49 32,0 1,2371,10,1565271568.968,Thu Aug 08 2019 09:39:28 GMT-0400 (Eastern Daylight Time),2
A,1443731468886,train,1,[1 -1 0],1 2 6,3,264 1239 1624 264 500 33 33 33 33 33 247 354 70 280,51 51 51 49 49 49 49 49 49 49 51 49 51 32,0 1,5007,100,1565271574.524,Thu Aug 08 2019 09:39:34 GMT-0400 (Eastern Daylight Time),2
A,1443731468886,train,1,[-1 1 0],1 2 6,3,32 33 33 34 32 34 32 33 33 33 33 33 33 33 33 317 1013 211 1283,32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 51 32 51 32,15 17,3318,-100,1565271578.344,Thu Aug 08 2019 09:39:38 GMT-0400 (Eastern Daylight Time),2
A,1443731468886,train,1,[-1 1 0],1 2 6,3,32 34 32 2673 1041 175 1032 176,32 32 32 51 32 51 51 32,3 5,5195,-100,1565271583.572,Thu Aug 08 2019 09:39:43 GMT-0400 (Eastern Daylight Time),2
A,1443731468886,train,1,[-2 1 0],1 2 5,3,62 1134 1280 273 407,51 49 51 49 32,0 1,3156,10,1565271587.268,Thu Aug 08 2019 09:39:47 GMT-0400 (Eastern Daylight Time),2
A,1443731468886,train,1,[-2 1 0],1 2 5,3,272 1224 1216 160 240 248 240 168 144 256 248 472 200 208 224 288 128,51 49 51 49 51 49 51 49 50 49 50 49 51 49 51 49 32,0 1,5936,10,1565271594.124,Thu Aug 08 2019 09:39:54 GMT-0400 (Eastern Daylight Time),2
A,1443731468886,train,1,[1 -1 0],1 3 10,3,288 4191 1136 313 199 296 224 305 319 281,50 51 49 51 49 51 49 51 49 32,0 1,7552,-10,1565271603.652,Thu Aug 08 2019 09:40:03 GMT-0400 (Eastern Daylight Time),2
A,1443731468886,train,1,[1 -1 0],1 2 6,3,503 29 33 33 33 33 33 33 33 33 34 32 35 31 33 33 33 33 34 32 33 33 33 34 32 33 33 33 33 33 33 33 34 32 33 33 9 5632 488 1428,32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 51 32 51 32,36 38,9211,100,1565271613.823,Thu Aug 08 2019 09:40:13 GMT-0400 (Eastern Daylight Time),2
A,1443731468886,train,1,[-1 1 0],1 4 12,3,30 33 34 33 33 33 33 33 33 33 33 33 33 33 33 32 34 33 33 33 33 33 33 33 33 32 33 33 33 33 34 32 33 33 33 33 33 33 221 1504 1064 368 272 289 247 344 368 248,32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 32 49 50 50 49 50 49 50 49 50 32,38 39,6176,100,1565271620.035,Thu Aug 08 2019 09:40:20 GMT-0400 (Eastern Daylight Time),2
A,1443731468886,train,1,[-1 1 0],1 3 10,3,967 1224 224 1744 616 312 160 240 272 200,50 32 51 51 51 49 51 49 51 32,0 2,5959,10,1565271725.732,Thu Aug 08 2019 09:42:05 GMT-0400 (Eastern Daylight Time),2
A,1443731468886,train,1,[-1 1 0],1 4 11,3,216 1011 21 1096 184,49 32 49 51 32,0 2,2528,0,1565271729.14,Thu Aug 08 2019 09:42:09 GMT-0400 (Eastern Daylight Time),2
A,1443731468886,train,1,[-2 1 0],1 4 13,3,16 1040 1239,49 51 32,0 1,2295,-20,1565271731.996,Thu Aug 08 2019 09:42:11 GMT-0400 (Eastern Daylight Time),2
A,1443731468886,train,1,[-1 1 0],1 4 11,3,383 1468 33 33 33 33 33 16 1031,49 32 32 32 32 32 32 49 32,0 7,3063,0,1565271737.179,Thu Aug 08 2019 09:42:17 GMT-0400 (Eastern Daylight Time),2
