group, subj_id, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,1944407384637,train,1,[-2 1 0],1 2 6,3,3636 1455 4400,97 99 32,0 1,9491,-200,1566007654.492,Fri Aug 16 2019 19:07:34 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[-1 1 0],1 3 9,3,798 1366 5391,98 98 32,0 1,7555,0,1566007662.84,Fri Aug 16 2019 19:07:42 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[1 -1 0],1 3 8,3,11721 2156 6545,98 99 32,0 1,20422,90,1566007684.938,Fri Aug 16 2019 19:08:04 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[-1 1 0],1 3 8,3,914 1292 10514,98 99 32,0 1,12720,-90,1566007698.492,Fri Aug 16 2019 19:08:18 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[-1 1 0],1 3 8,3,1440 1287 3271,98 99 32,0 1,5998,-90,1566007705.232,Fri Aug 16 2019 19:08:25 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[1 -1 0],1 3 9,3,928 1190 5752,98 98 32,0 1,7870,0,1566007713.744,Fri Aug 16 2019 19:08:33 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[1 -1 0],1 2 7,3,718 1369 1815,97 97 32,0 1,3902,0,1566007718.384,Fri Aug 16 2019 19:08:38 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[1 -2 0],1 3 10,3,735 1254 1866,98 97 32,0 1,3855,-180,1566007722.954,Fri Aug 16 2019 19:08:42 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[1 -1 0],1 3 8,3,476 671 31 384 258 278 264 464 1272 2049,101 32 101 101 101 101 101 98 99 32,7 8,6147,90,1566007730.128,Fri Aug 16 2019 19:08:50 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[1 -1 0],1 4 11,3,493 1264 2426,99 98 32,0 1,4183,20,1566007735.177,Fri Aug 16 2019 19:08:55 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[-2 1 0],1 4 11,3,1610 1589 1739,99 98 32,0 1,4938,-50,1566007740.858,Fri Aug 16 2019 19:09:00 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[1 -1 0],1 3 9,3,578 1253 1795,98 98 32,0 1,3626,0,1566007744.833,Fri Aug 16 2019 19:09:04 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[1 -1 0],1 3 10,3,549 1239 1570,98 97 32,0 1,3358,-90,1566007748.633,Fri Aug 16 2019 19:09:08 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[-2 1 0],1 2 7,3,568 1247 1489,97 97 32,0 1,3304,-70,1566007752.192,Fri Aug 16 2019 19:09:12 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[-2 1 0],1 3 8,3,561 1278 1416,98 99 32,0 1,3255,-180,1566007755.678,Fri Aug 16 2019 19:09:15 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[-2 1 0],1 4 12,3,336 1272 1363,99 99 32,0 1,2971,100,1566007758.889,Fri Aug 16 2019 19:09:18 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[-1 1 0],1 4 12,3,345 1119 1273,99 99 32,0 1,2737,100,1566007761.84,Fri Aug 16 2019 19:09:21 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[-2 1 0],1 4 12,3,294 1161 1264,99 99 32,0 1,2719,100,1566007764.75,Fri Aug 16 2019 19:09:24 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[1 -2 0],1 4 12,3,312 1538 1205,99 99 32,0 1,3055,-200,1566007768.046,Fri Aug 16 2019 19:09:28 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[1 -2 0],1 4 12,3,506 1277 1305,99 99 32,0 1,3088,-200,1566007771.334,Fri Aug 16 2019 19:09:31 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[-2 1 0],1 4 11,3,360 1438 1258,99 98 32,0 1,3056,-50,1566007774.575,Fri Aug 16 2019 19:09:34 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[1 -1 0],1 3 8,3,263 1280 1291,98 99 32,0 1,2834,90,1566007777.569,Fri Aug 16 2019 19:09:37 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[1 -1 0],1 3 8,3,369 1280 1296,98 99 32,0 1,2945,90,1566007780.686,Fri Aug 16 2019 19:09:40 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[-1 1 0],1 3 8,3,328 1250 1318,98 99 32,0 1,2896,-90,1566007783.735,Fri Aug 16 2019 19:09:43 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[-1 1 0],1 4 11,3,247 1193 1306,99 98 32,0 1,2746,-20,1566007786.656,Fri Aug 16 2019 19:09:46 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[-2 1 0],1 3 10,3,271 1132 1261,98 97 32,0 1,2664,90,1566007789.478,Fri Aug 16 2019 19:09:49 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[1 -2 0],1 3 10,3,295 1257 1264,98 97 32,0 1,2816,-180,1566007792.47,Fri Aug 16 2019 19:09:52 GMT-0700 (Pacific Daylight Time),0
A,1944407384637,train,1,[-1 1 0],1 2 5,3,359 1342 1296,97 98 32,0 1,2997,10,1566007796.597,Fri Aug 16 2019 19:09:56 GMT-0700 (Pacific Daylight Time),0
