group, subj_id, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,1145187025028,train,1,[-1 1 0],1 2 7,3,5026 2349 21734,50 50 32,0 1,29109,0,1565951734.418,Fri Aug 16 2019 16:05:34 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[1 -1 0],1 3 9,3,2959 6762 1054 3666,49 32 49 32,0 2,14441,0,1565951751.45,Fri Aug 16 2019 16:05:51 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[1 -2 0],1 4 11,3,1251 3379 4037,51 51 32,0 1,8667,10,1565951763.174,Fri Aug 16 2019 16:06:03 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[1 -2 0],1 2 6,3,1262 2817 2424,50 51 32,0 1,6503,100,1565951771.169,Fri Aug 16 2019 16:06:11 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[1 -1 0],1 3 9,3,762 2450 2091,49 49 32,0 1,5303,0,1565951778.131,Fri Aug 16 2019 16:06:18 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[-1 1 0],1 3 10,3,852 1632 2523,49 50 32,0 1,5007,10,1565951785.618,Fri Aug 16 2019 16:06:25 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[-1 1 0],1 3 8,3,755 2076 2548,49 51 32,0 1,5379,-10,1565951793.25,Fri Aug 16 2019 16:06:33 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[1 -1 0],1 2 5,3,569 1679 2189,50 49 32,0 1,4437,-10,1565951799.631,Fri Aug 16 2019 16:06:39 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[-2 1 0],1 2 7,3,548 1610 2104,50 50 32,0 1,4262,-70,1565951806.588,Fri Aug 16 2019 16:06:46 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[-2 1 0],1 2 6,3,1148 1785 1112,50 51 32,0 1,4045,-200,1565951812.382,Fri Aug 16 2019 16:06:52 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[1 -2 0],1 2 6,3,1603 1562 3128,50 51 32,0 1,6293,100,1565951822.355,Fri Aug 16 2019 16:07:02 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[1 -1 0],1 4 13,3,1332 1780 1693,51 49 32,0 1,4805,10,1565951828.6,Fri Aug 16 2019 16:07:08 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[1 -1 0],1 4 12,3,466 1191 1623,51 50 32,0 1,3280,-100,1565951833.867,Fri Aug 16 2019 16:07:13 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[-2 1 0],1 4 11,3,440 1383 1588,51 51 32,0 1,3411,-50,1565951839.169,Fri Aug 16 2019 16:07:19 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[-1 1 0],1 3 9,3,897 1785 5813,49 49 32,0 1,8495,0,1565951848.523,Fri Aug 16 2019 16:07:28 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[-1 1 0],1 3 10,3,1076 1504 5189,49 50 32,0 1,7769,10,1565951857.599,Fri Aug 16 2019 16:07:37 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[-2 1 0],1 3 8,3,1175 1007 2847,49 51 32,0 1,5029,-20,1565951863.429,Fri Aug 16 2019 16:07:43 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[1 -1 0],1 3 9,3,492 1474 2406,49 49 32,0 1,4372,0,1565951868.71,Fri Aug 16 2019 16:07:48 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[-2 1 0],1 3 8,3,762 2241 2106,49 51 32,0 1,5109,-20,1565951876.299,Fri Aug 16 2019 16:07:56 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[1 -2 0],1 2 5,3,789 1705 4465,50 49 32,0 1,6959,-30,1565951884.854,Fri Aug 16 2019 16:08:04 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[1 -1 0],1 2 7,3,704 1486 1941,50 50 32,0 1,4131,0,1565951889.872,Fri Aug 16 2019 16:08:09 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[1 -2 0],1 2 6,3,1513 1427 2480,50 51 32,0 1,5420,100,1565951896.586,Fri Aug 16 2019 16:08:16 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[1 -2 0],1 2 6,3,858 1421 2289,50 51 32,0 1,4568,100,1565951902.843,Fri Aug 16 2019 16:08:22 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[-2 1 0],1 3 9,3,1843 1486 3289,49 49 32,0 1,6618,-150,1565951911.043,Fri Aug 16 2019 16:08:31 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[-1 1 0],1 3 9,3,861 1528 3326,49 49 32,0 1,5715,0,1565951920.224,Fri Aug 16 2019 16:08:40 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[1 -2 0],1 4 13,3,2336 1107 2714,51 49 32,0 1,6157,0,1565951927.818,Fri Aug 16 2019 16:08:47 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[-2 1 0],1 3 9,3,1661 1623 1556,49 49 32,0 1,4840,-150,1565951933.516,Fri Aug 16 2019 16:08:53 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[1 -1 0],1 2 5,3,1240 1721 1886,50 49 32,0 1,4847,-10,1565951940.34,Fri Aug 16 2019 16:09:00 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[-1 1 0],1 2 6,3,946 1377 1417 2036 541 2237,32 50 32 32 51 32,1 4,8554,-100,1565951950.113,Fri Aug 16 2019 16:09:10 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[-1 1 0],1 2 7,3,1898 1908 3799,50 50 32,0 1,7605,0,1565951958.879,Fri Aug 16 2019 16:09:18 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[-1 1 0],1 3 9,3,1004 1511 6191,49 49 32,0 1,8706,0,1565951970.217,Fri Aug 16 2019 16:09:30 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[-1 1 0],1 3 9,3,443 1624 2226,49 49 32,0 1,4293,0,1565951977.608,Fri Aug 16 2019 16:09:37 GMT+0530 (India Standard Time),0
A,1145187025028,train,1,[1 -2 0],1 3 9,3,2187 1356 1961,49 49 32,0 1,5504,-150,1565951985.744,Fri Aug 16 2019 16:09:45 GMT+0530 (India Standard Time),0
