,0.10
A2ZIATVCA2NKPF,0.10
A3CIWKPD7Y6NFG,1.00
A3PIU3R3IE6VDW,1.00
A150XGQ7KWLBWN,1.00
A1Y6VW621TEYXN,0.20
A3GTPW3MYSLMR7,1.00
A6JUD4NCQCDWG,0.00
AJACXA5FC5BYZ,0.00
AWQP20VVZBLSF,0.00
A1V9CCGVDKU65F,0.00
A1KOHXO0BIQB8T,0.10
A1O0BGHFTMPQM0,0.00
A2BGRGVU9HG0C6,0.10
A38XRCVYVF4A31,0.10
A3MA99VL27CF91,1.00
A3JM3E54N61L0S,2.60
A20EAB69CYLD6X,0.10
A1OTRBOFKGZO0N,0.00
ABEY1YGH0OMMC,0.00
A13Z9KTDPXMQ16,0.00
A2A76DZHF7N9AB,1.00
ATZPWRKCQPQ9Q,0.00
A3LMI7ZDFO8JHR,0.00
A3LFB7XLW00Q61,0.00
A34HWABNHGW5OX,0.00
A137JXVWCPT0QX,1.00
A2VR9O234UCT9T,1.00
A15340BRCER2UO,0.10
A1NWXL4QO30M8U,1.00
A7WJINDR01OCU,0.00
A823TE3Y6RU0L,1.00
AMJ9NTQPGHOVV,0.00
A13LSQREEVA74R,1.00
A3KKXA7COL5JHL,0.10
A2LV5432PV1S39,0.00
A2AH0FADJ9PCE5,1.00
A2UQ3T8JW2TDD3,0.00
A1OZPLHNIU1519,1.00
AK97EWXEUC3US,0.00
A2Q0LZUZO1T2KN,0.20
AM0QVBV8L6QCJ,0.10
A3G85PECAGKPBK,0.00
A1TSD3O3C3ZUT6,0.00
A2X1NEG8QWQOO6,0.00
A3MD3CC58W6WWQ,0.00
A98E8M4QLI9RS,0.00
AJMUCGUKNKE74,0.10
A1PHDT66U6IK4Q,1.00
A87D3K9YVKTQ7,0.00
A2151NHZZD018M,0.00
A1L6PGLE7CIS12,0.00
A1EDMN0J522ATZ,0.00
A2R9OK4M877ZCC,0.00
A1EEEZYY7FZ72Z,0.00
A1Y4C2TYJFRF1G,0.00
A3POD149IG0DIW,0.00
AT3C00TKZK13L,1.00
AL36KBFL3ORCD,0.00
A2S64AUN7JI7ZS,0.00
A240OTT1T85UGT,0.00
