group, subj_id, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,1985435474976,train,1,[1 -2 0],1 2 7,3,16086 8953 15865,98 98 32,0 1,40904,-40,1566164493.084,Sun Aug 18 2019 14:41:33 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[1 -2 0],1 2 7,3,1568 2425 25528,98 98 32,0 1,29521,-40,1566164530.539,Sun Aug 18 2019 14:42:10 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[1 -2 0],1 2 7,3,2142 1352 7713,98 98 32,0 1,11207,-40,1566164555.753,Sun Aug 18 2019 14:42:35 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[-1 1 0],1 3 8,3,2008 4273 6167,99 99 32,0 1,12448,-90,1566164574.689,Sun Aug 18 2019 14:42:54 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[1 -2 0],1 4 13,3,2457 1006 1881 1231,97 32 97 32,0 2,6575,10,1566164584.945,Sun Aug 18 2019 14:43:04 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[-2 1 0],1 4 13,3,4798 2624 16843,97 97 32,0 1,24265,-20,1566164618.771,Sun Aug 18 2019 14:43:38 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[-1 1 0],1 2 7,3,1897 2424 6705,98 98 32,0 1,11026,0,1566164634.786,Sun Aug 18 2019 14:43:54 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[1 -2 0],1 3 9,3,3087 2210 5222,99 98 32,0 1,10519,-100,1566164652.2,Sun Aug 18 2019 14:44:12 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[1 -1 0],1 4 11,3,2526 3672 1152 2722 814 3800,97 101 32 101 98 32,0 4,14686,0,1566164673.2,Sun Aug 18 2019 14:44:33 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[-1 1 0],1 3 10,3,1783 2809 1248,99 97 32,0 1,5840,90,1566164693.937,Sun Aug 18 2019 14:44:53 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[-1 1 0],1 3 10,3,2249 1646 26274,99 97 32,0 1,30169,90,1566164727.25,Sun Aug 18 2019 14:45:27 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[1 -1 0],1 4 13,3,888 3521 5888,97 97 32,0 1,10297,10,1566164743.401,Sun Aug 18 2019 14:45:43 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[1 -1 0],1 4 11,3,1624 2938 3382,97 98 32,0 1,7944,0,1566164753.817,Sun Aug 18 2019 14:45:53 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[1 -1 0],1 3 9,3,3776 1905 4582,99 98 32,0 1,10263,0,1566164765.424,Sun Aug 18 2019 14:46:05 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[1 -2 0],1 2 7,3,2713 1975 3128,98 98 32,0 1,7816,-40,1566164777.329,Sun Aug 18 2019 14:46:17 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[-1 1 0],1 3 10,3,726 1865 3751,99 97 32,0 1,6342,90,1566164789.592,Sun Aug 18 2019 14:46:29 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[-1 1 0],1 3 10,3,600 2073 4472,99 97 32,0 1,7145,90,1566164799.185,Sun Aug 18 2019 14:46:39 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[-1 1 0],1 3 10,3,681 1521 1903,99 97 32,0 1,4105,90,1566164807.281,Sun Aug 18 2019 14:46:47 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[1 -2 0],1 4 12,3,1424 2176 2577,97 99 32,0 1,6177,-200,1566164815.482,Sun Aug 18 2019 14:46:55 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[-2 1 0],1 3 10,3,359 1185 2873 4430,99 32 97 32,0 2,8847,90,1566164831.424,Sun Aug 18 2019 14:47:11 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[1 -1 0],1 2 7,3,520 2042 4422,98 98 32,0 1,6984,0,1566164842.456,Sun Aug 18 2019 14:47:22 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[-2 1 0],1 2 7,3,1872 2098 2974,98 98 32,0 1,6944,-40,1566164851.456,Sun Aug 18 2019 14:47:31 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[1 -1 0],1 4 11,3,902 1464 2401,97 98 32,0 1,4767,0,1566164863.913,Sun Aug 18 2019 14:47:43 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[-2 1 0],1 3 10,3,464 1641 3151,99 97 32,0 1,5256,90,1566164873.145,Sun Aug 18 2019 14:47:53 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[1 -1 0],1 2 5,3,584 2232 3656,98 97 32,0 1,6472,-10,1566164883.553,Sun Aug 18 2019 14:48:03 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[1 -1 0],1 2 7,3,968 1640 2689,98 98 32,0 1,5297,0,1566164894.002,Sun Aug 18 2019 14:48:14 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[-2 1 0],1 4 13,3,728 2432 2512,97 97 32,0 1,5672,-20,1566164903.632,Sun Aug 18 2019 14:48:23 GMT-0700 (Pacific Daylight Time),0
A,1985435474976,train,1,[1 -2 0],1 4 11,3,598 2184 2632,97 98 32,0 1,5414,0,1566164913.296,Sun Aug 18 2019 14:48:33 GMT-0700 (Pacific Daylight Time),0
