group, subj_id, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,118295,train,1,[1 0 0],1 2 6,3,2904 3700 5463,49 50 32,0 1,12067,100,1551307205.248,Wed Feb 27 2019 16:40:05 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,1441 1612 3970,49 50 32,0 1,7023,100,1551307215.438,Wed Feb 27 2019 16:40:15 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,457 1427 4026 609,49 50 49 32,0 1,6519,100,1551307224.086,Wed Feb 27 2019 16:40:24 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 4 13,3,2002 2193 2190,50 50 32,0 1,6385,0,1551307231.769,Wed Feb 27 2019 16:40:31 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 3 8,3,1233 2626 4279,51 50 32,0 1,8138,0,1551307241.455,Wed Feb 27 2019 16:40:41 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,549 1299 1655,49 50 32,0 1,3503,100,1551307247.072,Wed Feb 27 2019 16:40:47 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 2 5,3,2728 1365 2118,49 49 32,0 1,6211,0,1551307255.023,Wed Feb 27 2019 16:40:55 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 3 9,3,786 1828 2315,51 51 32,0 1,4929,80,1551307261.057,Wed Feb 27 2019 16:41:01 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 3 9,3,626 1323 1835,51 51 32,0 1,3784,80,1551307266.438,Wed Feb 27 2019 16:41:06 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,462 1260 1405,49 50 32,0 1,3127,100,1551307270.82,Wed Feb 27 2019 16:41:10 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 3 9,3,698 1075 1152,51 51 32,0 1,2925,80,1551307274.387,Wed Feb 27 2019 16:41:14 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 3 9,3,477 1064 1252,51 51 32,0 1,2793,80,1551307278.888,Wed Feb 27 2019 16:41:18 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,424 1307 1920,49 50 32,0 1,3651,100,1551307284.196,Wed Feb 27 2019 16:41:24 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 2 7,3,713 3658 1964,49 51 32,0 1,6335,0,1551307291.729,Wed Feb 27 2019 16:41:31 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 3 9,3,575 1121 1567,51 51 32,0 1,3263,80,1551307295.843,Wed Feb 27 2019 16:41:35 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,689 1065 1320,49 50 32,0 1,3074,100,1551307299.527,Wed Feb 27 2019 16:41:39 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,733 1467 1265,49 50 32,0 1,3465,100,1551307303.668,Wed Feb 27 2019 16:41:43 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 3 9,3,429 1267 1430,51 51 32,0 1,3126,80,1551307307.798,Wed Feb 27 2019 16:41:47 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,466 1724 1365,49 50 32,0 1,3555,100,1551307313.181,Wed Feb 27 2019 16:41:53 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,461 1219 1364,49 50 32,0 1,3044,100,1551307317.644,Wed Feb 27 2019 16:41:57 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 3 9,3,712 1117 1313,51 51 32,0 1,3142,80,1551307321.829,Wed Feb 27 2019 16:42:01 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,729 1243 1075,49 50 32,0 1,3047,100,1551307325.53,Wed Feb 27 2019 16:42:05 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,410 1265 1091,49 50 32,0 1,2766,100,1551307329.433,Wed Feb 27 2019 16:42:09 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,521 1436 1102,49 50 32,0 1,3059,100,1551307333.557,Wed Feb 27 2019 16:42:13 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,736 1243 1299,49 50 32,0 1,3278,100,1551307337.462,Wed Feb 27 2019 16:42:17 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,438 1244 1588,49 50 32,0 1,3270,100,1551307341.593,Wed Feb 27 2019 16:42:21 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,765 1178 1319,49 50 32,0 1,3262,100,1551307345.435,Wed Feb 27 2019 16:42:25 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,484 1282 1326,49 50 32,0 1,3092,100,1551307349.175,Wed Feb 27 2019 16:42:29 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 3 10,3,475 2038 2022,51 49 32,0 1,4535,90,1551307354.841,Wed Feb 27 2019 16:42:34 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 3 10,3,644 1311 1543,51 49 32,0 1,3498,90,1551307359.021,Wed Feb 27 2019 16:42:39 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 4 12,3,1614 2686 3805,50 51 32,0 1,8105,0,1551307368.137,Wed Feb 27 2019 16:42:48 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 4 12,3,1201 1366 1930,50 51 32,0 1,4497,100,1551307374.965,Wed Feb 27 2019 16:42:54 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 4 12,3,844 1274 1841,50 51 32,0 1,3959,100,1551307379.888,Wed Feb 27 2019 16:42:59 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 4 11,3,1530 1289 1794,50 49 32,0 1,4613,0,1551307385.184,Wed Feb 27 2019 16:43:05 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 4 13,3,252 225 1235 1721,32 50 50 32,1 2,3433,0,1551307389.259,Wed Feb 27 2019 16:43:09 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 4 12,3,1420 1129 1531,50 51 32,0 1,4080,100,1551307393.919,Wed Feb 27 2019 16:43:13 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 2 5,3,2538 2804 1964,49 49 32,0 1,7306,0,1551307401.475,Wed Feb 27 2019 16:43:21 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,653 1098 1962,49 50 32,0 1,3713,100,1551307405.998,Wed Feb 27 2019 16:43:25 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 7,3,661 1278 1614,49 51 32,0 1,3553,0,1551307410.144,Wed Feb 27 2019 16:43:30 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 3 9,3,1476 2175 1495,51 51 32,0 1,5146,80,1551307415.786,Wed Feb 27 2019 16:43:35 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 4 11,3,934 1677 1651,50 49 32,0 1,4262,0,1551307420.691,Wed Feb 27 2019 16:43:40 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 4 12,3,1462 1205 1919,50 51 32,0 1,4586,100,1551307425.962,Wed Feb 27 2019 16:43:45 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 7,3,1536 1332 2000,49 51 32,0 1,4868,0,1551307431.868,Wed Feb 27 2019 16:43:51 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 2 6,3,1869 1545 3304,49 50 32,0 1,6718,0,1551307439.168,Wed Feb 27 2019 16:43:59 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 3 8,3,1983 1345 3019,51 50 32,0 1,6347,0,1551307446.307,Wed Feb 27 2019 16:44:06 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 4 13,3,3478 1559 1787,50 50 32,0 1,6824,0,1551307453.875,Wed Feb 27 2019 16:44:13 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 4 12,3,418 1221 2564,50 51 32,0 1,4203,0,1551307458.562,Wed Feb 27 2019 16:44:18 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 4 12,3,678 1150 1681,50 51 32,0 1,3509,100,1551307463.047,Wed Feb 27 2019 16:44:23 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 4 12,3,507 1147 1274,50 51 32,0 1,2928,100,1551307466.734,Wed Feb 27 2019 16:44:26 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 4 12,3,488 1187 1076,50 51 32,0 1,2751,100,1551307470.176,Wed Feb 27 2019 16:44:30 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 7,3,416 1160 1251,49 51 32,0 1,2827,0,1551307473.865,Wed Feb 27 2019 16:44:33 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,417 1134 1598,49 50 32,0 1,3149,100,1551307477.846,Wed Feb 27 2019 16:44:37 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,419 1155 1389,49 50 32,0 1,2963,100,1551307481.447,Wed Feb 27 2019 16:44:41 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 4 12,3,1050 1434 1232,50 51 32,0 1,3716,100,1551307485.871,Wed Feb 27 2019 16:44:45 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,314 1235 1348,49 50 32,0 1,2897,100,1551307489.605,Wed Feb 27 2019 16:44:49 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,386 1890 1485,49 50 32,0 1,3761,100,1551307494.456,Wed Feb 27 2019 16:44:54 GMT-0600 (Central Standard Time),0
A,118295,train,1,[0 1 0],1 4 12,3,1857 1635 1649,50 51 32,0 1,5141,100,1551307500.249,Wed Feb 27 2019 16:45:00 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,950 1227 1687,49 50 32,0 1,3864,100,1551307504.664,Wed Feb 27 2019 16:45:04 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,251 822 1079 1442,32 49 50 32,1 2,3594,100,1551307508.956,Wed Feb 27 2019 16:45:08 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,455 1119 1119,49 50 32,0 1,2693,100,1551307512.182,Wed Feb 27 2019 16:45:12 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,399 1010 1434,49 50 32,0 1,2843,100,1551307515.786,Wed Feb 27 2019 16:45:15 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,475 1097 1379,49 50 32,0 1,2951,100,1551307519.267,Wed Feb 27 2019 16:45:19 GMT-0600 (Central Standard Time),0
A,118295,train,1,[1 0 0],1 2 6,3,538 1029 1293,49 50 32,0 1,2860,100,1551307522.519,Wed Feb 27 2019 16:45:22 GMT-0600 (Central Standard Time),0
