"","id","trial","fstate","reward","rt"
"1",1,1,11,0,2599
"2",1,2,11,0,2832
"3",1,3,10,-90,2367
"4",1,4,10,90,196
"5",1,5,10,90,1014
"6",1,6,10,90,1034
"7",1,7,10,90,1010
"8",1,8,10,90,2545
"9",1,9,10,90,2264
"10",1,10,10,90,1801
"11",1,11,10,90,1695
"12",1,12,12,-200,7329
"13",1,13,13,10,3568
"14",1,14,12,100,1704
"15",1,15,12,100,1408
"16",1,16,11,0,3393
"17",1,17,5,-20,2728
"18",1,18,7,0,4671
"19",1,19,6,100,3977
"20",1,20,6,100,1424
"21",1,21,6,100,1544
"22",1,22,6,100,1552
"23",1,23,12,100,1904
"24",1,24,6,100,1576
"25",1,25,5,10,1880
"26",1,26,12,-200,2328
"27",1,27,5,-10,1705
"28",1,28,8,-90,2048
"29",1,29,12,100,1760
"30",1,30,6,100,1696
"31",1,31,12,100,1280
"32",1,32,12,100,1264
"33",1,33,12,100,1312
"34",1,34,6,100,1832
"35",1,35,12,100,1512
"36",1,36,12,100,1296
"37",1,37,6,100,1312
"38",1,38,12,100,1304
"39",1,39,12,100,1944
"40",1,40,12,100,1384
"41",1,41,12,100,1112
"42",1,42,6,100,1304
"43",1,43,6,100,1297
"44",1,44,12,100,1104
"45",1,45,12,100,1296
"46",1,46,6,100,1328
"47",1,47,7,0,2120
"48",1,48,6,100,1280
"49",1,49,6,100,1216
"50",1,50,6,100,1528
"51",1,51,12,100,1495
"52",1,52,6,100,1537
"53",1,53,6,100,1456
"54",1,54,6,100,1465
"55",1,55,6,100,1312
"56",1,56,12,100,1311
"57",1,57,12,100,1360
"58",1,58,12,100,1049
"59",1,59,6,100,1344
"60",1,60,6,100,1048
"61",1,61,12,100,1192
"62",1,62,6,100,1144
"63",1,63,6,100,1256
"64",1,64,12,100,1273
"65",1,65,6,100,1113
"66",1,66,12,100,1217
"67",1,67,12,100,1176
"68",1,68,12,100,1284
"69",1,69,12,100,1424
"70",1,70,6,100,1232
"71",1,71,6,100,1288
"72",1,72,12,100,2513
"73",1,73,6,100,5456
"74",1,74,6,100,1704
"75",1,75,6,100,1504
"76",1,76,12,100,1440
"77",1,77,6,100,1176
"78",1,78,6,100,1200
"79",1,79,6,100,1296
"80",1,80,6,100,1392
"81",1,81,12,100,1129
"82",1,82,6,100,1392
"83",1,83,13,10,1880
"84",1,84,6,100,1352
"85",1,85,12,100,1240
"86",1,86,12,100,1272
"87",1,87,12,100,1304
"88",1,88,12,100,1336
"89",1,89,6,100,1744
"90",1,90,12,100,1272
"91",1,91,12,100,1400
"92",1,92,12,100,1312
"93",1,93,6,100,1753
"94",1,94,12,100,1448
"95",1,95,12,100,1208
"96",1,96,6,100,2264
"97",1,97,6,100,1472
"98",1,98,6,100,1296
"99",1,99,6,100,1296
"100",1,100,12,100,1312
"101",1,101,12,160,2320
"102",2,1,5,-20,5153
"103",2,2,5,10,3489
"104",2,3,6,-200,6709
"105",2,4,7,0,8588
"106",2,5,12,100,5345
"107",2,6,6,100,4111
"108",2,7,6,100,2625
"109",2,8,12,100,2880
"110",2,9,13,-20,2027
"111",2,10,11,0,1908
"112",2,11,10,-90,2289
"113",2,12,9,-100,3804
"114",2,13,8,90,2835
"115",2,14,12,100,2352
"116",2,15,6,100,1457
"117",2,16,12,100,1845
"118",2,17,6,100,1520
"119",2,18,6,100,1319
"120",2,19,6,100,1354
"121",2,20,6,100,1348
"122",2,21,12,100,1839
"123",2,22,12,100,1482
"124",2,23,6,100,1418
"125",2,24,12,100,1440
"126",2,25,6,100,1402
"127",2,26,12,100,1429
"128",2,27,12,100,1502
"129",2,28,12,100,1767
"130",2,29,12,100,1318
"131",2,30,6,100,1307
"132",2,31,12,100,1339
"133",2,32,6,100,1344
"134",2,33,12,100,1551
"135",2,34,6,100,1562
"136",2,35,7,0,3964
"137",2,36,6,100,1338
"138",2,37,12,100,1413
"139",2,38,12,100,1384
"140",2,39,12,100,1260
"141",2,40,6,100,1269
"142",2,41,12,100,1451
"143",2,42,12,100,1275
"144",2,43,12,100,1342
"145",2,44,12,100,1301
"146",2,45,6,100,1289
"147",2,46,12,100,1697
"148",2,47,5,-10,1847
"149",2,48,6,100,1461
"150",2,49,6,100,1370
"151",2,50,6,100,1295
"152",2,51,12,100,1451
"153",2,52,12,100,1325
"154",2,53,6,100,1435
"155",2,54,12,100,1451
"156",2,55,12,100,1287
"157",2,56,6,100,1291
"158",2,57,6,100,1254
"159",2,58,12,100,1286
"160",2,59,12,100,1392
"161",2,60,6,-200,3017
"162",2,61,6,100,1370
"163",2,62,6,100,1345
"164",2,63,6,100,1445
"165",2,64,12,100,1450
"166",2,65,12,100,1489
"167",2,66,12,100,1345
"168",2,67,12,100,1380
"169",2,68,6,100,1388
"170",2,69,6,100,1332
"171",2,70,12,100,1225
"172",2,71,12,100,1437
"173",2,72,5,10,1812
"174",2,73,12,100,1491
"175",2,74,6,100,1319
"176",2,75,12,100,1298
"177",2,76,12,100,1190
"178",2,77,6,100,1346
"179",2,78,6,100,1313
"180",2,79,6,100,1177
"181",2,80,12,100,1187
"182",2,81,6,-100,1354
"183",2,82,6,100,1336
"184",2,83,6,100,1338
"185",2,84,6,100,1254
"186",2,85,6,100,1287
"187",2,86,6,100,1476
"188",2,87,5,10,1446
"189",2,88,6,100,1445
"190",2,89,12,100,1359
"191",2,90,6,100,1312
"192",2,91,12,100,1491
"193",2,92,12,100,1444
"194",2,93,6,100,1413
"195",2,94,12,100,1334
"196",2,95,6,100,1303
"197",2,96,6,100,1140
"198",2,97,12,100,1322
"199",2,98,6,100,1151
"200",2,99,6,100,1343
"201",2,100,6,100,1320
"202",2,101,13,10,914
"203",3,1,12,-100,1675
"204",3,2,13,-10,3368
"205",3,3,10,90,1958
"206",3,4,8,-90,1920
"207",3,5,13,10,1599
"208",3,6,9,0,1462
"209",3,7,7,0,1624
"210",3,8,5,10,1516
"211",3,9,6,-200,1484
"212",3,10,10,-90,249
"213",3,11,11,0,1471
"214",3,12,5,-10,189
"215",3,13,10,90,83
"216",3,14,12,-100,145
"217",3,15,9,0,127
"218",3,16,8,-180,15
"219",3,17,10,90,39
"220",3,18,8,-90,136
"221",3,19,8,-180,4
"222",3,20,10,-90,1148
"223",3,21,9,-100,1039
"224",3,22,8,-180,1123
"225",3,23,12,-200,22
"226",3,24,10,90,15
"227",3,25,5,-20,31
"228",3,26,10,-180,34
"229",3,27,7,-40,23
"230",3,28,7,-40,1070
"231",3,29,10,-90,138
"232",3,30,7,0,25
"233",3,31,13,-10,171
"234",3,32,10,-90,14
"235",3,33,5,-20,37
"236",3,34,8,90,139
"237",3,35,10,90,9
"238",3,36,6,100,175
"239",3,37,8,-90,127
"240",3,38,7,-40,1039
"241",3,39,10,90,169
"242",3,40,10,90,1049
"243",3,41,9,-100,130
"244",3,42,10,90,1155
"245",3,43,6,100,1015
"246",3,44,6,100,86
