group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A13FUEPWBCLBUY,1306313485539,0,0,train,1,[0 1],[0 1],1 2 3,3,1 3,[2 0];[0 4],0 4,3384 14673,49 51,0 1,18057,4,[0 1],1612142186.062,Sun Jan 31 2021 20:16:26 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,0,1,train,1,[0 1],[0 1],1 2 3,3,1 3,[2 0];[0 4],0 4,2263 3535,49 51,0 1,5798,4,[0 1],1612142196.469,Sun Jan 31 2021 20:16:36 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,0,2,train,1,[0 1],[0 1],1 2 3,3,1 3,[2 0];[0 4],0 4,1919 3359,49 51,0 1,5278,4,[0 1],1612142209.613,Sun Jan 31 2021 20:16:49 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,0,3,train,1,[0 1],[0 1],1 2 3,3,1 3,[2 0];[0 4],0 4,777 4472,49 51,0 1,5249,4,[0 1],1612142218.876,Sun Jan 31 2021 20:16:58 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,0,4,train,1,[0 1],[0 1],1 2 3,3,1 3,[2 0];[0 4],0 4,825 3520,49 51,0 1,4345,4,[0 1],1612142226.893,Sun Jan 31 2021 20:17:06 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,0,5,train,1,[0 1],[0 1],1 2 3,3,1 3,[2 0];[0 4],0 4,518 2369,49 51,0 1,2887,4,[0 1],1612142233.212,Sun Jan 31 2021 20:17:13 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,0,6,train,1,[1 0],[1 0],1 2 3,3,1 3,[2 0];[0 4],2 0,470 2489,49 51,0 1,2959,2,[0 1],1612142239.02,Sun Jan 31 2021 20:17:19 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,0,7,train,1,[0 1],[0 1],1 2 3,3,1 3,[2 0];[0 4],0 4,471 2167,49 51,0 1,2638,4,[0 1],1612142244.004,Sun Jan 31 2021 20:17:24 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,0,8,train,1,[1 0],[1 0],1 2 3,3,1 3,[2 0];[0 4],2 0,1103 1945,49 51,0 1,3048,2,[0 1],1612142249.813,Sun Jan 31 2021 20:17:29 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,0,9,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,528 4255,49 50,0 1,4783,5,[0 1],1612142262.7,Sun Jan 31 2021 20:17:42 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,0,10,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,1416 2192,49 50,0 1,3608,5,[0 1],1612142268.693,Sun Jan 31 2021 20:17:48 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,0,11,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,520 2103,49 50,0 1,2623,5,[0 1],1612142273.405,Sun Jan 31 2021 20:17:53 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,0,12,train,1,[0 1],[0 1],1 2 3,3,1 1,[2 0];[3 0],0 0,519 2040,49 50,0 1,2559,0,[0 1],1612142278.125,Sun Jan 31 2021 20:17:58 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,0,13,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,464 1911,49 50,0 1,2375,5,[0 1],1612142283.43,Sun Jan 31 2021 20:18:03 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,0,14,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,358 2041,49 50,0 1,2399,5,[0 1],1612142288.772,Sun Jan 31 2021 20:18:08 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,0,15,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,391 2122,49 50,0 1,2513,5,[0 1],1612142294.188,Sun Jan 31 2021 20:18:14 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,0,16,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,1279 2058,49 50,0 1,3337,5,[0 1],1612142299.988,Sun Jan 31 2021 20:18:19 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,0,17,train,1,[0 1],[0 1],1 2 3,3,1 2,[2 0];[2 3],0 3,424 2135,49 49,0 1,2559,3,[0 1],1612142308.365,Sun Jan 31 2021 20:18:28 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,0,18,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,953 5256,50 51,0 1,6209,5,[0 1],1612142317.132,Sun Jan 31 2021 20:18:37 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,0,19,train,1,[1 0],[1 0],1 2 3,3,2 3,[0 1];[0 4],0 0,656 2271,50 51,0 1,2927,0,[0 1],1612142324.164,Sun Jan 31 2021 20:18:44 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,0,0,test,1,[1 1],[1 1],1 2 3,3,2 3,[0 1];[0 4],1 4,871 2082,50 51,0 1,2953,5,[0 1],1612142331.51,Sun Jan 31 2021 20:18:51 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,1,0,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,678 2569,49 49,0 1,3247,4,[1 0],1612142344.028,Sun Jan 31 2021 20:19:04 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,1,1,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,687 1993,49 50,0 1,2680,5,[1 0],1612142349.781,Sun Jan 31 2021 20:19:09 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,1,2,train,1,[1 0],[0 1],1 2 3,3,2 2,[1 0];[3 2],0 2,1967 3241,49 49,0 1,5208,2,[1 0],1612142357.901,Sun Jan 31 2021 20:19:17 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,1,3,train,1,[0 1],[1 0],1 2 3,3,1 1,[0 2];[0 3],0 0,1033 3247,50 51,0 1,4280,0,[1 0],1612142365.133,Sun Jan 31 2021 20:19:25 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,1,4,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,1135 2167,50 51,0 1,3302,5,[1 0],1612142372.764,Sun Jan 31 2021 20:19:32 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,1,5,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,647 2513,50 51,0 1,3160,5,[1 0],1612142378.715,Sun Jan 31 2021 20:19:38 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,1,6,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,441 1975,50 51,0 1,2416,5,[1 0],1612142384.58,Sun Jan 31 2021 20:19:44 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,1,7,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,480 2342,50 51,0 1,2822,5,[1 0],1612142390.437,Sun Jan 31 2021 20:19:50 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,1,8,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,461 2031,50 51,0 1,2492,5,[1 0],1612142396.019,Sun Jan 31 2021 20:19:56 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,1,9,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,1751 2520,49 50,0 1,4271,5,[1 0],1612142403.643,Sun Jan 31 2021 20:20:03 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,1,10,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,895 2080,50 51,0 1,2975,5,[1 0],1612142410.219,Sun Jan 31 2021 20:20:10 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,1,11,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,912 2065,50 51,0 1,2977,5,[1 0],1612142416.604,Sun Jan 31 2021 20:20:16 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,1,12,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,406 2561,49 50,0 1,2967,5,[1 0],1612142423.429,Sun Jan 31 2021 20:20:23 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,1,13,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,583 1984,49 50,0 1,2567,5,[1 0],1612142428.916,Sun Jan 31 2021 20:20:28 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,1,14,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,847 2017,49 50,0 1,2864,5,[1 0],1612142435.453,Sun Jan 31 2021 20:20:35 GMT-0500 (Eastern Standard Time),0
A,A13FUEPWBCLBUY,1306313485539,1,15,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,473 1807,50 51,0 1,2280,5,[1 0],1612142441.403,Sun Jan 31 2021 20:20:41 GMT-0500 (Eastern Standard Time),0
