group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A147F5PJTHOB8A,1446207288316,0,0,train,1,[1 0],[1 0],1 2 3,3,1 3,[2 0];[0 4],2 0,3544 18383,49 50,0 1,21927,2,[0 1],1612149156.245,Sun Jan 31 2021 22:12:36 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,0,1,train,1,[1 0],[1 0],1 2 3,3,2 1,[0 1];[3 0],0 3,3209 9426,50 49,0 1,12635,3,[0 1],1612149177.193,Sun Jan 31 2021 22:12:57 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,0,2,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,2214 6550,49 51,0 1,8764,4,[0 1],1612149191.264,Sun Jan 31 2021 22:13:11 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,0,3,train,1,[0 1],[0 1],1 2 3,3,1 3,[2 0];[0 4],0 4,960 8992,49 50,0 1,9952,4,[0 1],1612149208.731,Sun Jan 31 2021 22:13:28 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,0,4,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,1554 5820,49 49,0 1,7374,5,[0 1],1612149224.037,Sun Jan 31 2021 22:13:44 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,0,5,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,705 3071,49 49,0 1,3776,5,[0 1],1612149232.584,Sun Jan 31 2021 22:13:52 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,0,6,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,750 1205 5522,51 50 50,1 2,7477,5,[0 1],1612149244.625,Sun Jan 31 2021 22:14:04 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,0,7,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,1295 3705,49 49,0 1,5000,5,[0 1],1612149253.358,Sun Jan 31 2021 22:14:13 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,0,8,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1061 4215,50 50,0 1,5276,5,[0 1],1612149262.123,Sun Jan 31 2021 22:14:22 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,0,9,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,527 2503,50 50,0 1,3030,5,[0 1],1612149268.659,Sun Jan 31 2021 22:14:28 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,0,10,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,458 2185,49 49,0 1,2643,5,[0 1],1612149274.11,Sun Jan 31 2021 22:14:34 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,0,11,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,477 2308,50 50,0 1,2785,5,[0 1],1612149279.885,Sun Jan 31 2021 22:14:39 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,0,12,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,383 2200,49 49,0 1,2583,5,[0 1],1612149287.807,Sun Jan 31 2021 22:14:47 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,0,13,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1560 2610,50 50,0 1,4170,5,[0 1],1612149298.372,Sun Jan 31 2021 22:14:58 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,0,14,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,456 2704,50 50,0 1,3160,5,[0 1],1612149305.098,Sun Jan 31 2021 22:15:05 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,0,15,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,475 3062,49 49,0 1,3537,5,[0 1],1612149311.718,Sun Jan 31 2021 22:15:11 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,0,16,train,1,[0 1],[0 1],1 2 3,3,2 2,[0 1];[2 3],1 3,406 3055,50 51,0 1,3461,4,[0 1],1612149318.57,Sun Jan 31 2021 22:15:18 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,0,17,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,409 2827,49 51,0 1,3236,4,[0 1],1612149325.209,Sun Jan 31 2021 22:15:25 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,0,18,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,617 1855,50 50,0 1,2472,5,[0 1],1612149331.609,Sun Jan 31 2021 22:15:31 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,0,19,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,390 2268,50 50,0 1,2658,5,[0 1],1612149338.202,Sun Jan 31 2021 22:15:38 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,0,0,test,1,[1 1],[1 1],1 2 3,3,2 2,[0 1];[2 3],1 5,1826 2073,50 51,0 1,3899,6,[0 1],1612149347.944,Sun Jan 31 2021 22:15:47 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,1,0,train,1,[0 1],[0 1],1 2 3,3,2 2,[0 1];[2 3],1 3,1581 4498,50 50,0 1,6079,4,[0 1],1612149366.785,Sun Jan 31 2021 22:16:06 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,1,1,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,515 2261,49 49,0 1,2776,5,[0 1],1612149373.223,Sun Jan 31 2021 22:16:13 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,1,2,train,1,[0 1],[0 1],1 2 3,3,2 2,[0 1];[2 3],1 3,517 2409,50 50,0 1,2926,4,[0 1],1612149380.539,Sun Jan 31 2021 22:16:20 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,1,3,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,353 3844,49 49,0 1,4197,5,[0 1],1612149387.81,Sun Jan 31 2021 22:16:27 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,1,4,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,672 2186,50 51,0 1,2858,5,[0 1],1612149394.351,Sun Jan 31 2021 22:16:34 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,1,5,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1140 2233,50 51,0 1,3373,5,[0 1],1612149401.017,Sun Jan 31 2021 22:16:41 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,1,6,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,390 3162,49 49,0 1,3552,5,[0 1],1612149407.472,Sun Jan 31 2021 22:16:47 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,1,7,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,403 2508,49 49,0 1,2911,5,[0 1],1612149412.96,Sun Jan 31 2021 22:16:52 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,1,8,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,808 1965,50 51,0 1,2773,5,[0 1],1612149418.582,Sun Jan 31 2021 22:16:58 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,1,9,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,317 3141,50 51,0 1,3458,5,[0 1],1612149424.975,Sun Jan 31 2021 22:17:04 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,1,10,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,392 3726,49 49,0 1,4118,5,[0 1],1612149432.946,Sun Jan 31 2021 22:17:12 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,1,11,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,290 1783,50 51,0 1,2073,5,[0 1],1612149437.548,Sun Jan 31 2021 22:17:17 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,1,12,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,237 1854,50 51,0 1,2091,5,[0 1],1612149442.076,Sun Jan 31 2021 22:17:22 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,1,13,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,345 1946,49 49,0 1,2291,5,[0 1],1612149447.669,Sun Jan 31 2021 22:17:27 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,1,14,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,242 2288,49 49,0 1,2530,5,[0 1],1612149453.176,Sun Jan 31 2021 22:17:33 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,1,15,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,265 2222,49 49,0 1,2487,5,[0 1],1612149461.25,Sun Jan 31 2021 22:17:41 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,1,16,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,434 1788,50 51,0 1,2222,5,[0 1],1612149466.343,Sun Jan 31 2021 22:17:46 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,1,17,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,273 1759,49 49,0 1,2032,5,[0 1],1612149470.825,Sun Jan 31 2021 22:17:50 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,1,18,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,338 1831,50 51,0 1,2169,5,[0 1],1612149475.575,Sun Jan 31 2021 22:17:55 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,1,19,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,258 1730,49 49,0 1,1988,5,[0 1],1612149480.018,Sun Jan 31 2021 22:18:00 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,1,0,test,1,[1 1],[1 1],1 2 3,3,2 3,[0 1];[0 4],1 4,2189 2916,50 51,0 1,5105,5,[0 1],1612149488.296,Sun Jan 31 2021 22:18:08 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,2,0,train,1,[0 1],[1 0],1 2 3,3,2 1,[1 0];[0 3],1 0,706 7729,49 51,0 1,8435,1,[1 0],1612149507.15,Sun Jan 31 2021 22:18:27 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,2,1,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,335 2413,50 51,0 1,2748,5,[1 0],1612149513.606,Sun Jan 31 2021 22:18:33 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,2,2,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,297 1953,50 51,0 1,2250,5,[1 0],1612149518.62,Sun Jan 31 2021 22:18:38 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,2,3,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,649 9500,49 50,0 1,10149,4,[1 0],1612149533.259,Sun Jan 31 2021 22:18:53 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,2,4,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,303 2647,49 50,0 1,2950,4,[1 0],1612149538.826,Sun Jan 31 2021 22:18:58 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,2,5,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,1388 2827,50 51,0 1,4215,5,[1 0],1612149545.66,Sun Jan 31 2021 22:19:05 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,2,6,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,243 3924,50 51,0 1,4167,5,[1 0],1612149553.313,Sun Jan 31 2021 22:19:13 GMT-0500 (Eastern Standard Time),0
A,A147F5PJTHOB8A,1446207288316,2,7,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,760 1755,50 51,0 1,2515,5,[1 0],1612149558.648,Sun Jan 31 2021 22:19:18 GMT-0500 (Eastern Standard Time),0
