group, workerId, subj_id, block, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1IFIK8J49WBER,1843977147389,0,train,1,[1 0],[0 1],1 2 3,3,2 3,[1 0];[4 0],0 0,1261 5409,97 98,0 1,6670,0,[1 0],1612122012.614,Sun Jan 31 2021 13:40:12 GMT-0600 (Central Standard Time),0
A,A1IFIK8J49WBER,1843977147389,0,train,1,[0 1],[1 0],1 2 3,3,1 2,[0 2];[3 2],0 3,1013 671 4533,99 98 99,1 2,6217,3,[1 0],1612122028.358,Sun Jan 31 2021 13:40:28 GMT-0600 (Central Standard Time),0
A,A1IFIK8J49WBER,1843977147389,0,train,1,[0 1],[1 0],1 2 3,3,1 1,[0 2];[0 3],0 0,1074 2867,98 97,0 1,3941,0,[1 0],1612122037.415,Sun Jan 31 2021 13:40:37 GMT-0600 (Central Standard Time),0
A,A1IFIK8J49WBER,1843977147389,0,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,671 2705,98 97,0 1,3376,5,[1 0],1612122044.367,Sun Jan 31 2021 13:40:44 GMT-0600 (Central Standard Time),0
A,A1IFIK8J49WBER,1843977147389,0,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,788 3190,98 97,0 1,3978,5,[1 0],1612122051.73,Sun Jan 31 2021 13:40:51 GMT-0600 (Central Standard Time),0
A,A1IFIK8J49WBER,1843977147389,0,train,1,[0 1],[1 0],1 2 3,3,1 3,[0 2];[4 0],0 4,681 7080,98 98,0 1,7761,4,[1 0],1612122063.835,Sun Jan 31 2021 13:41:03 GMT-0600 (Central Standard Time),0
A,A1IFIK8J49WBER,1843977147389,0,train,1,[0 1],[1 0],1 2 3,3,2 1,[1 0];[0 3],1 0,1825 3297,97 97,0 1,5122,1,[1 0],1612122072.13,Sun Jan 31 2021 13:41:12 GMT-0600 (Central Standard Time),0
A,A1IFIK8J49WBER,1843977147389,0,train,1,[1 0],[0 1],1 2 3,3,2 2,[1 0];[3 2],0 2,971 3817,97 99,0 1,4788,2,[1 0],1612122080.247,Sun Jan 31 2021 13:41:20 GMT-0600 (Central Standard Time),0
A,A1IFIK8J49WBER,1843977147389,0,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,2332 3867,98 97,0 1,6199,5,[1 0],1612122090.187,Sun Jan 31 2021 13:41:30 GMT-0600 (Central Standard Time),0
A,A1IFIK8J49WBER,1843977147389,0,train,1,[1 0],[0 1],1 2 3,3,2 1,[1 0];[0 3],0 3,1561 2878,97 97,0 1,4439,3,[1 0],1612122097.224,Sun Jan 31 2021 13:41:37 GMT-0600 (Central Standard Time),0
A,A1IFIK8J49WBER,1843977147389,0,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,1516 2612,98 97,0 1,4128,5,[1 0],1612122105.343,Sun Jan 31 2021 13:41:45 GMT-0600 (Central Standard Time),0
