group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1LJNQX4KBUXNP,1789420565128,0,0,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,10211 9518,49 49,0 1,19729,4,[0 1],1612143007.972,Sun Jan 31 2021 20:30:07 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,0,1,train,1,[1 0],[1 0],1 2 3,3,2 1,[0 1];[3 0],0 3,1409 9007,50 51,0 1,10416,3,[0 1],1612143030.322,Sun Jan 31 2021 20:30:30 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,0,2,train,1,[0 1],[0 1],1 2 3,3,1 3,[2 0];[0 4],0 4,1488 5223,49 50,0 1,6711,4,[0 1],1612143041.42,Sun Jan 31 2021 20:30:41 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,0,3,train,1,[1 0],[1 0],1 2 3,3,2 3,[0 1];[0 4],0 0,919 4721 3354,50 32 50,0 2,8994,0,[0 1],1612143053.441,Sun Jan 31 2021 20:30:53 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,0,4,train,1,[0 1],[0 1],1 2 3,3,1 2,[2 0];[2 3],0 3,1493 4864,49 49,0 1,6357,3,[0 1],1612143062.84,Sun Jan 31 2021 20:31:02 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,0,5,train,1,[0 1],[0 1],1 2 3,3,1 2,[2 0];[2 3],0 3,1053 3485,49 49,0 1,4538,3,[0 1],1612143072.219,Sun Jan 31 2021 20:31:12 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,0,6,train,1,[0 1],[0 1],1 2 3,3,1 2,[2 0];[2 3],0 3,1003 2417 726,49 32 49,0 2,4146,3,[0 1],1612143080.739,Sun Jan 31 2021 20:31:20 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,0,7,train,1,[0 1],[0 1],1 2 3,3,2 1,[0 1];[3 0],1 0,5951 2991,50 51,0 1,8942,1,[0 1],1612143093.695,Sun Jan 31 2021 20:31:33 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,0,8,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,813 2407,49 49,0 1,3220,4,[0 1],1612143099.427,Sun Jan 31 2021 20:31:39 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,0,9,train,1,[0 1],[0 1],1 2 3,3,1 2,[2 0];[2 3],0 3,872 3560,49 49,0 1,4432,3,[0 1],1612143106.178,Sun Jan 31 2021 20:31:46 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,0,10,train,1,[1 0],[1 0],1 2 3,3,2 2,[0 1];[2 3],0 2,1654 2324,50 49,0 1,3978,2,[0 1],1612143119.054,Sun Jan 31 2021 20:31:59 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,0,11,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,5696 5791 2067,49 32 49,0 2,13554,4,[0 1],1612143135.946,Sun Jan 31 2021 20:32:15 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,0,12,train,1,[0 1],[0 1],1 2 3,3,1 3,[2 0];[0 4],0 4,1035 5242,49 50,0 1,6277,4,[0 1],1612143146.904,Sun Jan 31 2021 20:32:26 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,0,13,train,1,[0 1],[0 1],1 2 3,3,2 1,[0 1];[3 0],1 0,2143 6798,50 51,0 1,8941,1,[0 1],1612143158.315,Sun Jan 31 2021 20:32:38 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,0,14,train,1,[1 0],[1 0],1 2 3,3,2 2,[0 1];[2 3],0 2,873 2545,50 49,0 1,3418,2,[0 1],1612143164,Sun Jan 31 2021 20:32:44 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,0,15,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,504 2689,49 49,0 1,3193,4,[0 1],1612143169.472,Sun Jan 31 2021 20:32:49 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,0,16,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,527 2313,49 49,0 1,2840,4,[0 1],1612143178.228,Sun Jan 31 2021 20:32:58 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,0,17,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,651 2980,50 50,0 1,3631,5,[0 1],1612143188.929,Sun Jan 31 2021 20:33:08 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,0,18,train,1,[0 1],[0 1],1 2 3,3,1 3,[2 0];[0 4],0 4,2056 1998,49 50,0 1,4054,4,[0 1],1612143195.768,Sun Jan 31 2021 20:33:15 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,0,19,train,1,[1 0],[1 0],1 2 3,3,2 2,[0 1];[2 3],0 2,932 2915,50 49,0 1,3847,2,[0 1],1612143201.968,Sun Jan 31 2021 20:33:21 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,0,0,test,1,[1 1],[1 1],1 2 3,3,1 1,[2 0];[3 0],2 3,2807 6630,49 51,0 1,9437,5,[0 1],1612143215.539,Sun Jan 31 2021 20:33:35 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,1,0,train,1,[0 1],[1 0],1 2 3,3,2 1,[1 0];[0 3],1 0,3045 5340,50 51,0 1,8385,1,[1 0],1612143231.855,Sun Jan 31 2021 20:33:51 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,1,1,train,1,[1 0],[0 1],1 2 3,3,1 3,[0 2];[4 0],2 0,2571 4591,49 49,0 1,7162,2,[1 0],1612143261.007,Sun Jan 31 2021 20:34:21 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,1,2,train,1,[1 0],[0 1],1 2 3,3,1 3,[0 2];[4 0],2 0,883 3623,49 49,0 1,4506,2,[1 0],1612143268.306,Sun Jan 31 2021 20:34:28 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,1,3,train,1,[1 0],[0 1],1 2 3,3,2 3,[1 0];[4 0],0 0,638 4738,50 49,0 1,5376,0,[1 0],1612143280.381,Sun Jan 31 2021 20:34:40 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,1,4,train,1,[0 1],[1 0],1 2 3,3,1 3,[0 2];[4 0],0 4,661 4493,49 49,0 1,5154,4,[1 0],1612143288.982,Sun Jan 31 2021 20:34:48 GMT-0500 (Eastern Standard Time),0
A,A1LJNQX4KBUXNP,1789420565128,1,5,train,1,[1 0],[0 1],1 2 3,3,2 3,[1 0];[4 0],0 0,2122 2425,50 49,0 1,4547,0,[1 0],1612143296.908,Sun Jan 31 2021 20:34:56 GMT-0500 (Eastern Standard Time),0
