group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1QLAH0AHDVNM5,1269229672851,0,0,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,2207 8705,98 49,0 1,10912,4,[0 1],1612141596.188,Sun Jan 31 2021 20:06:36 GMT-0500 (Eastern Standard Time),1
A,A1QLAH0AHDVNM5,1269229672851,0,1,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,1632 5951,50 50,0 1,7583,5,[0 1],1612141609.37,Sun Jan 31 2021 20:06:49 GMT-0500 (Eastern Standard Time),1
A,A1QLAH0AHDVNM5,1269229672851,0,2,train,1,[1 0],[1 0],1 2 3,3,1 3,[2 0];[0 4],2 0,1520 6760,50 51,0 1,8280,2,[0 1],1612141624.97,Sun Jan 31 2021 20:07:04 GMT-0500 (Eastern Standard Time),1
A,A1QLAH0AHDVNM5,1269229672851,0,3,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1631 3825,49 51,0 1,5456,5,[0 1],1612141637.946,Sun Jan 31 2021 20:07:17 GMT-0500 (Eastern Standard Time),1
A,A1QLAH0AHDVNM5,1269229672851,0,4,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1096 5160,49 51,0 1,6256,5,[0 1],1612141650.93,Sun Jan 31 2021 20:07:30 GMT-0500 (Eastern Standard Time),1
A,A1QLAH0AHDVNM5,1269229672851,0,5,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,896 4920,49 51,0 1,5816,5,[0 1],1612141661.419,Sun Jan 31 2021 20:07:41 GMT-0500 (Eastern Standard Time),1
A,A1QLAH0AHDVNM5,1269229672851,0,6,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,1544 4607,50 50,0 1,6151,5,[0 1],1612141673.755,Sun Jan 31 2021 20:07:53 GMT-0500 (Eastern Standard Time),1
A,A1QLAH0AHDVNM5,1269229672851,0,7,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1111 5801,49 51,0 1,6912,5,[0 1],1612141685.515,Sun Jan 31 2021 20:08:05 GMT-0500 (Eastern Standard Time),1
A,A1QLAH0AHDVNM5,1269229672851,0,8,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,1824 2056,50 50,0 1,3880,5,[0 1],1612141695.259,Sun Jan 31 2021 20:08:15 GMT-0500 (Eastern Standard Time),1
A,A1QLAH0AHDVNM5,1269229672851,0,9,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,976 4327,50 50,0 1,5303,5,[0 1],1612141705.803,Sun Jan 31 2021 20:08:25 GMT-0500 (Eastern Standard Time),1
