group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3C8JI69WPTKWH,1387768104300,0,0,train,1,[0 1],[0 1],1 2 3,3,2 1,[0 1];[3 0],1 0,13632 30492,49 49,0 1,44124,1,[0 1],1612133783.174,Sun Jan 31 2021 17:56:23 GMT-0500 (GMT-05:00),0
A,A3C8JI69WPTKWH,1387768104300,0,1,train,1,[0 1],[0 1],1 2 3,3,1 2,[2 0];[2 3],0 3,4351 8799,50 51,0 1,13150,3,[0 1],1612133809.244,Sun Jan 31 2021 17:56:49 GMT-0500 (GMT-05:00),0
A,A3C8JI69WPTKWH,1387768104300,0,2,train,1,[1 0],[1 0],1 2 3,3,2 1,[0 1];[3 0],0 3,8707 19319,49 49,0 1,28026,3,[0 1],1612133844.592,Sun Jan 31 2021 17:57:24 GMT-0500 (GMT-05:00),0
A,A3C8JI69WPTKWH,1387768104300,0,3,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,3508 7842,50 49,0 1,11350,5,[0 1],1612133862.064,Sun Jan 31 2021 17:57:42 GMT-0500 (GMT-05:00),0
A,A3C8JI69WPTKWH,1387768104300,0,4,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,2189 12498,50 49,0 1,14687,5,[0 1],1612133879.879,Sun Jan 31 2021 17:57:59 GMT-0500 (GMT-05:00),0
A,A3C8JI69WPTKWH,1387768104300,0,5,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,1887 3761,50 49,0 1,5648,5,[0 1],1612133889.257,Sun Jan 31 2021 17:58:09 GMT-0500 (GMT-05:00),0
A,A3C8JI69WPTKWH,1387768104300,0,6,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,3560 3952,50 49,0 1,7512,5,[0 1],1612133900.506,Sun Jan 31 2021 17:58:20 GMT-0500 (GMT-05:00),0
A,A3C8JI69WPTKWH,1387768104300,0,7,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,2784 10769,49 50,0 1,13553,5,[0 1],1612133919.245,Sun Jan 31 2021 17:58:39 GMT-0500 (GMT-05:00),0
A,A3C8JI69WPTKWH,1387768104300,0,8,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,1305 33584,50 49,0 1,34889,5,[0 1],1612133958.276,Sun Jan 31 2021 17:59:18 GMT-0500 (GMT-05:00),0
A,A3C8JI69WPTKWH,1387768104300,0,9,train,1,[0 1],[0 1],1 2 3,3,2 1,[0 1];[3 0],1 0,1255 6764,49 49,0 1,8019,1,[0 1],1612133968.996,Sun Jan 31 2021 17:59:28 GMT-0500 (GMT-05:00),0
