group, workerId, subj_id, block, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3URLNXHLP4ARU,1238913914639,0,train,1,[0 1],[0 1],1 2 3,3,2 2,[0 1];[2 3],1 3,7516 1737 15337,13 49 49,1 2,24590,4,[0 1],1612118976.645,Sun Jan 31 2021 13:49:36 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,0,train,1,[0 1],[0 1],1 2 3,3,1 1,[2 0];[3 0],0 0,3108 1807 5264,32 50 50,1 2,10179,0,[0 1],1612118991.754,Sun Jan 31 2021 13:49:51 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,0,train,1,[0 1],[0 1],1 2 3,3,1 2,[2 0];[2 3],0 3,1530 366 3068,51 50 49,1 2,4964,3,[0 1],1612118999.8,Sun Jan 31 2021 13:49:59 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,0,train,1,[1 0],[1 0],1 2 3,3,2 2,[0 1];[2 3],0 2,18398 7227 950,49 32 49,0 2,26575,2,[0 1],1612119043.997,Sun Jan 31 2021 13:50:43 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,0,train,1,[1 0],[1 0],1 2 3,3,2 1,[0 1];[3 0],0 3,2973 16656,49 50,0 1,19629,3,[0 1],1612119118.913,Sun Jan 31 2021 13:51:58 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,0,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,1334 3629 2249,50 39 50,0 2,7212,5,[0 1],1612119131.012,Sun Jan 31 2021 13:52:11 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,0,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,1521 5539,50 50,0 1,7060,5,[0 1],1612119143.83,Sun Jan 31 2021 13:52:23 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,0,train,1,[0 1],[0 1],1 2 3,3,1 1,[2 0];[3 0],0 0,1278 4234,50 50,0 1,5512,0,[0 1],1612119153.01,Sun Jan 31 2021 13:52:33 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,0,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,668 4567,50 50,0 1,5235,5,[0 1],1612119162.604,Sun Jan 31 2021 13:52:42 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,0,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,1664 3333,50 50,0 1,4997,5,[0 1],1612119170.703,Sun Jan 31 2021 13:52:50 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,0,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,559 3499,49 51,0 1,4058,5,[0 1],1612119185.035,Sun Jan 31 2021 13:53:05 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,0,train,1,[1 0],[1 0],1 2 3,3,2 3,[0 1];[0 4],0 0,546 2620,49 51,0 1,3166,0,[0 1],1612119192.58,Sun Jan 31 2021 13:53:12 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,0,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,504 3888,50 50,0 1,4392,5,[0 1],1612119201.382,Sun Jan 31 2021 13:53:21 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,0,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,639 3314,49 51,0 1,3953,5,[0 1],1612119210.13,Sun Jan 31 2021 13:53:30 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,0,train,1,[1 0],[1 0],1 2 3,3,2 3,[0 1];[0 4],0 0,1177 5292,49 51,0 1,6469,0,[0 1],1612119219.412,Sun Jan 31 2021 13:53:39 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,0,train,1,[0 1],[0 1],1 2 3,3,2 2,[0 1];[2 3],1 3,1196 2834,49 49,0 1,4030,4,[0 1],1612119236.601,Sun Jan 31 2021 13:53:56 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,0,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1589 6180,49 51,0 1,7769,5,[0 1],1612119247.28,Sun Jan 31 2021 13:54:07 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,0,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1760 4299,49 51,0 1,6059,5,[0 1],1612119260.28,Sun Jan 31 2021 13:54:20 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,0,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,979 2930,50 50,0 1,3909,5,[0 1],1612119282.249,Sun Jan 31 2021 13:54:42 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,0,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1181 3319,49 51,0 1,4500,5,[0 1],1612119294.703,Sun Jan 31 2021 13:54:54 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,0,test,1,[1 1],[1 1],1 2 3,3,2 3,[0 1];[0 4],1 4,763 8629,49 51,0 1,9392,5,[0 1],1612119316.553,Sun Jan 31 2021 13:55:16 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,1,train,1,[0 1],[0 1],1 2 3,3,1 2,[2 0];[2 3],0 3,28250 11529,49 49,0 1,39779,3,[0 1],1612119392.351,Sun Jan 31 2021 13:56:32 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,1,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,798 2768,49 49,0 1,3566,4,[0 1],1612119401.625,Sun Jan 31 2021 13:56:41 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,1,train,1,[1 0],[1 0],1 2 3,3,2 1,[0 1];[3 0],0 3,881 10390,50 50,0 1,11271,3,[0 1],1612119426.948,Sun Jan 31 2021 13:57:06 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,1,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,2495 3613,50 51,0 1,6108,5,[0 1],1612119440.463,Sun Jan 31 2021 13:57:20 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,1,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1378 4777 1554,50 52 51,0 2,7709,5,[0 1],1612119452.503,Sun Jan 31 2021 13:57:32 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,1,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,716 2269,50 51,0 1,2985,5,[0 1],1612119460.987,Sun Jan 31 2021 13:57:40 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,1,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,751 3049 438,50 52 51,0 2,4238,5,[0 1],1612119468.581,Sun Jan 31 2021 13:57:48 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,1,train,1,[1 0],[1 0],1 2 3,3,2 2,[0 1];[2 3],0 2,2077 6801,50 49,0 1,8878,2,[0 1],1612119486.897,Sun Jan 31 2021 13:58:06 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,1,train,1,[1 0],[1 0],1 2 3,3,2 2,[0 1];[2 3],0 2,1088 4420,50 49,0 1,5508,2,[0 1],1612119501.538,Sun Jan 31 2021 13:58:21 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,1,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,472 4421,49 49,0 1,4893,4,[0 1],1612119511.063,Sun Jan 31 2021 13:58:31 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,1,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,434 2289,49 49,0 1,2723,4,[0 1],1612119517.447,Sun Jan 31 2021 13:58:37 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,1,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,478 2164,49 49,0 1,2642,4,[0 1],1612119523.673,Sun Jan 31 2021 13:58:43 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,1,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,647 5731,50 51,0 1,6378,5,[0 1],1612119535.653,Sun Jan 31 2021 13:58:55 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,1,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,359 2621,49 49,0 1,2980,4,[0 1],1612119542.957,Sun Jan 31 2021 13:59:02 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,1,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,606 2831,50 51,0 1,3437,5,[0 1],1612119550.26,Sun Jan 31 2021 13:59:10 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,1,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,541 2042,50 51,0 1,2583,5,[0 1],1612119556.245,Sun Jan 31 2021 13:59:16 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,1,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,382 2204,50 51,0 1,2586,5,[0 1],1612119562.254,Sun Jan 31 2021 13:59:22 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,1,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,374 2271,49 49,0 1,2645,4,[0 1],1612119568.342,Sun Jan 31 2021 13:59:28 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,1,train,1,[0 1],[0 1],1 2 3,3,2 2,[0 1];[2 3],1 3,407 3574,50 49,0 1,3981,4,[0 1],1612119576.803,Sun Jan 31 2021 13:59:36 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,1,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,571 4148,49 49,0 1,4719,4,[0 1],1612119585.884,Sun Jan 31 2021 13:59:45 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,1,test,1,[1 1],[1 1],1 2 3,3,1 2,[2 0];[2 3],2 5,553 2454,49 49,0 1,3007,7,[0 1],1612119595.686,Sun Jan 31 2021 13:59:55 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,2,train,1,[0 1],[0 1],1 2 3,3,1 1,[2 0];[3 0],0 0,757 3460,49 49,0 1,4217,0,[0 1],1612119611.242,Sun Jan 31 2021 14:00:11 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,2,train,1,[1 0],[1 0],1 2 3,3,1 3,[2 0];[0 4],2 0,705 3212,49 50,0 1,3917,2,[0 1],1612119618.588,Sun Jan 31 2021 14:00:18 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,2,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,810 3089,50 50,0 1,3899,5,[0 1],1612119627.085,Sun Jan 31 2021 14:00:27 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,2,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,479 2313,50 50,0 1,2792,5,[0 1],1612119632.839,Sun Jan 31 2021 14:00:32 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,2,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,382 2221,50 50,0 1,2603,5,[0 1],1612119638.321,Sun Jan 31 2021 14:00:38 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,2,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,633 2333,50 50,0 1,2966,5,[0 1],1612119644.195,Sun Jan 31 2021 14:00:44 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,2,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,358 2073,49 49,0 1,2431,5,[0 1],1612119649.88,Sun Jan 31 2021 14:00:49 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,2,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,385 2085,50 50,0 1,2470,5,[0 1],1612119655.848,Sun Jan 31 2021 14:00:55 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,2,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,352 2665,49 49,0 1,3017,5,[0 1],1612119661.974,Sun Jan 31 2021 14:01:01 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,2,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,483 2314,49 49,0 1,2797,5,[0 1],1612119667.083,Sun Jan 31 2021 14:01:07 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,2,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,504 1846,49 49,0 1,2350,5,[0 1],1612119671.841,Sun Jan 31 2021 14:01:11 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,2,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,373 2203,50 50,0 1,2576,5,[0 1],1612119677.211,Sun Jan 31 2021 14:01:17 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,2,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,357 2646,49 49,0 1,3003,5,[0 1],1612119683.232,Sun Jan 31 2021 14:01:23 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,2,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1149 2315,50 50,0 1,3464,5,[0 1],1612119688.99,Sun Jan 31 2021 14:01:28 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,2,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,289 2202,49 49,0 1,2491,5,[0 1],1612119694.303,Sun Jan 31 2021 14:01:34 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,2,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,389 1878,49 49,0 1,2267,5,[0 1],1612119699.126,Sun Jan 31 2021 14:01:39 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,2,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,913 2470,49 49,0 1,3383,5,[0 1],1612119704.876,Sun Jan 31 2021 14:01:44 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,2,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,360 2826,49 49,0 1,3186,5,[0 1],1612119710.836,Sun Jan 31 2021 14:01:50 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,2,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,517 2955,50 50,0 1,3472,5,[0 1],1612119718.116,Sun Jan 31 2021 14:01:58 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,2,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,746 2131,50 50,0 1,2877,5,[0 1],1612119724.506,Sun Jan 31 2021 14:02:04 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,2,test,1,[1 1],[1 1],1 2 3,3,1 2,[2 0];[2 3],2 5,2210 2472 1089,49 52 51,0 2,5771,7,[0 1],1612119739.449,Sun Jan 31 2021 14:02:19 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,3,train,1,[1 0],[1 0],1 2 3,3,1 3,[2 0];[0 4],2 0,868 4974,49 49,0 1,5842,2,[0 1],1612119756.211,Sun Jan 31 2021 14:02:36 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,3,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,656 2056,49 50,0 1,2712,4,[0 1],1612119763.027,Sun Jan 31 2021 14:02:43 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,3,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1383 2326,50 49,0 1,3709,5,[0 1],1612119770.821,Sun Jan 31 2021 14:02:50 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,3,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,591 2025,50 49,0 1,2616,5,[0 1],1612119776.536,Sun Jan 31 2021 14:02:56 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,3,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,407 2117,49 51,0 1,2524,5,[0 1],1612119782.382,Sun Jan 31 2021 14:03:02 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,3,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,516 2378,50 49,0 1,2894,5,[0 1],1612119787.936,Sun Jan 31 2021 14:03:07 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,3,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,428 2201,50 49,0 1,2629,5,[0 1],1612119793.233,Sun Jan 31 2021 14:03:13 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,3,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,508 1990,50 49,0 1,2498,5,[0 1],1612119798.604,Sun Jan 31 2021 14:03:18 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,3,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,611 2255,49 51,0 1,2866,5,[0 1],1612119804.459,Sun Jan 31 2021 14:03:24 GMT-0500 (Eastern Standard Time),0
A,A3URLNXHLP4ARU,1238913914639,3,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,759 1847,49 51,0 1,2606,5,[0 1],1612119810.904,Sun Jan 31 2021 14:03:30 GMT-0500 (Eastern Standard Time),0
