group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3V2XCDF45VN9X,1628117889094,0,0,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,2610 10575,50 51,0 1,13185,5,[0 1],1612141451.024,Sun Jan 31 2021 19:04:11 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,0,1,train,1,[0 1],[0 1],1 2 3,3,1 3,[2 0];[0 4],0 4,2374 6885,49 51,0 1,9259,4,[0 1],1612141466.876,Sun Jan 31 2021 19:04:26 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,0,2,train,1,[1 0],[1 0],1 2 3,3,1 3,[2 0];[0 4],2 0,2441 7448,49 51,0 1,9889,2,[0 1],1612141488.751,Sun Jan 31 2021 19:04:48 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,0,3,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1541 3656,50 51,0 1,5197,5,[0 1],1612141502.719,Sun Jan 31 2021 19:05:02 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,0,4,train,1,[1 0],[1 0],1 2 3,3,1 3,[2 0];[0 4],2 0,1463 5129,49 51,0 1,6592,2,[0 1],1612141514.318,Sun Jan 31 2021 19:05:14 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,0,5,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1665 4005,50 51,0 1,5670,5,[0 1],1612141523.015,Sun Jan 31 2021 19:05:23 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,0,6,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1305 3645,50 51,0 1,4950,5,[0 1],1612141531.632,Sun Jan 31 2021 19:05:31 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,0,7,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1215 3296,50 51,0 1,4511,5,[0 1],1612141540.329,Sun Jan 31 2021 19:05:40 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,0,8,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,2183 3813,49 50,0 1,5996,5,[0 1],1612141549.857,Sun Jan 31 2021 19:05:49 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,0,9,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,933 2555,50 51,0 1,3488,5,[0 1],1612141556.371,Sun Jan 31 2021 19:05:56 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,0,10,train,1,[1 0],[1 0],1 2 3,3,2 1,[0 1];[3 0],0 3,1643 6041,50 50,0 1,7684,3,[0 1],1612141569.241,Sun Jan 31 2021 19:06:09 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,0,11,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,2092 3184,49 50,0 1,5276,5,[0 1],1612141581.212,Sun Jan 31 2021 19:06:21 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,0,12,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,855 2880,49 50,0 1,3735,5,[0 1],1612141587.929,Sun Jan 31 2021 19:06:27 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,0,13,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,843 2993,49 50,0 1,3836,5,[0 1],1612141595.915,Sun Jan 31 2021 19:06:35 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,0,14,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,630 2823,50 51,0 1,3453,5,[0 1],1612141602.936,Sun Jan 31 2021 19:06:42 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,0,15,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,731 3128,49 50,0 1,3859,5,[0 1],1612141610.462,Sun Jan 31 2021 19:06:50 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,0,16,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,934 3295,49 50,0 1,4229,5,[0 1],1612141618.326,Sun Jan 31 2021 19:06:58 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,0,17,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,922 2217,50 51,0 1,3139,5,[0 1],1612141624.795,Sun Jan 31 2021 19:07:04 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,0,18,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,720 3375,50 51,0 1,4095,5,[0 1],1612141632.884,Sun Jan 31 2021 19:07:12 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,0,19,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,754 3319,49 50,0 1,4073,5,[0 1],1612141640.692,Sun Jan 31 2021 19:07:20 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,0,0,test,1,[1 1],[1 1],1 2 3,3,1 1,[2 0];[3 0],2 3,1057 3173,49 50,0 1,4230,5,[0 1],1612141648.094,Sun Jan 31 2021 19:07:28 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,1,0,train,1,[1 0],[0 1],1 2 3,3,1 2,[0 2];[3 2],2 2,1789 4826,50 49,0 1,6615,4,[1 0],1612141667.962,Sun Jan 31 2021 19:07:47 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,1,1,train,1,[1 0],[0 1],1 2 3,3,1 2,[0 2];[3 2],2 2,787 2982,50 49,0 1,3769,4,[1 0],1612141675.567,Sun Jan 31 2021 19:07:55 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,1,2,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,1293 3049,49 49,0 1,4342,4,[1 0],1612141684.084,Sun Jan 31 2021 19:08:04 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,1,3,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,1462 3409,49 49,0 1,4871,4,[1 0],1612141694.603,Sun Jan 31 2021 19:08:14 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,1,4,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,2688 3645,49 49,0 1,6333,4,[1 0],1612141704.413,Sun Jan 31 2021 19:08:24 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,1,5,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,1148 3431,49 49,0 1,4579,4,[1 0],1612141712.153,Sun Jan 31 2021 19:08:32 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,1,6,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,1384 3060,49 49,0 1,4444,4,[1 0],1612141719.319,Sun Jan 31 2021 19:08:39 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,1,7,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,844 2891,49 49,0 1,3735,4,[1 0],1612141726.137,Sun Jan 31 2021 19:08:46 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,1,8,train,1,[1 0],[0 1],1 2 3,3,1 3,[0 2];[4 0],2 0,641 2925,50 50,0 1,3566,2,[1 0],1612141734.271,Sun Jan 31 2021 19:08:54 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,1,9,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,1642 2869,49 50,0 1,4511,5,[1 0],1612141741.898,Sun Jan 31 2021 19:09:01 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,1,10,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,1069 3870,50 51,0 1,4939,5,[1 0],1612141751.9,Sun Jan 31 2021 19:09:11 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,1,11,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,2644 2463,50 51,0 1,5107,5,[1 0],1612141759.708,Sun Jan 31 2021 19:09:19 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,1,12,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,1328 2385,50 51,0 1,3713,5,[1 0],1612141766.3,Sun Jan 31 2021 19:09:26 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,1,13,train,1,[0 1],[1 0],1 2 3,3,2 1,[1 0];[0 3],1 0,630 2452,49 51,0 1,3082,1,[1 0],1612141773.534,Sun Jan 31 2021 19:09:33 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,1,14,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,1036 2801,49 50,0 1,3837,5,[1 0],1612141780.824,Sun Jan 31 2021 19:09:40 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,1,15,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,1282 2307,49 50,0 1,3589,5,[1 0],1612141786.933,Sun Jan 31 2021 19:09:46 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,1,16,train,1,[1 0],[0 1],1 2 3,3,2 2,[1 0];[3 2],0 2,1159 3206,49 49,0 1,4365,2,[1 0],1612141793.976,Sun Jan 31 2021 19:09:53 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,1,17,train,1,[1 0],[0 1],1 2 3,3,2 3,[1 0];[4 0],0 0,1429 2723,49 50,0 1,4152,0,[1 0],1612141801.03,Sun Jan 31 2021 19:10:01 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,1,18,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,1485 2521,50 51,0 1,4006,5,[1 0],1612141807.78,Sun Jan 31 2021 19:10:07 GMT-0600 (Central Standard Time),0
A,A3V2XCDF45VN9X,1628117889094,1,19,train,1,[1 0],[0 1],1 2 3,3,2 1,[1 0];[0 3],0 3,1406 3623,49 51,0 1,5029,3,[1 0],1612141816.937,Sun Jan 31 2021 19:10:16 GMT-0600 (Central Standard Time),0
