group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A8C3WNWRBWUXO,1542087095617,0,0,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,5120 12544,49 49,0 1,17664,4,[0 1],1612142973.296,Sun Jan 31 2021 20:29:33 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,0,1,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,1695 6048,49 50,0 1,7743,5,[0 1],1612142988.88,Sun Jan 31 2021 20:29:48 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,0,2,train,1,[0 1],[0 1],1 2 3,3,2 2,[0 1];[2 3],1 3,1304 4896,50 49,0 1,6200,4,[0 1],1612143001.135,Sun Jan 31 2021 20:30:01 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,0,3,train,1,[1 0],[1 0],1 2 3,3,1 3,[2 0];[0 4],2 0,768 3736,49 51,0 1,4504,2,[0 1],1612143012.239,Sun Jan 31 2021 20:30:12 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,0,4,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,720 4192,49 50,0 1,4912,5,[0 1],1612143021.095,Sun Jan 31 2021 20:30:21 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,0,5,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,744 2968,49 50,0 1,3712,5,[0 1],1612143028.439,Sun Jan 31 2021 20:30:28 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,0,6,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1600 2280,50 51,0 1,3880,5,[0 1],1612143036.191,Sun Jan 31 2021 20:30:36 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,0,7,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,2008 4520,49 50,0 1,6528,5,[0 1],1612143046.887,Sun Jan 31 2021 20:30:46 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,0,8,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,2184 3848,49 50,0 1,6032,5,[0 1],1612143056.031,Sun Jan 31 2021 20:30:56 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,0,9,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,1528 3744,49 50,0 1,5272,5,[0 1],1612143064.455,Sun Jan 31 2021 20:31:04 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,0,10,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1112 4752,50 51,0 1,5864,5,[0 1],1612143073.487,Sun Jan 31 2021 20:31:13 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,0,11,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,2368 4191,49 50,0 1,6559,5,[0 1],1612143084.614,Sun Jan 31 2021 20:31:24 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,0,12,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,8264 5319,50 51,0 1,13583,5,[0 1],1612143110.246,Sun Jan 31 2021 20:31:50 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,0,13,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,2512 2680,50 51,0 1,5192,5,[0 1],1612143119.134,Sun Jan 31 2021 20:31:59 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,0,14,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,2096 3520,49 50,0 1,5616,5,[0 1],1612143127.286,Sun Jan 31 2021 20:32:07 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,0,15,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1656 2544,50 51,0 1,4200,5,[0 1],1612143135.622,Sun Jan 31 2021 20:32:15 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,0,16,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,3728 11168,50 51,0 1,14896,5,[0 1],1612143154.734,Sun Jan 31 2021 20:32:34 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,0,17,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1816 4728,50 51,0 1,6544,5,[0 1],1612143166.622,Sun Jan 31 2021 20:32:46 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,0,18,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1824 3680,50 51,0 1,5504,5,[0 1],1612143188.39,Sun Jan 31 2021 20:33:08 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,0,19,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,848 2639,50 51,0 1,3487,5,[0 1],1612143195.67,Sun Jan 31 2021 20:33:15 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,0,0,test,1,[1 1],[1 1],1 2 3,3,1 2,[2 0];[2 3],2 5,3080 4591,49 49,0 1,7671,7,[0 1],1612143207.565,Sun Jan 31 2021 20:33:27 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,1,0,train,1,[1 0],[0 1],1 2 3,3,2 2,[1 0];[3 2],0 2,1615 4496,49 49,0 1,6111,2,[1 0],1612143223.39,Sun Jan 31 2021 20:33:43 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,1,1,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,3112 3424,49 50,0 1,6536,5,[1 0],1612143233.693,Sun Jan 31 2021 20:33:53 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,1,2,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,1128 4624,50 51,0 1,5752,5,[1 0],1612143242.174,Sun Jan 31 2021 20:34:02 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,1,3,train,1,[1 0],[0 1],1 2 3,3,1 2,[0 2];[3 2],2 2,2048 2688,50 49,0 1,4736,4,[1 0],1612143250.437,Sun Jan 31 2021 20:34:10 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,1,4,train,1,[1 0],[0 1],1 2 3,3,1 3,[0 2];[4 0],2 0,2024 2216,50 50,0 1,4240,2,[1 0],1612143257.477,Sun Jan 31 2021 20:34:17 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,1,5,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,1904 2233,50 51,0 1,4137,5,[1 0],1612143264.981,Sun Jan 31 2021 20:34:24 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,1,6,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,2016 7584,49 50,0 1,9600,5,[1 0],1612143277.237,Sun Jan 31 2021 20:34:37 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,1,7,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,3544 2360,49 50,0 1,5904,5,[1 0],1612143285.389,Sun Jan 31 2021 20:34:45 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,1,8,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,1352 1928,49 50,0 1,3280,5,[1 0],1612143290.757,Sun Jan 31 2021 20:34:50 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,1,9,train,1,[1 0],[0 1],1 2 3,3,2 1,[1 0];[0 3],0 3,976 4448,49 51,0 1,5424,3,[1 0],1612143298.477,Sun Jan 31 2021 20:34:58 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,1,10,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,1920 2096,50 51,0 1,4016,5,[1 0],1612143304.684,Sun Jan 31 2021 20:35:04 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,1,11,train,1,[0 1],[1 0],1 2 3,3,1 3,[0 2];[4 0],0 4,1336 3792,50 50,0 1,5128,4,[1 0],1612143311.845,Sun Jan 31 2021 20:35:11 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,1,12,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,2224 4240,49 50,0 1,6464,5,[1 0],1612143320.572,Sun Jan 31 2021 20:35:20 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,1,13,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,1687 2112,49 50,0 1,3799,5,[1 0],1612143326.38,Sun Jan 31 2021 20:35:26 GMT-0500 (Eastern Standard Time),0
A,A8C3WNWRBWUXO,1542087095617,1,14,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,1055 2000,49 50,0 1,3055,5,[1 0],1612143331.556,Sun Jan 31 2021 20:35:31 GMT-0500 (Eastern Standard Time),0
