group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AA4O2W236E3FW,1772554115321,0,0,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,2306 14866,49 50,0 1,17172,4,[0 1],1612142310.009,Sun Jan 31 2021 20:18:30 GMT-0500 (Eastern Standard Time),0
A,AA4O2W236E3FW,1772554115321,0,1,train,1,[0 1],[0 1],1 2 3,3,2 1,[0 1];[3 0],1 0,2483 11700,50 49,0 1,14183,1,[0 1],1612142333.802,Sun Jan 31 2021 20:18:53 GMT-0500 (Eastern Standard Time),0
A,AA4O2W236E3FW,1772554115321,0,2,train,1,[1 0],[1 0],1 2 3,3,2 3,[0 1];[0 4],0 0,1413 7670,50 51,0 1,9083,0,[0 1],1612142350.536,Sun Jan 31 2021 20:19:10 GMT-0500 (Eastern Standard Time),0
A,AA4O2W236E3FW,1772554115321,0,3,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,1275 7029,49 49,0 1,8304,5,[0 1],1612142368.504,Sun Jan 31 2021 20:19:28 GMT-0500 (Eastern Standard Time),0
A,AA4O2W236E3FW,1772554115321,0,4,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,897 8729,49 49,0 1,9626,5,[0 1],1612142387.799,Sun Jan 31 2021 20:19:47 GMT-0500 (Eastern Standard Time),0
A,AA4O2W236E3FW,1772554115321,0,5,train,1,[1 0],[1 0],1 2 3,3,1 3,[2 0];[0 4],2 0,2406 21684,49 51,0 1,24090,2,[0 1],1612142420.028,Sun Jan 31 2021 20:20:20 GMT-0500 (Eastern Standard Time),0
A,AA4O2W236E3FW,1772554115321,0,6,train,1,[0 1],[0 1],1 2 3,3,1 2,[2 0];[2 3],0 3,1096 4062,49 50,0 1,5158,3,[0 1],1612142435.192,Sun Jan 31 2021 20:20:35 GMT-0500 (Eastern Standard Time),0
A,AA4O2W236E3FW,1772554115321,0,7,train,1,[0 1],[0 1],1 2 3,3,1 3,[2 0];[0 4],0 4,1408 4608,49 51,0 1,6016,4,[0 1],1612142444.744,Sun Jan 31 2021 20:20:44 GMT-0500 (Eastern Standard Time),0
A,AA4O2W236E3FW,1772554115321,0,8,train,1,[0 1],[0 1],1 2 3,3,2 1,[0 1];[3 0],1 0,803 3924,50 49,0 1,4727,1,[0 1],1612142454.653,Sun Jan 31 2021 20:20:54 GMT-0500 (Eastern Standard Time),0
A,AA4O2W236E3FW,1772554115321,0,9,train,1,[1 0],[1 0],1 2 3,3,2 1,[0 1];[3 0],0 3,1072 4672,50 49,0 1,5744,3,[0 1],1612142470.105,Sun Jan 31 2021 20:21:10 GMT-0500 (Eastern Standard Time),0
A,AA4O2W236E3FW,1772554115321,0,10,train,1,[0 1],[0 1],1 2 3,3,2 1,[0 1];[3 0],1 0,1514 5255,50 49,0 1,6769,1,[0 1],1612142484.804,Sun Jan 31 2021 20:21:24 GMT-0500 (Eastern Standard Time),0
A,AA4O2W236E3FW,1772554115321,0,11,train,1,[1 0],[1 0],1 2 3,3,2 1,[0 1];[3 0],0 3,1879 3900,50 49,0 1,5779,3,[0 1],1612142495.64,Sun Jan 31 2021 20:21:35 GMT-0500 (Eastern Standard Time),0
A,AA4O2W236E3FW,1772554115321,0,12,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,1500 5004,49 49,0 1,6504,5,[0 1],1612142508.569,Sun Jan 31 2021 20:21:48 GMT-0500 (Eastern Standard Time),0
A,AA4O2W236E3FW,1772554115321,0,13,train,1,[0 1],[0 1],1 2 3,3,1 3,[2 0];[0 4],0 4,906 3732,49 51,0 1,4638,4,[0 1],1612142516.811,Sun Jan 31 2021 20:21:56 GMT-0500 (Eastern Standard Time),0
A,AA4O2W236E3FW,1772554115321,0,14,train,1,[0 1],[0 1],1 2 3,3,2 1,[0 1];[3 0],1 0,1043 3723,50 49,0 1,4766,1,[0 1],1612142525.886,Sun Jan 31 2021 20:22:05 GMT-0500 (Eastern Standard Time),0
A,AA4O2W236E3FW,1772554115321,0,15,train,1,[0 1],[0 1],1 2 3,3,2 1,[0 1];[3 0],1 0,1398 3608,50 49,0 1,5006,1,[0 1],1612142534.582,Sun Jan 31 2021 20:22:14 GMT-0500 (Eastern Standard Time),0
A,AA4O2W236E3FW,1772554115321,0,16,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,1212 4671 1045,49 32 49,0 2,6928,5,[0 1],1612142548.287,Sun Jan 31 2021 20:22:28 GMT-0500 (Eastern Standard Time),0
