group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,ADYMIMV1PE14V,1650521892970,0,0,train,1,[0 1],[1 0],1 2 3,3,1 1,[0 2];[0 3],0 0,2311 5439,49 50,0 1,7750,0,[1 0],1612141608.359,Sun Jan 31 2021 19:06:48 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,0,1,train,1,[1 0],[0 1],1 2 3,3,2 1,[1 0];[0 3],0 3,2240 3520,50 50,0 1,5760,3,[1 0],1612141618.193,Sun Jan 31 2021 19:06:58 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,0,2,train,1,[0 1],[1 0],1 2 3,3,1 2,[0 2];[3 2],0 3,982 6377,49 51,0 1,7359,3,[1 0],1612141629.623,Sun Jan 31 2021 19:07:09 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,0,3,train,1,[1 0],[0 1],1 2 3,3,2 2,[1 0];[3 2],0 2,1930 3676,50 51,0 1,5606,2,[1 0],1612141637.87,Sun Jan 31 2021 19:07:17 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,0,4,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,1880 621 6493,51 50 49,1 2,8994,5,[1 0],1612141654.412,Sun Jan 31 2021 19:07:34 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,0,5,train,1,[0 1],[1 0],1 2 3,3,1 2,[0 2];[3 2],0 3,981 3229,49 51,0 1,4210,3,[1 0],1612141661.67,Sun Jan 31 2021 19:07:41 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,0,6,train,1,[0 1],[1 0],1 2 3,3,1 2,[0 2];[3 2],0 3,2143 4923,49 51,0 1,7066,3,[1 0],1612141673.744,Sun Jan 31 2021 19:07:53 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,0,7,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,1709 3093,49 50,0 1,4802,5,[1 0],1612141680.548,Sun Jan 31 2021 19:08:00 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,0,8,train,1,[0 1],[1 0],1 2 3,3,1 1,[0 2];[0 3],0 0,2066 4070,49 50,0 1,6136,0,[1 0],1612141689.789,Sun Jan 31 2021 19:08:09 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,0,9,train,1,[1 0],[0 1],1 2 3,3,2 2,[1 0];[3 2],0 2,950 5068,50 51,0 1,6018,2,[1 0],1612141699.6,Sun Jan 31 2021 19:08:19 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,0,10,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,2628 3282,49 50,0 1,5910,5,[1 0],1612141708.541,Sun Jan 31 2021 19:08:28 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,0,11,train,1,[1 0],[0 1],1 2 3,3,2 2,[1 0];[3 2],0 2,1808 4503,50 51,0 1,6311,2,[1 0],1612141718.81,Sun Jan 31 2021 19:08:38 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,0,12,train,1,[0 1],[1 0],1 2 3,3,1 1,[0 2];[0 3],0 0,698 2918,49 50,0 1,3616,0,[1 0],1612141727.717,Sun Jan 31 2021 19:08:47 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,0,13,train,1,[0 1],[1 0],1 2 3,3,1 2,[0 2];[3 2],0 3,1403 4065,49 51,0 1,5468,3,[1 0],1612141736.651,Sun Jan 31 2021 19:08:56 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,0,14,train,1,[1 0],[0 1],1 2 3,3,1 2,[0 2];[3 2],2 2,1425 4980,49 51,0 1,6405,4,[1 0],1612141747.851,Sun Jan 31 2021 19:09:07 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,0,15,train,1,[1 0],[0 1],1 2 3,3,1 2,[0 2];[3 2],2 2,1548 4121,49 51,0 1,5669,4,[1 0],1612141756.794,Sun Jan 31 2021 19:09:16 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,0,16,train,1,[1 0],[0 1],1 2 3,3,2 3,[1 0];[4 0],0 0,2071 3085,50 49,0 1,5156,0,[1 0],1612141766.671,Sun Jan 31 2021 19:09:26 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,0,17,train,1,[0 1],[1 0],1 2 3,3,1 2,[0 2];[3 2],0 3,881 3669,49 51,0 1,4550,3,[1 0],1612141775.179,Sun Jan 31 2021 19:09:35 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,0,18,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,1663 3137,50 51,0 1,4800,4,[1 0],1612141782.727,Sun Jan 31 2021 19:09:42 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,0,19,train,1,[1 0],[0 1],1 2 3,3,1 2,[0 2];[3 2],2 2,1389 3901,49 51,0 1,5290,4,[1 0],1612141790.776,Sun Jan 31 2021 19:09:50 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,0,0,test,1,[1 1],[1 1],1 2 3,3,1 2,[0 2];[3 2],2 5,1798 3042,49 51,0 1,4840,7,[1 0],1612141798.405,Sun Jan 31 2021 19:09:58 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,1,0,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,1851 4922,49 51,0 1,6773,5,[1 0],1612141822.883,Sun Jan 31 2021 19:10:22 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,1,1,train,1,[0 1],[1 0],1 2 3,3,2 1,[1 0];[0 3],1 0,2489 3920,50 51,0 1,6409,1,[1 0],1612141834.161,Sun Jan 31 2021 19:10:34 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,1,2,train,1,[1 0],[0 1],1 2 3,3,1 2,[0 2];[3 2],2 2,779 4010,49 50,0 1,4789,4,[1 0],1612141843.281,Sun Jan 31 2021 19:10:43 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,1,3,train,1,[0 1],[1 0],1 2 3,3,2 1,[1 0];[0 3],1 0,969 3207,50 51,0 1,4176,1,[1 0],1612141850.63,Sun Jan 31 2021 19:10:50 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,1,4,train,1,[0 1],[1 0],1 2 3,3,1 2,[0 2];[3 2],0 3,951 3241,49 50,0 1,4192,3,[1 0],1612141858.123,Sun Jan 31 2021 19:10:58 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,1,5,train,1,[1 0],[0 1],1 2 3,3,2 2,[1 0];[3 2],0 2,692 3385,50 50,0 1,4077,2,[1 0],1612141865.136,Sun Jan 31 2021 19:11:05 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,1,6,train,1,[1 0],[0 1],1 2 3,3,2 3,[1 0];[4 0],0 0,808 3363,50 49,0 1,4171,0,[1 0],1612141872.599,Sun Jan 31 2021 19:11:12 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,1,7,train,1,[0 1],[1 0],1 2 3,3,2 1,[1 0];[0 3],1 0,722 3797,50 51,0 1,4519,1,[1 0],1612141879.724,Sun Jan 31 2021 19:11:19 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,1,8,train,1,[1 0],[0 1],1 2 3,3,2 3,[1 0];[4 0],0 0,536 2706,50 49,0 1,3242,0,[1 0],1612141885.806,Sun Jan 31 2021 19:11:25 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,1,9,train,1,[1 0],[0 1],1 2 3,3,1 3,[0 2];[4 0],2 0,510 2742,49 49,0 1,3252,2,[1 0],1612141891.935,Sun Jan 31 2021 19:11:31 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,1,10,train,1,[1 0],[0 1],1 2 3,3,1 3,[0 2];[4 0],2 0,680 2596,49 49,0 1,3276,2,[1 0],1612141897.338,Sun Jan 31 2021 19:11:37 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,1,11,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,915 2440,50 50,0 1,3355,4,[1 0],1612141902.897,Sun Jan 31 2021 19:11:42 GMT-0600 (Central Standard Time),0
A,ADYMIMV1PE14V,1650521892970,1,12,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,512 3085,50 50,0 1,3597,4,[1 0],1612141909.619,Sun Jan 31 2021 19:11:49 GMT-0600 (Central Standard Time),0
