group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AXAO7UJYYEFCO,1941229381950,0,0,train,1,[0 1],[1 0],1 2 3,3,1 2,[0 2];[3 2],0 3,4872 12038,98 97,0 1,16910,3,[1 0],1612155895.782,Mon Feb 01 2021 00:04:55 GMT-0500 (Eastern Standard Time),1
A,AXAO7UJYYEFCO,1941229381950,0,1,train,1,[0 1],[1 0],1 2 3,3,1 1,[0 2];[0 3],0 0,1977 3512,98 98,0 1,5489,0,[1 0],1612155904.799,Mon Feb 01 2021 00:05:04 GMT-0500 (Eastern Standard Time),1
A,AXAO7UJYYEFCO,1941229381950,0,2,train,1,[0 1],[1 0],1 2 3,3,2 1,[1 0];[0 3],1 0,1193 2758,97 98,0 1,3951,1,[1 0],1612155914.667,Mon Feb 01 2021 00:05:14 GMT-0500 (Eastern Standard Time),1
A,AXAO7UJYYEFCO,1941229381950,0,3,train,1,[1 0],[0 1],1 2 3,3,2 1,[1 0];[0 3],0 3,870 5171,97 98,0 1,6041,3,[1 0],1612155923.129,Mon Feb 01 2021 00:05:23 GMT-0500 (Eastern Standard Time),1
A,AXAO7UJYYEFCO,1941229381950,0,4,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,1587 531 3359,99 98 98,1 2,5477,5,[1 0],1612155930.682,Mon Feb 01 2021 00:05:30 GMT-0500 (Eastern Standard Time),1
A,AXAO7UJYYEFCO,1941229381950,0,5,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,518 2175,97 99,0 1,2693,5,[1 0],1612155936.826,Mon Feb 01 2021 00:05:36 GMT-0500 (Eastern Standard Time),1
A,AXAO7UJYYEFCO,1941229381950,0,6,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,615 1932,97 99,0 1,2547,5,[1 0],1612155943.869,Mon Feb 01 2021 00:05:43 GMT-0500 (Eastern Standard Time),1
A,AXAO7UJYYEFCO,1941229381950,0,7,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,636 1231 2689,99 98 98,1 2,4556,5,[1 0],1612155950.911,Mon Feb 01 2021 00:05:50 GMT-0500 (Eastern Standard Time),1
A,AXAO7UJYYEFCO,1941229381950,0,8,train,1,[0 1],[1 0],1 2 3,3,2 1,[1 0];[0 3],1 0,983 12887,97 98,0 1,13870,1,[1 0],1612155967.269,Mon Feb 01 2021 00:06:07 GMT-0500 (Eastern Standard Time),1
A,AXAO7UJYYEFCO,1941229381950,0,9,train,1,[1 0],[0 1],1 2 3,3,2 1,[1 0];[0 3],0 3,1583 3895,97 98,0 1,5478,3,[1 0],1612155974.779,Mon Feb 01 2021 00:06:14 GMT-0500 (Eastern Standard Time),1
