group, workerId, subj_id, block, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,A1DZMZTXWOM9MR,1112560455080,0,train,1,[1 0],1 2 3,3,2743 10625,97 97,0 1,13368,4,1611025130.43,Mon Jan 18 2021 20:58:50 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,0,train,1,[1 0],1 2 3,3,1038 6141,97 98,0 1,7179,5,1611025143.851,Mon Jan 18 2021 20:59:03 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,0,train,1,[0 1],1 2 3,3,1184 5839,98 99,0 1,7023,5,1611025155.265,Mon Jan 18 2021 20:59:15 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,0,train,1,[1 0],1 2 3,3,2247 6130,97 98,0 1,8377,5,1611025169.021,Mon Jan 18 2021 20:59:29 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,0,train,1,[1 0],1 2 3,3,760 3377,97 99,0 1,4137,2,1611025176.75,Mon Jan 18 2021 20:59:36 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,0,train,1,[0 1],1 2 3,3,1040 4196,97 99,0 1,5236,4,1611025186.125,Mon Jan 18 2021 20:59:46 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,0,train,1,[1 0],1 2 3,3,650 4620,97 98,0 1,5270,5,1611025195.007,Mon Jan 18 2021 20:59:55 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,0,train,1,[0 1],1 2 3,3,1187 4191,98 98,0 1,5378,1,1611025204.193,Mon Jan 18 2021 21:00:04 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,0,train,1,[0 1],1 2 3,3,742 2755,98 99,0 1,3497,5,1611025212.502,Mon Jan 18 2021 21:00:12 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,0,train,1,[0 1],1 2 3,3,1437 2680,98 99,0 1,4117,5,1611025220.452,Mon Jan 18 2021 21:00:20 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,0,train,1,[1 0],1 2 3,3,843 3630,97 98,0 1,4473,5,1611025229.252,Mon Jan 18 2021 21:00:29 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,0,train,1,[0 1],1 2 3,3,1427 2692,98 99,0 1,4119,5,1611025236.655,Mon Jan 18 2021 21:00:36 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,0,train,1,[1 0],1 2 3,3,966 2720,97 98,0 1,3686,5,1611025246.134,Mon Jan 18 2021 21:00:46 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,0,train,1,[0 1],1 2 3,3,916 2540,98 99,0 1,3456,5,1611025252.908,Mon Jan 18 2021 21:00:52 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,0,train,1,[0 1],1 2 3,3,756 2037,98 99,0 1,2793,5,1611025258.18,Mon Jan 18 2021 21:00:58 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,0,train,1,[1 0],1 2 3,3,859 2006,97 98,0 1,2865,5,1611025263.956,Mon Jan 18 2021 21:01:03 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,0,train,1,[0 1],1 2 3,3,797 2727,98 99,0 1,3524,5,1611025271.098,Mon Jan 18 2021 21:01:11 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,0,train,1,[1 0],1 2 3,3,598 2063,97 98,0 1,2661,5,1611025276.785,Mon Jan 18 2021 21:01:16 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,0,train,1,[0 1],1 2 3,3,755 2005,98 99,0 1,2760,5,1611025282.224,Mon Jan 18 2021 21:01:22 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,0,train,1,[1 0],1 2 3,3,705 33905,97 98,0 1,34610,5,1611025322.723,Mon Jan 18 2021 21:02:02 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,0,test,1,[1 1],1 2 3,3,2265 2401,97 97,0 1,4666,7,1611025332.647,Mon Jan 18 2021 21:02:12 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,1,train,1,[0 1],1 2 3,3,1352 3565,97 97,0 1,4917,4,1611025351.156,Mon Jan 18 2021 21:02:31 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,1,train,1,[1 0],1 2 3,3,961 3771,98 97,0 1,4732,4,1611025362.317,Mon Jan 18 2021 21:02:42 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,1,train,1,[1 0],1 2 3,3,878 3165,98 98,0 1,4043,5,1611025370.509,Mon Jan 18 2021 21:02:50 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,1,train,1,[1 0],1 2 3,3,599 2437,98 99,0 1,3036,2,1611025377.89,Mon Jan 18 2021 21:02:57 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,1,train,1,[0 1],1 2 3,3,3383 2716,98 99,0 1,6099,4,1611025387.815,Mon Jan 18 2021 21:03:07 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,1,train,1,[0 1],1 2 3,3,730 3691,97 98,0 1,4421,1,1611025395.236,Mon Jan 18 2021 21:03:15 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,1,train,1,[0 1],1 2 3,3,588 2699,97 99,0 1,3287,5,1611025401.44,Mon Jan 18 2021 21:03:21 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,1,train,1,[0 1],1 2 3,3,600 2349,97 99,0 1,2949,5,1611025407.702,Mon Jan 18 2021 21:03:27 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,1,train,1,[1 0],1 2 3,3,904 2991,98 98,0 1,3895,5,1611025414.851,Mon Jan 18 2021 21:03:34 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,1,train,1,[0 1],1 2 3,3,851 2215,97 99,0 1,3066,5,1611025420.413,Mon Jan 18 2021 21:03:40 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,1,train,1,[1 0],1 2 3,3,642 2206,98 98,0 1,2848,5,1611025425.558,Mon Jan 18 2021 21:03:45 GMT-0600 (Central Standard Time),0
A,A1DZMZTXWOM9MR,1112560455080,1,train,1,[0 1],1 2 3,3,512 1931,97 99,0 1,2443,5,1611025430.654,Mon Jan 18 2021 21:03:50 GMT-0600 (Central Standard Time),0
