group, workerId, subj_id, block, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,A1P2RQ166VS5BT,1290250146279,0,train,1,[0 1],1 2 3,3,8421 13190,49 51,0 1,21611,5,1611009209.605,Mon Jan 18 2021 15:33:29 GMT-0700 (Mountain Standard Time),1
A,A1P2RQ166VS5BT,1290250146279,0,train,1,[0 1],1 2 3,3,1745 6104,50 50,0 1,7849,3,1611009226.057,Mon Jan 18 2021 15:33:46 GMT-0700 (Mountain Standard Time),1
A,A1P2RQ166VS5BT,1290250146279,0,train,1,[0 1],1 2 3,3,1141 3929 2295,49 32 51,0 2,7365,5,1611009241.281,Mon Jan 18 2021 15:34:01 GMT-0700 (Mountain Standard Time),1
A,A1P2RQ166VS5BT,1290250146279,0,train,1,[1 0],1 2 3,3,3451 7990,50 49,0 1,11441,5,1611009260.335,Mon Jan 18 2021 15:34:20 GMT-0700 (Mountain Standard Time),1
A,A1P2RQ166VS5BT,1290250146279,0,train,1,[0 1],1 2 3,3,2479 7428,49 51,0 1,9907,5,1611009275.446,Mon Jan 18 2021 15:34:35 GMT-0700 (Mountain Standard Time),1
A,A1P2RQ166VS5BT,1290250146279,0,train,1,[1 0],1 2 3,3,2450 6680,49 49,0 1,9130,3,1611009289.663,Mon Jan 18 2021 15:34:49 GMT-0700 (Mountain Standard Time),1
A,A1P2RQ166VS5BT,1290250146279,0,train,1,[0 1],1 2 3,3,1801 5813,50 49,0 1,7614,0,1611009301.997,Mon Jan 18 2021 15:35:01 GMT-0700 (Mountain Standard Time),1
A,A1P2RQ166VS5BT,1290250146279,0,train,1,[1 0],1 2 3,3,2156 6025,49 50,0 1,8181,2,1611009316.224,Mon Jan 18 2021 15:35:16 GMT-0700 (Mountain Standard Time),1
A,A1P2RQ166VS5BT,1290250146279,0,train,1,[0 1],1 2 3,3,1764 5464,50 51,0 1,7228,4,1611009329.527,Mon Jan 18 2021 15:35:29 GMT-0700 (Mountain Standard Time),1
A,A1P2RQ166VS5BT,1290250146279,0,train,1,[1 0],1 2 3,3,4802 6872,49 51,0 1,11674,0,1611009346.089,Mon Jan 18 2021 15:35:46 GMT-0700 (Mountain Standard Time),1
A,A1P2RQ166VS5BT,1290250146279,0,train,1,[1 0],1 2 3,3,1719 4810,49 50,0 1,6529,2,1611009358.622,Mon Jan 18 2021 15:35:58 GMT-0700 (Mountain Standard Time),1
A,A1P2RQ166VS5BT,1290250146279,0,train,1,[1 0],1 2 3,3,4097 10988,50 50,0 1,15085,4,1611009380.633,Mon Jan 18 2021 15:36:20 GMT-0700 (Mountain Standard Time),1
