group, workerId, subj_id, block, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,A1ROEDVMTO9Y3X,1169319993362,0,train,1,[0 1],1 2 3,3,2786 9983,49 51,0 1,12769,1,1611027020.219,Mon Jan 18 2021 22:30:20 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,0,train,1,[0 1],1 2 3,3,2165 9265,50 50,0 1,11430,4,1611027034.046,Mon Jan 18 2021 22:30:34 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,0,train,1,[1 0],1 2 3,3,1976 5605 1408,49 32 51,0 2,8989,3,1611027067.213,Mon Jan 18 2021 22:31:07 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,0,train,1,[0 1],1 2 3,3,991 9115,49 50,0 1,10106,5,1611027082.796,Mon Jan 18 2021 22:31:22 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,0,train,1,[0 1],1 2 3,3,829 2736,50 49,0 1,3565,3,1611027091.027,Mon Jan 18 2021 22:31:31 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,0,train,1,[0 1],1 2 3,3,814 11819 34 1910 832 8797,51 32 51 32 49 50,4 5,24206,5,1611027120.616,Mon Jan 18 2021 22:32:00 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,0,train,1,[1 0],1 2 3,3,716 5406,50 51,0 1,6122,5,1611027132.008,Mon Jan 18 2021 22:32:12 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,0,train,1,[0 1],1 2 3,3,648 3830,50 50,0 1,4478,4,1611027142.306,Mon Jan 18 2021 22:32:22 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,0,train,1,[0 1],1 2 3,3,4519 10582,50 50,0 1,15101,4,1611027169.615,Mon Jan 18 2021 22:32:49 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,0,train,1,[0 1],1 2 3,3,410 1616 549 1925 2766,51 32 51 50 49,3 4,7266,3,1611027182.416,Mon Jan 18 2021 22:33:02 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,0,train,1,[0 1],1 2 3,3,843 1497 1256 5516,51 32 50 49,2 3,9112,3,1611027196.041,Mon Jan 18 2021 22:33:16 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,0,train,1,[0 1],1 2 3,3,1261 2506,50 49,0 1,3767,3,1611027204.844,Mon Jan 18 2021 22:33:24 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,0,train,1,[1 0],1 2 3,3,1949 8436,50 49,0 1,10385,4,1611027221.321,Mon Jan 18 2021 22:33:41 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,0,train,1,[1 0],1 2 3,3,968 8619,50 51,0 1,9587,5,1611027239.774,Mon Jan 18 2021 22:33:59 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,0,train,1,[1 0],1 2 3,3,1979 3426,97 50,0 1,5405,0,1611027258.768,Mon Jan 18 2021 22:34:18 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,0,train,1,[1 0],1 2 3,3,262 1250 615 2333,51 32 49 51,2 3,4460,3,1611027267.47,Mon Jan 18 2021 22:34:27 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,0,train,1,[1 0],1 2 3,3,748 2294,49 50,0 1,3042,0,1611027273.792,Mon Jan 18 2021 22:34:33 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,0,train,1,[1 0],1 2 3,3,579 1826,50 50,0 1,2405,2,1611027279.216,Mon Jan 18 2021 22:34:39 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,0,train,1,[1 0],1 2 3,3,845 1332,49 49,0 1,2177,2,1611027284.285,Mon Jan 18 2021 22:34:44 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,0,train,1,[1 0],1 2 3,3,265 667 611 436 671 1580,51 32 51 32 50 49,4 5,4230,4,1611027291.984,Mon Jan 18 2021 22:34:51 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,0,test,1,[1 1],1 2 3,3,431 2777,50 51,0 1,3208,5,1611027298.249,Mon Jan 18 2021 22:34:58 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,1,train,1,[0 1],1 2 3,3,941 2774,50 50,0 1,3715,0,1611027306.12,Mon Jan 18 2021 22:35:06 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,1,train,1,[1 0],1 2 3,3,1155 386 2635,32 49 51,1 2,4176,0,1611027314.091,Mon Jan 18 2021 22:35:14 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,1,train,1,[0 1],1 2 3,3,788 466 588 598 536 4212,51 32 51 32 50 49,4 5,7188,3,1611027324.769,Mon Jan 18 2021 22:35:24 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,1,train,1,[1 0],1 2 3,3,1214 7529,98 98,0 1,8743,5,1611027347.118,Mon Jan 18 2021 22:35:47 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,1,train,1,[0 1],1 2 3,3,524 8144 500 48 31 30 33 374,97 32 32 32 32 32 32 99,0 7,9684,5,1611027361.721,Mon Jan 18 2021 22:36:01 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,1,train,1,[1 0],1 2 3,3,679 3379,98 97,0 1,4058,4,1611027369.931,Mon Jan 18 2021 22:36:09 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,1,train,1,[1 0],1 2 3,3,836 3750,97 98,0 1,4586,3,1611027377.251,Mon Jan 18 2021 22:36:17 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,1,train,1,[0 1],1 2 3,3,83 927 3688 1311 4079,18 99 32 98 99,3 4,10088,4,1611027396.817,Mon Jan 18 2021 22:36:36 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,1,train,1,[1 0],1 2 3,3,1051 3702,97 99,0 1,4753,0,1611027406.489,Mon Jan 18 2021 22:36:46 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,1,train,1,[1 0],1 2 3,3,1857 1493 353 2796 6338,99 32 99 97 99,3 4,12837,0,1611027429.971,Mon Jan 18 2021 22:37:09 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,1,train,1,[1 0],1 2 3,3,817 3756,49 51,0 1,4573,0,1611027441.904,Mon Jan 18 2021 22:37:21 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,1,train,1,[0 1],1 2 3,3,1468 3780,49 49,0 1,5248,4,1611027454.908,Mon Jan 18 2021 22:37:34 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,1,train,1,[0 1],1 2 3,3,1336 3221,50 51,0 1,4557,4,1611027467.695,Mon Jan 18 2021 22:37:47 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,1,train,1,[1 0],1 2 3,3,679 2726,49 50,0 1,3405,3,1611027476.606,Mon Jan 18 2021 22:37:56 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,1,train,1,[0 1],1 2 3,3,207 5928 5340 2113,51 50 32 51,1 3,13588,4,1611027501.205,Mon Jan 18 2021 22:38:21 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,1,train,1,[0 1],1 2 3,3,1035 2954,50 51,0 1,3989,4,1611027509.83,Mon Jan 18 2021 22:38:29 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,1,train,1,[0 1],1 2 3,3,1246 888 2215,51 50 49,1 2,4349,3,1611027519.379,Mon Jan 18 2021 22:38:39 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,1,train,1,[0 1],1 2 3,3,868 3568,50 51,0 1,4436,4,1611027529.77,Mon Jan 18 2021 22:38:49 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,1,train,1,[1 0],1 2 3,3,965 6663,49 51,0 1,7628,0,1611027549.536,Mon Jan 18 2021 22:39:09 GMT-0500 (Eastern Standard Time),1
A,A1ROEDVMTO9Y3X,1169319993362,1,train,1,[1 0],1 2 3,3,1109 2555,49 51,0 1,3664,0,1611027559.484,Mon Jan 18 2021 22:39:19 GMT-0500 (Eastern Standard Time),1
