group, workerId, subj_id, block, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,A2E0LU8V4EUX5C,1413465779975,0,train,1,[0 1],1 2 3,3,3928 14246,50 51,0 1,18174,1,1611009160.442,Mon Jan 18 2021 17:32:40 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,0,train,1,[1 0],1 2 3,3,1418 5629,49 50,0 1,7047,4,1611009343.899,Mon Jan 18 2021 17:35:43 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,0,train,1,[1 0],1 2 3,3,1001 3847,50 49,0 1,4848,0,1611009354.602,Mon Jan 18 2021 17:35:54 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,0,train,1,[0 1],1 2 3,3,720 2784,50 51,0 1,3504,1,1611009360.76,Mon Jan 18 2021 17:36:00 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,0,train,1,[1 0],1 2 3,3,1020 2084 832,50 32 50,0 2,3936,2,1611009367.536,Mon Jan 18 2021 17:36:07 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,0,train,1,[0 1],1 2 3,3,1104 2736,49 50,0 1,3840,3,1611009373.409,Mon Jan 18 2021 17:36:13 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,0,train,1,[1 0],1 2 3,3,1034 2101 898,50 32 50,0 2,4033,2,1611009379.802,Mon Jan 18 2021 17:36:19 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,0,train,1,[1 0],1 2 3,3,904 2056 776,50 32 49,0 2,3736,0,1611009385.762,Mon Jan 18 2021 17:36:25 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,0,train,1,[1 0],1 2 3,3,1032 2655 681,50 32 49,0 2,4368,0,1611009393.601,Mon Jan 18 2021 17:36:33 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,0,train,1,[0 1],1 2 3,3,816 2119 585,50 32 51,0 2,3520,1,1611009399.282,Mon Jan 18 2021 17:36:39 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,0,train,1,[0 1],1 2 3,3,857 2375,50 50,0 1,3232,4,1611009405.073,Mon Jan 18 2021 17:36:45 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,0,train,1,[0 1],1 2 3,3,713 2215,49 50,0 1,2928,3,1611009410.305,Mon Jan 18 2021 17:36:50 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,0,train,1,[1 0],1 2 3,3,850 2829,50 50,0 1,3679,2,1611009415.889,Mon Jan 18 2021 17:36:55 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,0,train,1,[0 1],1 2 3,3,722 2383,50 50,0 1,3105,4,1611009420.753,Mon Jan 18 2021 17:37:00 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,0,train,1,[0 1],1 2 3,3,1015 2314,49 51,0 1,3329,0,1611009426.081,Mon Jan 18 2021 17:37:06 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,0,train,1,[1 0],1 2 3,3,2329 2584,49 50,0 1,4913,4,1611009436.905,Mon Jan 18 2021 17:37:16 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,0,train,1,[1 0],1 2 3,3,1023 368 1937 745,51 50 32 51,1 3,4073,3,1611009442.834,Mon Jan 18 2021 17:37:22 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,0,train,1,[0 1],1 2 3,3,743 2210,50 51,0 1,2953,1,1611009447.57,Mon Jan 18 2021 17:37:27 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,0,train,1,[0 1],1 2 3,3,545 1775 673,50 32 51,0 2,2993,1,1611009452.592,Mon Jan 18 2021 17:37:32 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,0,train,1,[1 0],1 2 3,3,456 1695 361,50 32 50,0 2,2512,2,1611009456.902,Mon Jan 18 2021 17:37:36 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,0,test,1,[1 1],1 2 3,3,945 1929 680,49 32 49,0 2,3554,6,1611009462.649,Mon Jan 18 2021 17:37:42 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,1,train,1,[0 1],1 2 3,3,2495 2649,49 50,0 1,5144,0,1611009477.259,Mon Jan 18 2021 17:37:57 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,1,train,1,[1 0],1 2 3,3,810 1086 1666 600,51 50 32 50,1 3,4162,3,1611009483.314,Mon Jan 18 2021 17:38:03 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,1,train,1,[0 1],1 2 3,3,464 486 2603,51 50 51,1 2,3553,4,1611009490.28,Mon Jan 18 2021 17:38:10 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,1,train,1,[1 0],1 2 3,3,506 404 1569 649,51 50 32 49,1 3,3128,0,1611009495.216,Mon Jan 18 2021 17:38:15 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,1,train,1,[0 1],1 2 3,3,695 2049,50 50,0 1,2744,1,1611009499.337,Mon Jan 18 2021 17:38:19 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,1,train,1,[1 0],1 2 3,3,954 2263,49 51,0 1,3217,4,1611009504.256,Mon Jan 18 2021 17:38:24 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,1,train,1,[0 1],1 2 3,3,751 2097,50 51,0 1,2848,4,1611009508.729,Mon Jan 18 2021 17:38:28 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,1,train,1,[1 0],1 2 3,3,809 1478 608,50 32 49,0 2,2895,0,1611009513.183,Mon Jan 18 2021 17:38:33 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,1,train,1,[0 1],1 2 3,3,840 1401 705,50 32 51,0 2,2946,4,1611009517.44,Mon Jan 18 2021 17:38:37 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,1,train,1,[0 1],1 2 3,3,825 1645 635,49 32 51,0 2,3105,3,1611009522.21,Mon Jan 18 2021 17:38:42 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,1,train,1,[0 1],1 2 3,3,915 1623 585,50 32 51,0 2,3123,4,1611009527.106,Mon Jan 18 2021 17:38:47 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,1,train,1,[0 1],1 2 3,3,753 1567 575,50 32 51,0 2,2895,4,1611009531.624,Mon Jan 18 2021 17:38:51 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,1,train,1,[1 0],1 2 3,3,860 1982 761,49 32 51,0 2,3603,4,1611009537.008,Mon Jan 18 2021 17:38:57 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,1,train,1,[0 1],1 2 3,3,809 1583 609,50 32 49,0 2,3001,5,1611009541.57,Mon Jan 18 2021 17:39:01 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,1,train,1,[1 0],1 2 3,3,881 1343 384 632 817,49 32 32 32 51,0 4,4057,4,1611009547.426,Mon Jan 18 2021 17:39:07 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,1,train,1,[1 0],1 2 3,3,801 1471 592,50 32 49,0 2,2864,0,1611009551.834,Mon Jan 18 2021 17:39:11 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,1,train,1,[1 0],1 2 3,3,641 1903 617,50 32 51,0 2,3161,2,1611009556.553,Mon Jan 18 2021 17:39:16 GMT-0500 (Eastern Standard Time),0
A,A2E0LU8V4EUX5C,1413465779975,1,train,1,[0 1],1 2 3,3,833 1543 617,50 32 49,0 2,2993,5,1611009561.112,Mon Jan 18 2021 17:39:21 GMT-0500 (Eastern Standard Time),0
