group, workerId, subj_id, block, stage, start, goal, path, length, RTs, keys, valid_keys, RT_tot, reward, timestamp, datetime, check_fails
A,A2VNSNAN1LZBAM,1522652242599,0,train,1,[0 1],1 2 3,3,6108 14753,49 51,0 1,20861,1,1611010029.746,Mon Jan 18 2021 14:47:09 GMT-0800 (Pacific Standard Time),0
A,A2VNSNAN1LZBAM,1522652242599,0,train,1,[1 0],1 2 3,3,3614 6566,49 50,0 1,10180,2,1611010049.168,Mon Jan 18 2021 14:47:29 GMT-0800 (Pacific Standard Time),0
A,A2VNSNAN1LZBAM,1522652242599,0,train,1,[1 0],1 2 3,3,3708 10342,50 49,0 1,14050,2,1611010068.6,Mon Jan 18 2021 14:47:48 GMT-0800 (Pacific Standard Time),0
A,A2VNSNAN1LZBAM,1522652242599,0,train,1,[1 0],1 2 3,3,3432 10747,50 49,0 1,14179,2,1611010091.024,Mon Jan 18 2021 14:48:11 GMT-0800 (Pacific Standard Time),0
A,A2VNSNAN1LZBAM,1522652242599,0,train,1,[0 1],1 2 3,3,2348 8076,50 51,0 1,10424,0,1611010108.748,Mon Jan 18 2021 14:48:28 GMT-0800 (Pacific Standard Time),0
A,A2VNSNAN1LZBAM,1522652242599,0,train,1,[1 0],1 2 3,3,1232 4667,49 50,0 1,5899,2,1611010120.554,Mon Jan 18 2021 14:48:40 GMT-0800 (Pacific Standard Time),0
A,A2VNSNAN1LZBAM,1522652242599,0,train,1,[0 1],1 2 3,3,1368 5718,50 49,0 1,7086,4,1611010132.298,Mon Jan 18 2021 14:48:52 GMT-0800 (Pacific Standard Time),0
A,A2VNSNAN1LZBAM,1522652242599,0,train,1,[0 1],1 2 3,3,1082 6067,50 51,0 1,7149,0,1611010145.532,Mon Jan 18 2021 14:49:05 GMT-0800 (Pacific Standard Time),0
A,A2VNSNAN1LZBAM,1522652242599,0,train,1,[0 1],1 2 3,3,3281 3155 1036,50 32 49,0 2,7472,4,1611010156.914,Mon Jan 18 2021 14:49:16 GMT-0800 (Pacific Standard Time),0
A,A2VNSNAN1LZBAM,1522652242599,0,train,1,[0 1],1 2 3,3,1578 6368,49 50,0 1,7946,4,1611010170.841,Mon Jan 18 2021 14:49:30 GMT-0800 (Pacific Standard Time),0
A,A2VNSNAN1LZBAM,1522652242599,0,train,1,[1 0],1 2 3,3,1365 7329,49 51,0 1,8694,3,1611010185.739,Mon Jan 18 2021 14:49:45 GMT-0800 (Pacific Standard Time),0
