group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A16G6PPH1INQL8,1791726363089,0,0,train,1,[1 0],[1 0],1 2 3,3,-1 1,[];[3 0],0 3,2001 3974,116 49,0 1,5975,3,[0 1],1612731651.698,Sun Feb 07 2021 15:00:51 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,0,1,train,1,[0 1],[0 1],1 2 3,3,2 2,[0 1];[2 3],1 3,246 5077,50 99,0 1,5323,4,[0 1],1612731663.826,Sun Feb 07 2021 15:01:03 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,0,2,train,1,[0 1],[0 1],1 2 3,3,2 1,[0 1];[3 0],1 0,942 4755,50 49,0 1,5697,1,[0 1],1612731676.326,Sun Feb 07 2021 15:01:16 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,0,3,train,1,[1 0],[1 0],1 2 3,3,1 3,[2 0];[0 4],2 0,434 4845,49 50,0 1,5279,2,[0 1],1612731688.41,Sun Feb 07 2021 15:01:28 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,0,4,train,1,[0 1],[0 1],1 2 3,3,2 1,[0 1];[3 0],1 0,1018 4687,50 49,0 1,5705,1,[0 1],1612731700.899,Sun Feb 07 2021 15:01:40 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,0,5,train,1,[1 0],[1 0],1 2 3,3,2 3,[0 1];[0 4],0 0,844 5131,50 50,0 1,5975,0,[0 1],1612731713.662,Sun Feb 07 2021 15:01:53 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,0,6,train,1,[1 0],[1 0],1 2 3,3,1 -1,[2 0];[],2 0,828 5786,49 116,0 1,6614,2,[0 1],1612731726.317,Sun Feb 07 2021 15:02:06 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,0,7,train,1,[1 0],[1 0],1 2 3,3,2 1,[0 1];[3 0],0 3,767 535 4564,51 50 49,1 2,5866,3,[0 1],1612731738.98,Sun Feb 07 2021 15:02:18 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,0,8,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,715 4966,50 50,0 1,5681,5,[0 1],1612731751.466,Sun Feb 07 2021 15:02:31 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,0,9,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,678 4931,49 51,0 1,5609,4,[0 1],1612731763.865,Sun Feb 07 2021 15:02:43 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,0,10,train,1,[1 0],[1 0],1 2 3,3,2 1,[0 1];[3 0],0 3,1148 5031,50 49,0 1,6179,3,[0 1],1612731776.838,Sun Feb 07 2021 15:02:56 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,0,11,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,971 4709,50 50,0 1,5680,5,[0 1],1612731789.325,Sun Feb 07 2021 15:03:09 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,0,12,train,1,[0 1],[0 1],1 2 3,3,1 3,[2 0];[0 4],0 4,796 5150,49 50,0 1,5946,4,[0 1],1612731802.083,Sun Feb 07 2021 15:03:22 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,0,13,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1377 4743,50 50,0 1,6120,5,[0 1],1612731814.985,Sun Feb 07 2021 15:03:34 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,0,14,train,1,[0 1],[0 1],1 2 3,3,1 3,[2 0];[0 4],0 4,1247 4525,49 50,0 1,5772,4,[0 1],1612731827.559,Sun Feb 07 2021 15:03:47 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,0,15,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1184 4245,50 50,0 1,5429,5,[0 1],1612731839.785,Sun Feb 07 2021 15:03:59 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,0,16,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1379 4205,50 50,0 1,5584,5,[0 1],1612731852.166,Sun Feb 07 2021 15:04:12 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,0,17,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,1007 5152,49 51,0 1,6159,4,[0 1],1612731865.12,Sun Feb 07 2021 15:04:25 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,0,18,train,1,[1 0],[1 0],1 2 3,3,2 1,[0 1];[3 0],0 3,1268 4692,50 49,0 1,5960,3,[0 1],1612731877.871,Sun Feb 07 2021 15:04:37 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,0,19,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,889 5087,49 51,0 1,5976,4,[0 1],1612731890.65,Sun Feb 07 2021 15:04:50 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,0,0,test,1,[1 1],[1 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1491 4512,50 50,0 1,6003,5,[0 1],1612731903.448,Sun Feb 07 2021 15:05:03 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,1,0,train,1,[0 1],[1 0],1 2 3,3,1 2,[0 2];[3 2],0 3,655 4963,49 50,0 1,5618,3,[1 0],1612731919.886,Sun Feb 07 2021 15:05:19 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,1,1,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,1319 5128,49 51,0 1,6447,5,[1 0],1612731933.131,Sun Feb 07 2021 15:05:33 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,1,2,train,1,[0 1],[1 0],1 2 3,3,2 1,[1 0];[0 3],1 0,879 5213,50 51,0 1,6092,1,[1 0],1612731946.018,Sun Feb 07 2021 15:05:46 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,1,3,train,1,[1 0],[0 1],1 2 3,3,2 3,[1 0];[4 0],0 0,1007 4758,50 49,0 1,5765,0,[1 0],1612731958.587,Sun Feb 07 2021 15:05:58 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,1,4,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,1397 4728,50 50,0 1,6125,4,[1 0],1612731971.512,Sun Feb 07 2021 15:06:11 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,1,5,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,1340 4413,49 51,0 1,5753,5,[1 0],1612731984.068,Sun Feb 07 2021 15:06:24 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,1,6,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,1682 5068,49 51,0 1,6750,5,[1 0],1612731997.622,Sun Feb 07 2021 15:06:37 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,1,7,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,514 4374,50 50,0 1,4888,4,[1 0],1612732009.313,Sun Feb 07 2021 15:06:49 GMT-0600 (Central Standard Time),0
A,A16G6PPH1INQL8,1791726363089,1,8,train,1,[1 0],[0 1],1 2 3,3,1 3,[0 2];[4 0],2 0,761 4365,49 49,0 1,5126,2,[1 0],1612732021.229,Sun Feb 07 2021 15:07:01 GMT-0600 (Central Standard Time),0
