group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1SISJL5ST2PWH,1481558813974,0,0,train,1,[0 1],[0 1],1 2 3,3,2 2,[0 1];[2 3],1 3,1878 4946,97 97,0 1,6824,4,[0 1],1612762099.27,Mon Feb 08 2021 00:28:19 GMT-0500 (Eastern Standard Time),0
A,A1SISJL5ST2PWH,1481558813974,0,1,train,1,[1 0],[1 0],1 2 3,3,1 3,[2 0];[0 4],2 0,746 4723,98 98,0 1,5469,2,[0 1],1612762111.532,Mon Feb 08 2021 00:28:31 GMT-0500 (Eastern Standard Time),0
A,A1SISJL5ST2PWH,1481558813974,0,2,train,1,[0 1],[0 1],1 2 3,3,2 1,[0 1];[3 0],1 0,504 4103,97 99,0 1,4607,1,[0 1],1612762122.926,Mon Feb 08 2021 00:28:42 GMT-0500 (Eastern Standard Time),0
A,A1SISJL5ST2PWH,1481558813974,0,3,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,547 4118,98 97,0 1,4665,4,[0 1],1612762134.372,Mon Feb 08 2021 00:28:54 GMT-0500 (Eastern Standard Time),0
A,A1SISJL5ST2PWH,1481558813974,0,4,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,700 4240,98 99,0 1,4940,5,[0 1],1612762146.105,Mon Feb 08 2021 00:29:06 GMT-0500 (Eastern Standard Time),0
A,A1SISJL5ST2PWH,1481558813974,0,5,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,486 4249,97 98,0 1,4735,5,[0 1],1612762157.641,Mon Feb 08 2021 00:29:17 GMT-0500 (Eastern Standard Time),0
A,A1SISJL5ST2PWH,1481558813974,0,6,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,277 4110,98 99,0 1,4387,5,[0 1],1612762168.815,Mon Feb 08 2021 00:29:28 GMT-0500 (Eastern Standard Time),0
A,A1SISJL5ST2PWH,1481558813974,0,7,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,326 4078,98 99,0 1,4404,5,[0 1],1612762180.013,Mon Feb 08 2021 00:29:40 GMT-0500 (Eastern Standard Time),0
A,A1SISJL5ST2PWH,1481558813974,0,8,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,350 4107,98 99,0 1,4457,5,[0 1],1612762191.258,Mon Feb 08 2021 00:29:51 GMT-0500 (Eastern Standard Time),0
A,A1SISJL5ST2PWH,1481558813974,0,9,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,307 4095,97 98,0 1,4402,5,[0 1],1612762202.448,Mon Feb 08 2021 00:30:02 GMT-0500 (Eastern Standard Time),0
A,A1SISJL5ST2PWH,1481558813974,0,10,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,295 4075,98 99,0 1,4370,5,[0 1],1612762213.614,Mon Feb 08 2021 00:30:13 GMT-0500 (Eastern Standard Time),0
A,A1SISJL5ST2PWH,1481558813974,0,11,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,292 4074,98 99,0 1,4366,5,[0 1],1612762224.757,Mon Feb 08 2021 00:30:24 GMT-0500 (Eastern Standard Time),0
