group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1VRG5HKZC0H0C,1466435379777,0,0,train,1,[0 1],[1 0],1 2 3,3,-1 2,[];[3 2],0 3,2002 4319,116 50,0 1,6321,3,[1 0],1612741379.121,Sun Feb 07 2021 18:42:59 GMT-0500 (Eastern Standard Time),0
A,A1VRG5HKZC0H0C,1466435379777,0,1,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,517 4713,50 49,0 1,5230,5,[1 0],1612741391.113,Sun Feb 07 2021 18:43:11 GMT-0500 (Eastern Standard Time),0
A,A1VRG5HKZC0H0C,1466435379777,0,2,train,1,[1 0],[0 1],1 2 3,3,1 3,[0 2];[4 0],2 0,599 4701,50 51,0 1,5300,2,[1 0],1612741403.184,Sun Feb 07 2021 18:43:23 GMT-0500 (Eastern Standard Time),0
A,A1VRG5HKZC0H0C,1466435379777,0,3,train,1,[0 1],[1 0],1 2 3,3,1 1,[0 2];[0 3],0 0,815 4862,50 49,0 1,5677,0,[1 0],1612741415.628,Sun Feb 07 2021 18:43:35 GMT-0500 (Eastern Standard Time),0
A,A1VRG5HKZC0H0C,1466435379777,0,4,train,1,[1 0],[0 1],1 2 3,3,1 2,[0 2];[3 2],2 2,738 5025,50 50,0 1,5763,4,[1 0],1612741428.156,Sun Feb 07 2021 18:43:48 GMT-0500 (Eastern Standard Time),0
A,A1VRG5HKZC0H0C,1466435379777,0,5,train,1,[1 0],[0 1],1 2 3,3,1 3,[0 2];[4 0],2 0,548 5050,50 51,0 1,5598,2,[1 0],1612741440.514,Sun Feb 07 2021 18:44:00 GMT-0500 (Eastern Standard Time),0
A,A1VRG5HKZC0H0C,1466435379777,0,6,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,439 4262,50 49,0 1,4701,5,[1 0],1612741451.978,Sun Feb 07 2021 18:44:11 GMT-0500 (Eastern Standard Time),0
A,A1VRG5HKZC0H0C,1466435379777,0,7,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,650 4362,50 49,0 1,5012,5,[1 0],1612741463.755,Sun Feb 07 2021 18:44:23 GMT-0500 (Eastern Standard Time),0
A,A1VRG5HKZC0H0C,1466435379777,0,8,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,424 4262,50 49,0 1,4686,5,[1 0],1612741475.206,Sun Feb 07 2021 18:44:35 GMT-0500 (Eastern Standard Time),0
A,A1VRG5HKZC0H0C,1466435379777,0,9,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,474 4212,49 51,0 1,4686,5,[1 0],1612741486.656,Sun Feb 07 2021 18:44:46 GMT-0500 (Eastern Standard Time),0
A,A1VRG5HKZC0H0C,1466435379777,0,10,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,506 4802,50 49,0 1,5308,5,[1 0],1612741498.736,Sun Feb 07 2021 18:44:58 GMT-0500 (Eastern Standard Time),0
A,A1VRG5HKZC0H0C,1466435379777,0,11,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,364 4262,49 51,0 1,4626,5,[1 0],1612741510.127,Sun Feb 07 2021 18:45:10 GMT-0500 (Eastern Standard Time),0
A,A1VRG5HKZC0H0C,1466435379777,0,12,train,1,[0 1],[1 0],1 2 3,3,1 3,[0 2];[4 0],0 4,1350 4313,50 51,0 1,5663,4,[1 0],1612741522.553,Sun Feb 07 2021 18:45:22 GMT-0500 (Eastern Standard Time),0
A,A1VRG5HKZC0H0C,1466435379777,0,13,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,710 4225,49 51,0 1,4935,5,[1 0],1612741534.257,Sun Feb 07 2021 18:45:34 GMT-0500 (Eastern Standard Time),0
A,A1VRG5HKZC0H0C,1466435379777,0,14,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,449 4199,49 51,0 1,4648,5,[1 0],1612741545.667,Sun Feb 07 2021 18:45:45 GMT-0500 (Eastern Standard Time),0
A,A1VRG5HKZC0H0C,1466435379777,0,15,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,373 4236,49 51,0 1,4609,5,[1 0],1612741557.043,Sun Feb 07 2021 18:45:57 GMT-0500 (Eastern Standard Time),0
A,A1VRG5HKZC0H0C,1466435379777,0,16,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,358 4274,50 49,0 1,4632,5,[1 0],1612741568.447,Sun Feb 07 2021 18:46:08 GMT-0500 (Eastern Standard Time),0
A,A1VRG5HKZC0H0C,1466435379777,0,17,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,416 4200,49 51,0 1,4616,5,[1 0],1612741579.835,Sun Feb 07 2021 18:46:19 GMT-0500 (Eastern Standard Time),0
A,A1VRG5HKZC0H0C,1466435379777,0,18,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,378 4276,49 51,0 1,4654,5,[1 0],1612741591.259,Sun Feb 07 2021 18:46:31 GMT-0500 (Eastern Standard Time),0
