group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1ZRK6K5JUPJAV,1858720613147,0,0,train,1,[1 0],[1 0],1 2 3,3,-1 -1,[];[],0 0,2010 5047,116 116,0 1,7057,0,[0 1],1612731255.098,Sun Feb 07 2021 14:54:15 GMT-0600 (Central Standard Time),0
A,A1ZRK6K5JUPJAV,1858720613147,0,1,train,1,[1 0],[1 0],1 2 3,3,-1 1,[];[3 0],0 3,2010 3758,116 51,0 1,5768,3,[0 1],1612731267.682,Sun Feb 07 2021 14:54:27 GMT-0600 (Central Standard Time),0
A,A1ZRK6K5JUPJAV,1858720613147,0,2,train,1,[0 1],[0 1],1 2 3,3,1 3,[2 0];[0 4],0 4,548 5017,49 50,0 1,5565,4,[0 1],1612731280.05,Sun Feb 07 2021 14:54:40 GMT-0600 (Central Standard Time),0
A,A1ZRK6K5JUPJAV,1858720613147,0,3,train,1,[0 1],[0 1],1 2 3,3,2 1,[0 1];[3 0],1 0,407 4653,50 51,0 1,5060,1,[0 1],1612731291.915,Sun Feb 07 2021 14:54:51 GMT-0600 (Central Standard Time),0
A,A1ZRK6K5JUPJAV,1858720613147,0,4,train,1,[0 1],[0 1],1 2 3,3,1 3,[2 0];[0 4],0 4,420 4334,49 50,0 1,4754,4,[0 1],1612731303.469,Sun Feb 07 2021 14:55:03 GMT-0600 (Central Standard Time),0
A,A1ZRK6K5JUPJAV,1858720613147,0,5,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,361 4521,50 50,0 1,4882,5,[0 1],1612731315.158,Sun Feb 07 2021 14:55:15 GMT-0600 (Central Standard Time),0
A,A1ZRK6K5JUPJAV,1858720613147,0,6,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,365 4287,49 51,0 1,4652,5,[0 1],1612731326.634,Sun Feb 07 2021 14:55:26 GMT-0600 (Central Standard Time),0
A,A1ZRK6K5JUPJAV,1858720613147,0,7,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,402 4397,49 51,0 1,4799,5,[0 1],1612731338.232,Sun Feb 07 2021 14:55:38 GMT-0600 (Central Standard Time),0
A,A1ZRK6K5JUPJAV,1858720613147,0,8,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,417 4420,49 51,0 1,4837,5,[0 1],1612731349.89,Sun Feb 07 2021 14:55:49 GMT-0600 (Central Standard Time),0
A,A1ZRK6K5JUPJAV,1858720613147,0,9,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,574 4376,49 51,0 1,4950,5,[0 1],1612731361.658,Sun Feb 07 2021 14:56:01 GMT-0600 (Central Standard Time),0
A,A1ZRK6K5JUPJAV,1858720613147,0,10,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,416 4386,50 50,0 1,4802,5,[0 1],1612731373.255,Sun Feb 07 2021 14:56:13 GMT-0600 (Central Standard Time),0
A,A1ZRK6K5JUPJAV,1858720613147,0,11,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,434 4356,50 50,0 1,4790,5,[0 1],1612731384.851,Sun Feb 07 2021 14:56:24 GMT-0600 (Central Standard Time),0
A,A1ZRK6K5JUPJAV,1858720613147,0,12,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,569 4318,49 51,0 1,4887,5,[0 1],1612731396.579,Sun Feb 07 2021 14:56:36 GMT-0600 (Central Standard Time),0
A,A1ZRK6K5JUPJAV,1858720613147,0,13,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,487 4379,49 51,0 1,4866,5,[0 1],1612731408.277,Sun Feb 07 2021 14:56:48 GMT-0600 (Central Standard Time),0
A,A1ZRK6K5JUPJAV,1858720613147,0,14,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,438 4129,50 50,0 1,4567,5,[0 1],1612731419.64,Sun Feb 07 2021 14:56:59 GMT-0600 (Central Standard Time),0
A,A1ZRK6K5JUPJAV,1858720613147,0,15,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,305 4244,49 51,0 1,4549,5,[0 1],1612731431.015,Sun Feb 07 2021 14:57:11 GMT-0600 (Central Standard Time),0
A,A1ZRK6K5JUPJAV,1858720613147,0,16,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,347 4069,50 50,0 1,4416,5,[0 1],1612731442.235,Sun Feb 07 2021 14:57:22 GMT-0600 (Central Standard Time),0
A,A1ZRK6K5JUPJAV,1858720613147,0,17,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,296 4046,50 50,0 1,4342,5,[0 1],1612731453.387,Sun Feb 07 2021 14:57:33 GMT-0600 (Central Standard Time),0
A,A1ZRK6K5JUPJAV,1858720613147,0,18,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,334 4290,49 51,0 1,4624,5,[0 1],1612731464.841,Sun Feb 07 2021 14:57:44 GMT-0600 (Central Standard Time),0
