group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A272X64FOZFYLB,1859566785563,0,0,train,1,[1 0],[0 1],1 2 3,3,-1 1,[];[0 3],0 3,2001 3948,116 49,0 1,5949,3,[1 0],1612750639.533,Sun Feb 07 2021 21:17:19 GMT-0500 (Eastern Standard Time),0
A,A272X64FOZFYLB,1859566785563,0,1,train,1,[0 1],[1 0],1 2 3,3,2 1,[1 0];[0 3],1 0,741 4775,49 49,0 1,5516,1,[1 0],1612750651.832,Sun Feb 07 2021 21:17:31 GMT-0500 (Eastern Standard Time),0
A,A272X64FOZFYLB,1859566785563,0,2,train,1,[0 1],[1 0],1 2 3,3,1 3,[0 2];[4 0],0 4,691 4823,50 50,0 1,5514,4,[1 0],1612750664.154,Sun Feb 07 2021 21:17:44 GMT-0500 (Eastern Standard Time),0
A,A272X64FOZFYLB,1859566785563,0,3,train,1,[1 0],[0 1],1 2 3,3,2 1,[1 0];[0 3],0 3,847 4265,49 49,0 1,5112,3,[1 0],1612750676.06,Sun Feb 07 2021 21:17:56 GMT-0500 (Eastern Standard Time),0
A,A272X64FOZFYLB,1859566785563,0,4,train,1,[1 0],[0 1],1 2 3,3,1 3,[0 2];[4 0],2 0,864 4697,50 50,0 1,5561,2,[1 0],1612750688.426,Sun Feb 07 2021 21:18:08 GMT-0500 (Eastern Standard Time),0
A,A272X64FOZFYLB,1859566785563,0,5,train,1,[1 0],[0 1],1 2 3,3,2 1,[1 0];[0 3],0 3,488 4424,49 49,0 1,4912,3,[1 0],1612750700.117,Sun Feb 07 2021 21:18:20 GMT-0500 (Eastern Standard Time),0
A,A272X64FOZFYLB,1859566785563,0,6,train,1,[1 0],[0 1],1 2 3,3,1 2,[0 2];[3 2],2 2,421 4128,50 51,0 1,4549,4,[1 0],1612750711.46,Sun Feb 07 2021 21:18:31 GMT-0500 (Eastern Standard Time),0
A,A272X64FOZFYLB,1859566785563,0,7,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,454 4040,49 50,0 1,4494,5,[1 0],1612750722.766,Sun Feb 07 2021 21:18:42 GMT-0500 (Eastern Standard Time),0
A,A272X64FOZFYLB,1859566785563,0,8,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,417 4040,49 50,0 1,4457,5,[1 0],1612750734.027,Sun Feb 07 2021 21:18:54 GMT-0500 (Eastern Standard Time),0
A,A272X64FOZFYLB,1859566785563,0,9,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,309 3786,49 50,0 1,4095,5,[1 0],1612750744.938,Sun Feb 07 2021 21:19:04 GMT-0500 (Eastern Standard Time),0
A,A272X64FOZFYLB,1859566785563,0,10,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,273 4025,49 50,0 1,4298,5,[1 0],1612750756.036,Sun Feb 07 2021 21:19:16 GMT-0500 (Eastern Standard Time),0
A,A272X64FOZFYLB,1859566785563,0,11,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,279 4071,50 49,0 1,4350,5,[1 0],1612750767.167,Sun Feb 07 2021 21:19:27 GMT-0500 (Eastern Standard Time),0
A,A272X64FOZFYLB,1859566785563,0,12,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,105 4063,49 50,0 1,4168,5,[1 0],1612750778.136,Sun Feb 07 2021 21:19:38 GMT-0500 (Eastern Standard Time),0
A,A272X64FOZFYLB,1859566785563,0,13,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,294 4088,49 50,0 1,4382,5,[1 0],1612750789.317,Sun Feb 07 2021 21:19:49 GMT-0500 (Eastern Standard Time),0
A,A272X64FOZFYLB,1859566785563,0,14,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,254 4112,50 49,0 1,4366,5,[1 0],1612750800.469,Sun Feb 07 2021 21:20:00 GMT-0500 (Eastern Standard Time),0
A,A272X64FOZFYLB,1859566785563,0,15,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,302 4047,49 50,0 1,4349,5,[1 0],1612750811.616,Sun Feb 07 2021 21:20:11 GMT-0500 (Eastern Standard Time),0
A,A272X64FOZFYLB,1859566785563,0,16,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,258 4080,49 50,0 1,4338,5,[1 0],1612750822.754,Sun Feb 07 2021 21:20:22 GMT-0500 (Eastern Standard Time),0
A,A272X64FOZFYLB,1859566785563,0,17,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,293 3992,50 49,0 1,4285,5,[1 0],1612750833.826,Sun Feb 07 2021 21:20:33 GMT-0500 (Eastern Standard Time),0
A,A272X64FOZFYLB,1859566785563,0,18,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,272 3808,50 49,0 1,4080,5,[1 0],1612750844.678,Sun Feb 07 2021 21:20:44 GMT-0500 (Eastern Standard Time),0
A,A272X64FOZFYLB,1859566785563,0,19,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,281 4016,50 49,0 1,4297,5,[1 0],1612750855.769,Sun Feb 07 2021 21:20:55 GMT-0500 (Eastern Standard Time),0
A,A272X64FOZFYLB,1859566785563,0,0,test,1,[1 1],[1 1],1 2 3,3,2 2,[1 0];[3 2],1 5,764 4103,49 51,0 1,4867,6,[1 0],1612750867.424,Sun Feb 07 2021 21:21:07 GMT-0500 (Eastern Standard Time),0
A,A272X64FOZFYLB,1859566785563,1,0,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,382 4065,49 49,0 1,4447,5,[1 0],1612750882.661,Sun Feb 07 2021 21:21:22 GMT-0500 (Eastern Standard Time),0
A,A272X64FOZFYLB,1859566785563,1,1,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,319 4048,50 50,0 1,4367,5,[1 0],1612750893.819,Sun Feb 07 2021 21:21:33 GMT-0500 (Eastern Standard Time),0
