group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2NEFRREWF33YP,1653449599184,0,0,train,1,[1 0],[1 0],1 2 3,3,-1 1,[];[3 0],0 3,2008 3920,116 49,0 1,5928,3,[0 1],1612733071.857,Sun Feb 07 2021 16:24:31 GMT-0500 (Eastern Standard Time),0
A,A2NEFRREWF33YP,1653449599184,0,1,train,1,[0 1],[0 1],1 2 3,3,1 1,[2 0];[3 0],0 0,1238 5144,50 49,0 1,6382,0,[0 1],1612733085.045,Sun Feb 07 2021 16:24:45 GMT-0500 (Eastern Standard Time),0
A,A2NEFRREWF33YP,1653449599184,0,2,train,1,[0 1],[0 1],1 2 3,3,1 3,[2 0];[0 4],0 4,1435 5101,50 51,0 1,6536,4,[0 1],1612733098.362,Sun Feb 07 2021 16:24:58 GMT-0500 (Eastern Standard Time),0
A,A2NEFRREWF33YP,1653449599184,0,3,train,1,[1 0],[1 0],1 2 3,3,2 3,[0 1];[0 4],0 0,1200 5454,49 51,0 1,6654,0,[0 1],1612733111.788,Sun Feb 07 2021 16:25:11 GMT-0500 (Eastern Standard Time),0
A,A2NEFRREWF33YP,1653449599184,0,4,train,1,[1 0],[1 0],1 2 3,3,1 -1,[2 0];[],2 0,1690 5768,50 116,0 1,7458,2,[0 1],1612733125.276,Sun Feb 07 2021 16:25:25 GMT-0500 (Eastern Standard Time),0
A,A2NEFRREWF33YP,1653449599184,0,5,train,1,[1 0],[1 0],1 2 3,3,1 3,[2 0];[0 4],2 0,1173 340 4845,51 50 51,1 2,6358,2,[0 1],1612733138.425,Sun Feb 07 2021 16:25:38 GMT-0500 (Eastern Standard Time),0
A,A2NEFRREWF33YP,1653449599184,0,6,train,1,[0 1],[0 1],1 2 3,3,1 1,[2 0];[3 0],0 0,787 4442,50 49,0 1,5229,0,[0 1],1612733150.465,Sun Feb 07 2021 16:25:50 GMT-0500 (Eastern Standard Time),0
A,A2NEFRREWF33YP,1653449599184,0,7,train,1,[0 1],[0 1],1 2 3,3,2 2,[0 1];[2 3],1 3,1232 5528,49 50,0 1,6760,4,[0 1],1612733164.012,Sun Feb 07 2021 16:26:04 GMT-0500 (Eastern Standard Time),0
A,A2NEFRREWF33YP,1653449599184,0,8,train,1,[1 0],[1 0],1 2 3,3,2 2,[0 1];[2 3],0 2,894 5040,49 50,0 1,5934,2,[0 1],1612733176.731,Sun Feb 07 2021 16:26:16 GMT-0500 (Eastern Standard Time),0
A,A2NEFRREWF33YP,1653449599184,0,9,train,1,[0 1],[0 1],1 2 3,3,2 2,[0 1];[2 3],1 3,1243 5438,49 50,0 1,6681,4,[0 1],1612733190.199,Sun Feb 07 2021 16:26:30 GMT-0500 (Eastern Standard Time),0
