group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2WNTI69VVVWMZ,1428459874242,0,0,train,1,[0 1],[1 0],1 2 3,3,-1 1,[];[0 3],0 0,2001 3748,116 51,0 1,5749,0,[1 0],1612737871.354,Sun Feb 07 2021 16:44:31 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,0,1,train,1,[0 1],[1 0],1 2 3,3,1 3,[0 2];[4 0],0 4,457 4511,50 49,0 1,4968,4,[1 0],1612737883.087,Sun Feb 07 2021 16:44:43 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,0,2,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,416 601 4382,51 49 49,1 2,5399,5,[1 0],1612737895.248,Sun Feb 07 2021 16:44:55 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,0,3,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,662 376 4265,51 50 51,1 2,5303,5,[1 0],1612737907.31,Sun Feb 07 2021 16:45:07 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,0,4,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,570 4480,49 49,0 1,5050,5,[1 0],1612737919.118,Sun Feb 07 2021 16:45:19 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,0,5,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,656 4025,49 49,0 1,4681,5,[1 0],1612737930.557,Sun Feb 07 2021 16:45:30 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,0,6,train,1,[0 1],[1 0],1 2 3,3,2 1,[1 0];[0 3],1 0,396 4104,49 51,0 1,4500,1,[1 0],1612737941.812,Sun Feb 07 2021 16:45:41 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,0,7,train,1,[1 0],[0 1],1 2 3,3,1 2,[0 2];[3 2],2 2,460 4104,50 50,0 1,4564,4,[1 0],1612737953.133,Sun Feb 07 2021 16:45:53 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,0,8,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,359 4104,50 51,0 1,4463,5,[1 0],1612737964.357,Sun Feb 07 2021 16:46:04 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,0,9,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,354 4040,49 49,0 1,4394,5,[1 0],1612737975.51,Sun Feb 07 2021 16:46:15 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,0,10,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,522 4087,50 51,0 1,4609,5,[1 0],1612737986.875,Sun Feb 07 2021 16:46:26 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,0,11,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,324 4079,49 49,0 1,4403,5,[1 0],1612737998.035,Sun Feb 07 2021 16:46:38 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,0,12,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,599 4050,50 51,0 1,4649,5,[1 0],1612738009.444,Sun Feb 07 2021 16:46:49 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,0,13,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,410 4240,50 51,0 1,4650,5,[1 0],1612738020.85,Sun Feb 07 2021 16:47:00 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,0,14,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,387 4032,49 49,0 1,4419,5,[1 0],1612738032.027,Sun Feb 07 2021 16:47:12 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,0,15,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,467 4248,50 51,0 1,4715,5,[1 0],1612738043.499,Sun Feb 07 2021 16:47:23 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,0,16,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,330 4495,97 97,0 1,4825,5,[1 0],1612738055.081,Sun Feb 07 2021 16:47:35 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,0,17,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,314 4096,98 99,0 1,4410,5,[1 0],1612738066.249,Sun Feb 07 2021 16:47:46 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,0,18,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,410 4015,98 99,0 1,4425,5,[1 0],1612738077.432,Sun Feb 07 2021 16:47:57 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,0,19,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,299 4216,98 99,0 1,4515,5,[1 0],1612738088.707,Sun Feb 07 2021 16:48:08 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,0,0,test,1,[1 1],[1 1],1 2 3,3,1 2,[0 2];[3 2],2 5,297 4024,98 98,0 1,4321,7,[1 0],1612738099.785,Sun Feb 07 2021 16:48:19 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,1,0,train,1,[0 1],[1 0],1 2 3,3,1 1,[0 2];[0 3],0 0,392 4080,97 98,0 1,4472,0,[1 0],1612738115.016,Sun Feb 07 2021 16:48:35 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,1,1,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,402 4040,97 98,0 1,4442,5,[1 0],1612738126.215,Sun Feb 07 2021 16:48:46 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,1,2,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,324 4296,98 97,0 1,4620,4,[1 0],1612738137.592,Sun Feb 07 2021 16:48:57 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,1,3,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,395 4055,98 99,0 1,4450,5,[1 0],1612738148.799,Sun Feb 07 2021 16:49:08 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,1,4,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,354 4065,98 99,0 1,4419,5,[1 0],1612738159.976,Sun Feb 07 2021 16:49:19 GMT-0600 (Central Standard Time),0
A,A2WNTI69VVVWMZ,1428459874242,1,5,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,314 4024,97 98,0 1,4338,5,[1 0],1612738171.074,Sun Feb 07 2021 16:49:31 GMT-0600 (Central Standard Time),0
