group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A36ZKMRJCHF2HX,1352851426953,0,0,train,1,[0 1],[1 0],1 2 3,3,1 2,[0 2];[3 2],0 3,1403 5232,98 97,0 1,6635,3,[1 0],1612745803.629,Sun Feb 07 2021 19:56:43 GMT-0500 (Eastern Standard Time),1
A,A36ZKMRJCHF2HX,1352851426953,0,1,train,1,[0 1],[1 0],1 2 3,3,2 1,[1 0];[0 3],1 0,657 4360,97 99,0 1,5017,1,[1 0],1612745815.434,Sun Feb 07 2021 19:56:55 GMT-0500 (Eastern Standard Time),1
A,A36ZKMRJCHF2HX,1352851426953,0,2,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,321 624 4248,99 98 99,1 2,5193,5,[1 0],1612745827.423,Sun Feb 07 2021 19:57:07 GMT-0500 (Eastern Standard Time),1
A,A36ZKMRJCHF2HX,1352851426953,0,3,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,551 4352,98 99,0 1,4903,5,[1 0],1612745839.113,Sun Feb 07 2021 19:57:19 GMT-0500 (Eastern Standard Time),1
A,A36ZKMRJCHF2HX,1352851426953,0,4,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,402 4464,98 99,0 1,4866,5,[1 0],1612745850.778,Sun Feb 07 2021 19:57:30 GMT-0500 (Eastern Standard Time),1
A,A36ZKMRJCHF2HX,1352851426953,0,5,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,500 4480,98 99,0 1,4980,5,[1 0],1612745862.538,Sun Feb 07 2021 19:57:42 GMT-0500 (Eastern Standard Time),1
A,A36ZKMRJCHF2HX,1352851426953,0,6,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,562 4295,98 99,0 1,4857,5,[1 0],1612745874.172,Sun Feb 07 2021 19:57:54 GMT-0500 (Eastern Standard Time),1
A,A36ZKMRJCHF2HX,1352851426953,0,7,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,383 4391,97 98,0 1,4774,5,[1 0],1612745885.731,Sun Feb 07 2021 19:58:05 GMT-0500 (Eastern Standard Time),1
A,A36ZKMRJCHF2HX,1352851426953,0,8,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,401 4312,98 99,0 1,4713,5,[1 0],1612745897.241,Sun Feb 07 2021 19:58:17 GMT-0500 (Eastern Standard Time),1
A,A36ZKMRJCHF2HX,1352851426953,0,9,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,485 4344,97 98,0 1,4829,5,[1 0],1612745908.86,Sun Feb 07 2021 19:58:28 GMT-0500 (Eastern Standard Time),1
A,A36ZKMRJCHF2HX,1352851426953,0,10,train,1,[0 1],[1 0],1 2 3,3,1 2,[0 2];[3 2],0 3,568 4391,98 97,0 1,4959,3,[1 0],1612745920.621,Sun Feb 07 2021 19:58:40 GMT-0500 (Eastern Standard Time),1
A,A36ZKMRJCHF2HX,1352851426953,0,11,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,324 4465,97 98,0 1,4789,5,[1 0],1612745932.205,Sun Feb 07 2021 19:58:52 GMT-0500 (Eastern Standard Time),1
A,A36ZKMRJCHF2HX,1352851426953,0,12,train,1,[0 1],[1 0],1 2 3,3,1 2,[0 2];[3 2],0 3,362 4287,98 97,0 1,4649,3,[1 0],1612745943.649,Sun Feb 07 2021 19:59:03 GMT-0500 (Eastern Standard Time),1
A,A36ZKMRJCHF2HX,1352851426953,0,13,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,641 4288,97 98,0 1,4929,5,[1 0],1612745955.372,Sun Feb 07 2021 19:59:15 GMT-0500 (Eastern Standard Time),1
A,A36ZKMRJCHF2HX,1352851426953,0,14,train,1,[1 0],[0 1],1 2 3,3,2 3,[1 0];[4 0],0 0,426 4360,97 98,0 1,4786,0,[1 0],1612745966.943,Sun Feb 07 2021 19:59:26 GMT-0500 (Eastern Standard Time),1
A,A36ZKMRJCHF2HX,1352851426953,0,15,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,806 4192,98 99,0 1,4998,5,[1 0],1612745978.732,Sun Feb 07 2021 19:59:38 GMT-0500 (Eastern Standard Time),1
A,A36ZKMRJCHF2HX,1352851426953,0,16,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,368 4295,97 97,0 1,4663,4,[1 0],1612745990.18,Sun Feb 07 2021 19:59:50 GMT-0500 (Eastern Standard Time),1
A,A36ZKMRJCHF2HX,1352851426953,0,17,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,443 4144,98 99,0 1,4587,5,[1 0],1612746001.552,Sun Feb 07 2021 20:00:01 GMT-0500 (Eastern Standard Time),1
A,A36ZKMRJCHF2HX,1352851426953,0,18,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,434 4049,98 99,0 1,4483,5,[1 0],1612746012.818,Sun Feb 07 2021 20:00:12 GMT-0500 (Eastern Standard Time),1
A,A36ZKMRJCHF2HX,1352851426953,0,19,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,363 4175,97 97,0 1,4538,4,[1 0],1612746024.143,Sun Feb 07 2021 20:00:24 GMT-0500 (Eastern Standard Time),1
A,A36ZKMRJCHF2HX,1352851426953,0,0,test,1,[1 1],[1 1],1 2 3,3,1 3,[0 2];[4 0],2 4,515 4318,98 98,0 1,4833,6,[1 0],1612746035.764,Sun Feb 07 2021 20:00:35 GMT-0500 (Eastern Standard Time),1
A,A36ZKMRJCHF2HX,1352851426953,1,0,train,1,[0 1],[1 0],1 2 3,3,1 2,[0 2];[3 2],0 3,512 4167,97 97,0 1,4679,3,[1 0],1612746051.222,Sun Feb 07 2021 20:00:51 GMT-0500 (Eastern Standard Time),1
A,A36ZKMRJCHF2HX,1352851426953,1,1,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,293 4215,98 98,0 1,4508,5,[1 0],1612746062.504,Sun Feb 07 2021 20:01:02 GMT-0500 (Eastern Standard Time),1
