group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,ACKG8OU1KHKO2,1794955097143,0,0,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,1122 4895,49 49,0 1,6017,5,[0 1],1612739922.22,Sun Feb 07 2021 18:18:42 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,0,1,train,1,[1 0],[1 0],1 2 3,3,2 2,[0 1];[2 3],0 2,1110 4559,49 50,0 1,5669,2,[0 1],1612739934.662,Sun Feb 07 2021 18:18:54 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,0,2,train,1,[0 1],[0 1],1 2 3,3,1 1,[2 0];[3 0],0 0,809 4463,50 51,0 1,5272,0,[0 1],1612739946.698,Sun Feb 07 2021 18:19:06 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,0,3,train,1,[1 0],[1 0],1 2 3,3,2 2,[0 1];[2 3],0 2,349 5182,49 50,0 1,5531,2,[0 1],1612739958.994,Sun Feb 07 2021 18:19:18 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,0,4,train,1,[1 0],[1 0],1 2 3,3,2 2,[0 1];[2 3],0 2,348 3833,49 50,0 1,4181,2,[0 1],1612739969.941,Sun Feb 07 2021 18:19:29 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,0,5,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,418 4216,50 50,0 1,4634,4,[0 1],1612739981.341,Sun Feb 07 2021 18:19:41 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,0,6,train,1,[0 1],[0 1],1 2 3,3,1 2,[2 0];[2 3],0 3,367 3808,50 50,0 1,4175,3,[0 1],1612739992.291,Sun Feb 07 2021 18:19:52 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,0,7,train,1,[0 1],[0 1],1 2 3,3,2 2,[0 1];[2 3],1 3,360 4184,49 50,0 1,4544,4,[0 1],1612740003.604,Sun Feb 07 2021 18:20:03 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,0,8,train,1,[0 1],[0 1],1 2 3,3,1 2,[2 0];[2 3],0 3,360 3768,50 50,0 1,4128,3,[0 1],1612740014.503,Sun Feb 07 2021 18:20:14 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,0,9,train,1,[1 0],[1 0],1 2 3,3,2 2,[0 1];[2 3],0 2,430 4148,49 50,0 1,4578,2,[0 1],1612740025.848,Sun Feb 07 2021 18:20:25 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,0,10,train,1,[0 1],[0 1],1 2 3,3,2 2,[0 1];[2 3],1 3,115 4240,49 50,0 1,4355,4,[0 1],1612740036.97,Sun Feb 07 2021 18:20:36 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,0,11,train,1,[0 1],[0 1],1 2 3,3,2 2,[0 1];[2 3],1 3,500 3942,49 50,0 1,4442,4,[0 1],1612740048.179,Sun Feb 07 2021 18:20:48 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,0,12,train,1,[1 0],[1 0],1 2 3,3,2 2,[0 1];[2 3],0 2,792 4128,49 50,0 1,4920,2,[0 1],1612740059.864,Sun Feb 07 2021 18:20:59 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,0,13,train,1,[1 0],[1 0],1 2 3,3,2 2,[0 1];[2 3],0 2,618 4295,49 50,0 1,4913,2,[0 1],1612740071.543,Sun Feb 07 2021 18:21:11 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,0,14,train,1,[0 1],[0 1],1 2 3,3,1 2,[2 0];[2 3],0 3,428 4069,50 50,0 1,4497,3,[0 1],1612740082.803,Sun Feb 07 2021 18:21:22 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,0,15,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,703 4040,50 50,0 1,4743,4,[0 1],1612740094.31,Sun Feb 07 2021 18:21:34 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,0,16,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,108 4087,50 50,0 1,4195,4,[0 1],1612740105.273,Sun Feb 07 2021 18:21:45 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,0,17,train,1,[0 1],[0 1],1 2 3,3,1 2,[2 0];[2 3],0 3,502 4202,50 50,0 1,4704,3,[0 1],1612740116.746,Sun Feb 07 2021 18:21:56 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,0,18,train,1,[1 0],[1 0],1 2 3,3,2 2,[0 1];[2 3],0 2,449 3920,49 50,0 1,4369,2,[0 1],1612740127.879,Sun Feb 07 2021 18:22:07 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,0,19,train,1,[0 1],[0 1],1 2 3,3,1 2,[2 0];[2 3],0 3,418 4015,50 50,0 1,4433,3,[0 1],1612740139.082,Sun Feb 07 2021 18:22:19 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,0,0,test,1,[1 1],[1 1],1 2 3,3,1 2,[2 0];[2 3],2 5,726 4005,50 50,0 1,4731,7,[0 1],1612740150.581,Sun Feb 07 2021 18:22:30 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,1,0,train,1,[0 1],[0 1],1 2 3,3,1 1,[2 0];[3 0],0 0,1222 5615,49 49,0 1,6837,0,[0 1],1612740168.194,Sun Feb 07 2021 18:22:48 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,1,1,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,245 4063,49 49,0 1,4308,5,[0 1],1612740179.277,Sun Feb 07 2021 18:22:59 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,1,2,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,323 3983,49 49,0 1,4306,5,[0 1],1612740190.349,Sun Feb 07 2021 18:23:10 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,1,3,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,351 3936,49 49,0 1,4287,5,[0 1],1612740201.407,Sun Feb 07 2021 18:23:21 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,1,4,train,1,[0 1],[0 1],1 2 3,3,2 2,[0 1];[2 3],1 3,302 4376,50 50,0 1,4678,4,[0 1],1612740212.861,Sun Feb 07 2021 18:23:32 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,1,5,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,362 4103,49 49,0 1,4465,5,[0 1],1612740224.094,Sun Feb 07 2021 18:23:44 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,1,6,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,504 3776,50 51,0 1,4280,5,[0 1],1612740235.148,Sun Feb 07 2021 18:23:55 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,1,7,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,350 4087,50 51,0 1,4437,5,[0 1],1612740246.368,Sun Feb 07 2021 18:24:06 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,1,8,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,254 4135,49 49,0 1,4389,5,[0 1],1612740257.524,Sun Feb 07 2021 18:24:17 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,1,9,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,151 3776,50 51,0 1,3927,5,[0 1],1612740268.224,Sun Feb 07 2021 18:24:28 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,1,10,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,184 3912,49 49,0 1,4096,5,[0 1],1612740279.095,Sun Feb 07 2021 18:24:39 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,1,11,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,262 4424,49 49,0 1,4686,5,[0 1],1612740290.548,Sun Feb 07 2021 18:24:50 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,1,12,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,351 3880,50 51,0 1,4231,5,[0 1],1612740301.55,Sun Feb 07 2021 18:25:01 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,1,13,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,199 4084,50 51,0 1,4283,5,[0 1],1612740312.611,Sun Feb 07 2021 18:25:12 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,1,14,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,71 4120,50 51,0 1,4191,5,[0 1],1612740323.577,Sun Feb 07 2021 18:25:23 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,1,15,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,130 4088,49 49,0 1,4218,5,[0 1],1612740334.563,Sun Feb 07 2021 18:25:34 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,1,16,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,230 4055,50 51,0 1,4285,5,[0 1],1612740345.624,Sun Feb 07 2021 18:25:45 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,1,17,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,303 5600,49 49,0 1,5903,5,[0 1],1612740358.301,Sun Feb 07 2021 18:25:58 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,1,18,train,1,[1 0],[1 0],1 2 3,3,1 -1,[2 0];[],2 0,613 5767,49 116,0 1,6380,2,[0 1],1612740370.694,Sun Feb 07 2021 18:26:10 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,1,19,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,402 4265,50 51,0 1,4667,5,[0 1],1612740382.136,Sun Feb 07 2021 18:26:22 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,1,0,test,1,[1 1],[1 1],1 2 3,3,1 2,[2 0];[2 3],2 5,47 4130,49 50,0 1,4177,7,[0 1],1612740393.087,Sun Feb 07 2021 18:26:33 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,2,0,train,1,[0 1],[1 0],1 2 3,3,1 3,[0 2];[4 0],0 4,109 4251,49 51,0 1,4360,4,[1 0],1612740408.216,Sun Feb 07 2021 18:26:48 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,2,1,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,82 3887,49 49,0 1,3969,5,[1 0],1612740418.947,Sun Feb 07 2021 18:26:58 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,2,2,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,486 4040,50 51,0 1,4526,5,[1 0],1612740430.237,Sun Feb 07 2021 18:27:10 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,2,3,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,348 4008,50 51,0 1,4356,5,[1 0],1612740441.357,Sun Feb 07 2021 18:27:21 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,2,4,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,338 4511,50 51,0 1,4849,5,[1 0],1612740452.971,Sun Feb 07 2021 18:27:32 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,2,5,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,219 3763,50 51,0 1,3982,5,[1 0],1612740463.717,Sun Feb 07 2021 18:27:43 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,2,6,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,443 4111,49 49,0 1,4554,5,[1 0],1612740475.035,Sun Feb 07 2021 18:27:55 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,2,7,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,11 3816,49 49,0 1,3827,5,[1 0],1612740485.624,Sun Feb 07 2021 18:28:05 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,2,8,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,463 3826,50 51,0 1,4289,5,[1 0],1612740496.676,Sun Feb 07 2021 18:28:16 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,2,9,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,49 3766,49 49,0 1,3815,5,[1 0],1612740507.257,Sun Feb 07 2021 18:28:27 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,2,10,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,6 3766,49 49,0 1,3772,5,[1 0],1612740517.794,Sun Feb 07 2021 18:28:37 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,2,11,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,15 3767,49 49,0 1,3782,5,[1 0],1612740528.34,Sun Feb 07 2021 18:28:48 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,2,12,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,80 3766,49 49,0 1,3846,5,[1 0],1612740538.951,Sun Feb 07 2021 18:28:58 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,2,13,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,6 3773,49 49,0 1,3779,5,[1 0],1612740549.499,Sun Feb 07 2021 18:29:09 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,2,14,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,5 3765,49 49,0 1,3770,5,[1 0],1612740560.035,Sun Feb 07 2021 18:29:20 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,2,15,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,3 3802,50 51,0 1,3805,5,[1 0],1612740570.606,Sun Feb 07 2021 18:29:30 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,2,16,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,28 3836,50 50,0 1,3864,4,[1 0],1612740581.232,Sun Feb 07 2021 18:29:41 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,2,17,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,17 4805,50 51,0 1,4822,5,[1 0],1612740592.819,Sun Feb 07 2021 18:29:52 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,2,18,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,56 3764,49 49,0 1,3820,5,[1 0],1612740603.406,Sun Feb 07 2021 18:30:03 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,2,19,train,1,[0 1],[1 0],1 2 3,3,2 -1,[1 0];[],1 0,10 5763,50 116,0 1,5773,1,[1 0],1612740615.188,Sun Feb 07 2021 18:30:15 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,2,0,test,1,[1 1],[1 1],1 2 3,3,1 2,[0 2];[3 2],2 5,53 4301,49 50,0 1,4354,7,[1 0],1612740626.305,Sun Feb 07 2021 18:30:26 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,3,0,train,1,[0 1],[0 1],1 2 3,3,1 2,[2 0];[2 3],0 3,392 3813,49 51,0 1,4205,3,[0 1],1612740641.274,Sun Feb 07 2021 18:30:41 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,3,1,train,1,[1 0],[1 0],1 2 3,3,2 1,[0 1];[3 0],0 3,415 3766,50 50,0 1,4181,3,[0 1],1612740652.222,Sun Feb 07 2021 18:30:52 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,3,2,train,1,[0 1],[0 1],1 2 3,3,1 3,[2 0];[0 4],0 4,163 3952,49 49,0 1,4115,4,[0 1],1612740663.105,Sun Feb 07 2021 18:31:03 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,3,3,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,359 4032,50 49,0 1,4391,5,[0 1],1612740674.263,Sun Feb 07 2021 18:31:14 GMT-0500 (Eastern Standard Time),0
A,ACKG8OU1KHKO2,1794955097143,3,4,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,257 3959,50 49,0 1,4216,5,[0 1],1612740685.246,Sun Feb 07 2021 18:31:25 GMT-0500 (Eastern Standard Time),0
