group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AXMPSUNKUBEIL,1373390310407,0,0,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,1408 5569,49 49,0 1,6977,5,[1 0],1612739470.723,Sun Feb 07 2021 18:11:10 GMT-0500 (Eastern Standard Time),0
A,AXMPSUNKUBEIL,1373390310407,0,1,train,1,[1 0],[0 1],1 2 3,3,1 -1,[0 2];[],2 0,1820 5793,50 116,0 1,7613,2,[1 0],1612739484.357,Sun Feb 07 2021 18:11:24 GMT-0500 (Eastern Standard Time),0
A,AXMPSUNKUBEIL,1373390310407,0,2,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,855 4633,49 49,0 1,5488,5,[1 0],1612739496.631,Sun Feb 07 2021 18:11:36 GMT-0500 (Eastern Standard Time),0
A,AXMPSUNKUBEIL,1373390310407,0,3,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,1077 4276,50 50,0 1,5353,5,[1 0],1612739508.766,Sun Feb 07 2021 18:11:48 GMT-0500 (Eastern Standard Time),0
A,AXMPSUNKUBEIL,1373390310407,0,4,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,378 4320,49 49,0 1,4698,5,[1 0],1612739520.239,Sun Feb 07 2021 18:12:00 GMT-0500 (Eastern Standard Time),0
A,AXMPSUNKUBEIL,1373390310407,0,5,train,1,[1 0],[0 1],1 2 3,3,1 2,[0 2];[3 2],2 2,361 4221,50 51,0 1,4582,4,[1 0],1612739531.602,Sun Feb 07 2021 18:12:11 GMT-0500 (Eastern Standard Time),0
A,AXMPSUNKUBEIL,1373390310407,0,6,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,642 4171,50 50,0 1,4813,5,[1 0],1612739543.207,Sun Feb 07 2021 18:12:23 GMT-0500 (Eastern Standard Time),0
A,AXMPSUNKUBEIL,1373390310407,0,7,train,1,[1 0],[0 1],1 2 3,3,1 3,[0 2];[4 0],2 0,622 4272,50 49,0 1,4894,2,[1 0],1612739554.888,Sun Feb 07 2021 18:12:34 GMT-0500 (Eastern Standard Time),0
A,AXMPSUNKUBEIL,1373390310407,0,8,train,1,[0 1],[1 0],1 2 3,3,1 3,[0 2];[4 0],0 4,578 4343,50 49,0 1,4921,4,[1 0],1612739566.583,Sun Feb 07 2021 18:12:46 GMT-0500 (Eastern Standard Time),0
A,AXMPSUNKUBEIL,1373390310407,0,9,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,415 4180,49 49,0 1,4595,5,[1 0],1612739577.954,Sun Feb 07 2021 18:12:57 GMT-0500 (Eastern Standard Time),0
A,AXMPSUNKUBEIL,1373390310407,0,10,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,964 4113,49 49,0 1,5077,5,[1 0],1612739589.809,Sun Feb 07 2021 18:13:09 GMT-0500 (Eastern Standard Time),0
A,AXMPSUNKUBEIL,1373390310407,0,11,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,292 4021,50 50,0 1,4313,5,[1 0],1612739600.906,Sun Feb 07 2021 18:13:20 GMT-0500 (Eastern Standard Time),0
