group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A11S8IAAVDXCUS,1354312176475,0,0,train,1,[0 1],[1 0],1 2 3,3,-1 1,[];[0 3],0 0,1013 2731,116 97,0 1,3744,0,[1 0],1613140130.032,Fri Feb 12 2021 08:28:50 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,0,1,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,619 3623,98 99,0 1,4242,5,[1 0],1613140140.087,Fri Feb 12 2021 08:29:00 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,0,2,train,1,[1 0],[0 1],1 2 3,3,1 -1,[0 2];[],2 0,428 3780,97 116,0 1,4208,2,[1 0],1613140149.311,Fri Feb 12 2021 08:29:09 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,0,3,train,1,[0 1],[1 0],1 2 3,3,2 -1,[1 0];[],1 0,438 386 3797,99 98 116,1 2,4621,1,[1 0],1613140158.944,Fri Feb 12 2021 08:29:18 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,0,4,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,347 3413,98 99,0 1,3760,5,[1 0],1613140168.506,Fri Feb 12 2021 08:29:28 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,0,5,train,1,[1 0],[0 1],1 2 3,3,1 3,[0 2];[4 0],2 0,302 3420,97 99,0 1,3722,2,[1 0],1613140178.028,Fri Feb 12 2021 08:29:38 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,0,6,train,1,[1 0],[0 1],1 2 3,3,1 2,[0 2];[3 2],2 2,273 3357,97 98,0 1,3630,4,[1 0],1613140187.459,Fri Feb 12 2021 08:29:47 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,0,7,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,284 3342,97 97,0 1,3626,5,[1 0],1613140196.874,Fri Feb 12 2021 08:29:56 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,0,8,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,509 192 3186,99 98 99,1 2,3887,5,[1 0],1613140206.574,Fri Feb 12 2021 08:30:06 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,0,9,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,971 3480,98 99,0 1,4451,5,[1 0],1613140216.811,Fri Feb 12 2021 08:30:16 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,0,10,train,1,[1 0],[0 1],1 2 3,3,1 2,[0 2];[3 2],2 2,463 3431,97 98,0 1,3894,4,[1 0],1613140226.504,Fri Feb 12 2021 08:30:26 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,0,11,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,641 3537,98 99,0 1,4178,5,[1 0],1613140236.473,Fri Feb 12 2021 08:30:36 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,0,12,train,1,[0 1],[1 0],1 2 3,3,1 2,[0 2];[3 2],0 3,570 3344,97 98,0 1,3914,3,[1 0],1613140246.181,Fri Feb 12 2021 08:30:46 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,0,13,train,1,[1 0],[0 1],1 2 3,3,1 3,[0 2];[4 0],2 0,498 3400,97 99,0 1,3898,2,[1 0],1613140255.865,Fri Feb 12 2021 08:30:55 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,0,14,train,1,[1 0],[0 1],1 2 3,3,1 -1,[0 2];[],2 0,421 3793,97 116,0 1,4214,2,[1 0],1613140265.107,Fri Feb 12 2021 08:31:05 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,0,15,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,313 3564,97 97,0 1,3877,5,[1 0],1613140274.771,Fri Feb 12 2021 08:31:14 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,0,16,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,339 3376,97 97,0 1,3715,5,[1 0],1613140284.279,Fri Feb 12 2021 08:31:24 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,0,17,train,1,[0 1],[1 0],1 2 3,3,1 3,[0 2];[4 0],0 4,478 3342,97 99,0 1,3820,4,[1 0],1613140293.897,Fri Feb 12 2021 08:31:33 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,0,18,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,388 3305,98 99,0 1,3693,5,[1 0],1613140303.378,Fri Feb 12 2021 08:31:43 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,0,19,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,397 3383,97 97,0 1,3780,5,[1 0],1613140312.944,Fri Feb 12 2021 08:31:52 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,0,0,test,1,[1 1],[1 1],1 2 3,3,1 2,[0 2];[3 2],2 5,737 3096,97 98,0 1,3833,7,[1 0],1613140322.581,Fri Feb 12 2021 08:32:02 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,1,0,train,1,[0 1],[0 1],1 2 3,3,2 2,[0 1];[2 3],1 3,577 216 3488,99 98 98,1 2,4281,4,[0 1],1613140336.654,Fri Feb 12 2021 08:32:16 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,1,1,train,1,[0 1],[0 1],1 2 3,3,2 1,[0 1];[3 0],1 0,555 3289,98 99,0 1,3844,1,[0 1],1613140346.304,Fri Feb 12 2021 08:32:26 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,1,2,train,1,[0 1],[0 1],1 2 3,3,1 3,[2 0];[0 4],0 4,385 3208,97 97,0 1,3593,4,[0 1],1613140355.704,Fri Feb 12 2021 08:32:35 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,1,3,train,1,[1 0],[1 0],1 2 3,3,2 2,[0 1];[2 3],0 2,382 3636,98 98,0 1,4018,2,[0 1],1613140365.545,Fri Feb 12 2021 08:32:45 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,1,4,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,937 3272,97 99,0 1,4209,5,[0 1],1613140375.589,Fri Feb 12 2021 08:32:55 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,1,5,train,1,[0 1],[0 1],1 2 3,3,2 2,[0 1];[2 3],1 3,488 3503,98 98,0 1,3991,4,[0 1],1613140385.4,Fri Feb 12 2021 08:33:05 GMT-0600 (Central Standard Time),0
A,A11S8IAAVDXCUS,1354312176475,1,6,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,724 3325,98 97,0 1,4049,5,[0 1],1613140395.254,Fri Feb 12 2021 08:33:15 GMT-0600 (Central Standard Time),0
