group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1SIUJEL2LS8UO,1680008846578,0,0,train,1,[0 1],[0 1],1 2 3,3,-1 -1,[];[],0 0,1004 3025,116 116,0 1,4029,0,[0 1],1613148017.82,Fri Feb 12 2021 10:40:17 GMT-0600 (Central Standard Time),0
A,A1SIUJEL2LS8UO,1680008846578,0,1,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,590 3488,50 49,0 1,4078,4,[0 1],1613148027.688,Fri Feb 12 2021 10:40:27 GMT-0600 (Central Standard Time),0
A,A1SIUJEL2LS8UO,1680008846578,0,2,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,459 3041,50 50,0 1,3500,5,[0 1],1613148036.99,Fri Feb 12 2021 10:40:36 GMT-0600 (Central Standard Time),0
A,A1SIUJEL2LS8UO,1680008846578,0,3,train,1,[0 1],[0 1],1 2 3,3,2 2,[0 1];[2 3],1 3,347 3181,49 49,0 1,3528,4,[0 1],1613148046.296,Fri Feb 12 2021 10:40:46 GMT-0600 (Central Standard Time),0
A,A1SIUJEL2LS8UO,1680008846578,0,4,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,262 3008,49 51,0 1,3270,5,[0 1],1613148055.359,Fri Feb 12 2021 10:40:55 GMT-0600 (Central Standard Time),0
A,A1SIUJEL2LS8UO,1680008846578,0,5,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,332 3141,49 51,0 1,3473,5,[0 1],1613148064.627,Fri Feb 12 2021 10:41:04 GMT-0600 (Central Standard Time),0
A,A1SIUJEL2LS8UO,1680008846578,0,6,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,347 3136,49 51,0 1,3483,5,[0 1],1613148073.889,Fri Feb 12 2021 10:41:13 GMT-0600 (Central Standard Time),0
A,A1SIUJEL2LS8UO,1680008846578,0,7,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,355 3203,50 50,0 1,3558,5,[0 1],1613148083.221,Fri Feb 12 2021 10:41:23 GMT-0600 (Central Standard Time),0
A,A1SIUJEL2LS8UO,1680008846578,0,8,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,548 3083,49 51,0 1,3631,5,[0 1],1613148092.64,Fri Feb 12 2021 10:41:32 GMT-0600 (Central Standard Time),0
A,A1SIUJEL2LS8UO,1680008846578,0,9,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[2 3],2 2,355 3134,50 49,0 1,3489,4,[0 1],1613148101.925,Fri Feb 12 2021 10:41:41 GMT-0600 (Central Standard Time),0
A,A1SIUJEL2LS8UO,1680008846578,0,10,train,1,[1 0],[1 0],1 2 3,3,1 3,[2 0];[0 4],2 0,397 3084,50 51,0 1,3481,2,[0 1],1613148111.198,Fri Feb 12 2021 10:41:51 GMT-0600 (Central Standard Time),0
A,A1SIUJEL2LS8UO,1680008846578,0,11,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,335 3149,50 50,0 1,3484,5,[0 1],1613148120.468,Fri Feb 12 2021 10:42:00 GMT-0600 (Central Standard Time),0
A,A1SIUJEL2LS8UO,1680008846578,0,12,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,259 3189,49 51,0 1,3448,5,[0 1],1613148129.704,Fri Feb 12 2021 10:42:09 GMT-0600 (Central Standard Time),0
A,A1SIUJEL2LS8UO,1680008846578,0,13,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,274 3028,49 51,0 1,3302,5,[0 1],1613148138.794,Fri Feb 12 2021 10:42:18 GMT-0600 (Central Standard Time),0
A,A1SIUJEL2LS8UO,1680008846578,0,14,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,510 244 3103,51 50 50,1 2,3857,5,[0 1],1613148148.441,Fri Feb 12 2021 10:42:28 GMT-0600 (Central Standard Time),0
A,A1SIUJEL2LS8UO,1680008846578,0,15,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,250 3078,49 51,0 1,3328,5,[0 1],1613148157.576,Fri Feb 12 2021 10:42:37 GMT-0600 (Central Standard Time),0
A,A1SIUJEL2LS8UO,1680008846578,0,16,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,276 3153,50 50,0 1,3429,5,[0 1],1613148166.797,Fri Feb 12 2021 10:42:46 GMT-0600 (Central Standard Time),0
A,A1SIUJEL2LS8UO,1680008846578,0,17,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,284 3232,50 50,0 1,3516,5,[0 1],1613148176.109,Fri Feb 12 2021 10:42:56 GMT-0600 (Central Standard Time),0
A,A1SIUJEL2LS8UO,1680008846578,0,18,train,1,[0 1],[0 1],1 2 3,3,2 3,[0 1];[0 4],1 4,283 3221,49 51,0 1,3504,5,[0 1],1613148185.398,Fri Feb 12 2021 10:43:05 GMT-0600 (Central Standard Time),0
A,A1SIUJEL2LS8UO,1680008846578,0,19,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,428 3210,50 50,0 1,3638,5,[0 1],1613148194.836,Fri Feb 12 2021 10:43:14 GMT-0600 (Central Standard Time),0
A,A1SIUJEL2LS8UO,1680008846578,0,0,test,1,[1 1],[1 1],1 2 3,3,2 3,[0 1];[0 4],1 4,745 3063,49 51,0 1,3808,5,[0 1],1613148204.433,Fri Feb 12 2021 10:43:24 GMT-0600 (Central Standard Time),0
A,A1SIUJEL2LS8UO,1680008846578,1,0,train,1,[1 0],[1 0],1 2 3,3,2 3,[0 1];[0 4],0 0,535 3606,49 49,0 1,4141,0,[0 1],1613148218.358,Fri Feb 12 2021 10:43:38 GMT-0600 (Central Standard Time),0
