group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A28O8I1SYFZO7A,1552340608779,0,0,train,1,[1 0],[0 1],1 2 3,3,-1 1,[];[0 3],0 3,1013 2774,116 50,0 1,3787,3,[1 0],1612841127.655,Mon Feb 08 2021 20:25:27 GMT-0700 (Mountain Standard Time),0
A,A28O8I1SYFZO7A,1552340608779,0,1,train,1,[0 1],[1 0],1 2 3,3,1 2,[0 2];[3 2],0 3,304 346 3529,51 50 49,1 2,4179,3,[1 0],1612841137.639,Mon Feb 08 2021 20:25:37 GMT-0700 (Mountain Standard Time),0
A,A28O8I1SYFZO7A,1552340608779,0,2,train,1,[0 1],[1 0],1 2 3,3,2 -1,[1 0];[],1 0,354 3763 28,49 52 116,0 2,4145,1,[1 0],1612841146.814,Mon Feb 08 2021 20:25:46 GMT-0700 (Mountain Standard Time),0
A,A28O8I1SYFZO7A,1552340608779,0,3,train,1,[0 1],[1 0],1 2 3,3,1 1,[0 2];[0 3],0 0,319 288 3274,51 50 50,1 2,3881,0,[1 0],1612841156.483,Mon Feb 08 2021 20:25:56 GMT-0700 (Mountain Standard Time),0
A,A28O8I1SYFZO7A,1552340608779,0,4,train,1,[0 1],[1 0],1 2 3,3,1 3,[0 2];[4 0],0 4,636 3303,50 51,0 1,3939,4,[1 0],1612841166.211,Mon Feb 08 2021 20:26:06 GMT-0700 (Mountain Standard Time),0
A,A28O8I1SYFZO7A,1552340608779,0,5,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,398 3118,49 51,0 1,3516,5,[1 0],1612841175.517,Mon Feb 08 2021 20:26:15 GMT-0700 (Mountain Standard Time),0
A,A28O8I1SYFZO7A,1552340608779,0,6,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,252 3161,50 50,0 1,3413,5,[1 0],1612841184.721,Mon Feb 08 2021 20:26:24 GMT-0700 (Mountain Standard Time),0
A,A28O8I1SYFZO7A,1552340608779,0,7,train,1,[1 0],[0 1],1 2 3,3,1 2,[0 2];[3 2],2 2,437 3375,50 49,0 1,3812,4,[1 0],1612841194.33,Mon Feb 08 2021 20:26:34 GMT-0700 (Mountain Standard Time),0
A,A28O8I1SYFZO7A,1552340608779,0,8,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,432 3298,49 51,0 1,3730,5,[1 0],1612841203.85,Mon Feb 08 2021 20:26:43 GMT-0700 (Mountain Standard Time),0
A,A28O8I1SYFZO7A,1552340608779,0,9,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,302 3129,50 50,0 1,3431,5,[1 0],1612841213.071,Mon Feb 08 2021 20:26:53 GMT-0700 (Mountain Standard Time),0
A,A28O8I1SYFZO7A,1552340608779,0,10,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,529 3171,50 50,0 1,3700,5,[1 0],1612841222.566,Mon Feb 08 2021 20:27:02 GMT-0700 (Mountain Standard Time),0
A,A28O8I1SYFZO7A,1552340608779,0,11,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,425 3185,50 50,0 1,3610,5,[1 0],1612841231.971,Mon Feb 08 2021 20:27:11 GMT-0700 (Mountain Standard Time),0
A,A28O8I1SYFZO7A,1552340608779,0,12,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,302 3100,49 51,0 1,3402,5,[1 0],1612841241.157,Mon Feb 08 2021 20:27:21 GMT-0700 (Mountain Standard Time),0
A,A28O8I1SYFZO7A,1552340608779,0,13,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,698 3286,49 51,0 1,3984,5,[1 0],1612841250.928,Mon Feb 08 2021 20:27:30 GMT-0700 (Mountain Standard Time),0
A,A28O8I1SYFZO7A,1552340608779,0,14,train,1,[1 0],[0 1],1 2 3,3,2 1,[1 0];[0 3],0 3,401 2999,49 50,0 1,3400,3,[1 0],1612841260.119,Mon Feb 08 2021 20:27:40 GMT-0700 (Mountain Standard Time),0
