group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2VAL2BRKVSUB5,1129890863882,0,0,train,1,[0 1],[1 0],1 2 3,3,-1 1,[];[0 3],0 0,1008 2736,116 49,0 1,3744,0,[1 0],1612826255.952,Mon Feb 08 2021 18:17:35 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,0,1,train,1,[1 0],[0 1],1 2 3,3,1 2,[0 2];[3 2],2 2,760 3740,50 50,0 1,4500,4,[1 0],1612826266.329,Mon Feb 08 2021 18:17:46 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,0,2,train,1,[1 0],[0 1],1 2 3,3,1 2,[0 2];[3 2],2 2,545 416 3618,51 50 50,1 2,4579,4,[1 0],1612826276.765,Mon Feb 08 2021 18:17:56 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,0,3,train,1,[1 0],[0 1],1 2 3,3,2 -1,[1 0];[],0 0,867 3832,49 116,0 1,4699,0,[1 0],1612826286.538,Mon Feb 08 2021 18:18:06 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,0,4,train,1,[1 0],[0 1],1 2 3,3,1 3,[0 2];[4 0],2 0,800 3697,50 51,0 1,4497,2,[1 0],1612826296.909,Mon Feb 08 2021 18:18:16 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,0,5,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,613 3550,49 50,0 1,4163,4,[1 0],1612826306.915,Mon Feb 08 2021 18:18:26 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,0,6,train,1,[0 1],[1 0],1 2 3,3,1 -1,[0 2];[],0 0,705 264 3854,51 50 116,1 2,4823,0,[1 0],1612826316.792,Mon Feb 08 2021 18:18:36 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,0,7,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,501 3604,49 50,0 1,4105,4,[1 0],1612826326.753,Mon Feb 08 2021 18:18:46 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,0,8,train,1,[1 0],[0 1],1 2 3,3,2 2,[1 0];[3 2],0 2,834 3465,49 50,0 1,4299,2,[1 0],1612826336.921,Mon Feb 08 2021 18:18:56 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,0,9,train,1,[0 1],[1 0],1 2 3,3,1 1,[0 2];[0 3],0 0,758 3598,50 49,0 1,4356,0,[1 0],1612826347.13,Mon Feb 08 2021 18:19:07 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,0,10,train,1,[0 1],[1 0],1 2 3,3,1 1,[0 2];[0 3],0 0,708 3559,50 49,0 1,4267,0,[1 0],1612826357.243,Mon Feb 08 2021 18:19:17 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,0,11,train,1,[0 1],[1 0],1 2 3,3,1 2,[0 2];[3 2],0 3,802 3699,50 50,0 1,4501,3,[1 0],1612826367.592,Mon Feb 08 2021 18:19:27 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,0,12,train,1,[1 0],[0 1],1 2 3,3,1 -1,[0 2];[],2 0,865 3850,50 116,0 1,4715,2,[1 0],1612826377.377,Mon Feb 08 2021 18:19:37 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,0,13,train,1,[1 0],[0 1],1 2 3,3,2 3,[1 0];[4 0],0 0,661 3792,49 51,0 1,4453,0,[1 0],1612826387.676,Mon Feb 08 2021 18:19:47 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,0,14,train,1,[1 0],[0 1],1 2 3,3,2 -1,[1 0];[],0 0,658 3820,49 116,0 1,4478,0,[1 0],1612826397.233,Mon Feb 08 2021 18:19:57 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,0,15,train,1,[0 1],[1 0],1 2 3,3,2 1,[1 0];[0 3],1 0,859 3656,49 49,0 1,4515,1,[1 0],1612826407.605,Mon Feb 08 2021 18:20:07 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,0,16,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,861 3785,50 49,0 1,4646,5,[1 0],1612826418.097,Mon Feb 08 2021 18:20:18 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,0,17,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,916 3836,49 51,0 1,4752,5,[1 0],1612826428.72,Mon Feb 08 2021 18:20:28 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,0,18,train,1,[1 0],[0 1],1 2 3,3,-1 2,[];[3 2],0 2,799 212 2859,51 116 50,1 2,3870,2,[1 0],1612826438.462,Mon Feb 08 2021 18:20:38 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,0,19,train,1,[0 1],[1 0],1 2 3,3,1 1,[0 2];[0 3],0 0,657 3537,50 49,0 1,4194,0,[1 0],1612826448.511,Mon Feb 08 2021 18:20:48 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,0,0,test,1,[1 1],[1 1],1 2 3,3,2 2,[1 0];[3 2],1 5,743 3497,49 50,0 1,4240,6,[1 0],1612826458.637,Mon Feb 08 2021 18:20:58 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,1,0,train,1,[1 0],[0 1],1 2 3,3,2 1,[1 0];[0 3],0 3,688 3709,50 49,0 1,4397,3,[1 0],1612826472.885,Mon Feb 08 2021 18:21:12 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,1,1,train,1,[0 1],[1 0],1 2 3,3,2 1,[1 0];[0 3],1 0,746 3528,50 49,0 1,4274,1,[1 0],1612826483.004,Mon Feb 08 2021 18:21:23 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,1,2,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,680 71 3584,51 50 50,1 2,4335,4,[1 0],1612826493.219,Mon Feb 08 2021 18:21:33 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,1,3,train,1,[0 1],[1 0],1 2 3,3,1 2,[0 2];[3 2],0 3,635 3580,49 50,0 1,4215,3,[1 0],1612826503.315,Mon Feb 08 2021 18:21:43 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,1,4,train,1,[0 1],[1 0],1 2 3,3,1 2,[0 2];[3 2],0 3,702 3642,49 50,0 1,4344,3,[1 0],1612826513.523,Mon Feb 08 2021 18:21:53 GMT-0500 (Eastern Standard Time),0
A,A2VAL2BRKVSUB5,1129890863882,1,5,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,629 3678,50 50,0 1,4307,4,[1 0],1612826523.683,Mon Feb 08 2021 18:22:03 GMT-0500 (Eastern Standard Time),0
