group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3FOKP72T5I4FR,1381418618643,0,0,train,1,[0 1],[1 0],1 2 3,3,-1 2,[];[3 2],0 3,1016 2668,116 97,0 1,3684,3,[1 0],1613153994.299,Fri Feb 12 2021 13:19:54 GMT-0500 (Eastern Standard Time),0
A,A3FOKP72T5I4FR,1381418618643,0,1,train,1,[0 1],[1 0],1 2 3,3,1 2,[0 2];[3 2],0 3,465 3452,98 97,0 1,3917,3,[1 0],1613154004.034,Fri Feb 12 2021 13:20:04 GMT-0500 (Eastern Standard Time),0
A,A3FOKP72T5I4FR,1381418618643,0,2,train,1,[1 0],[0 1],1 2 3,3,2 -1,[1 0];[],0 0,465 3810,97 116,0 1,4275,0,[1 0],1613154013.366,Fri Feb 12 2021 13:20:13 GMT-0500 (Eastern Standard Time),0
A,A3FOKP72T5I4FR,1381418618643,0,3,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,367 3516,97 97,0 1,3883,4,[1 0],1613154023.063,Fri Feb 12 2021 13:20:23 GMT-0500 (Eastern Standard Time),0
A,A3FOKP72T5I4FR,1381418618643,0,4,train,1,[0 1],[1 0],1 2 3,3,2 -1,[1 0];[],1 0,356 3800,97 116,0 1,4156,1,[1 0],1613154032.267,Fri Feb 12 2021 13:20:32 GMT-0500 (Eastern Standard Time),0
A,A3FOKP72T5I4FR,1381418618643,0,5,train,1,[1 0],[0 1],1 2 3,3,2 2,[1 0];[3 2],0 2,483 3405,97 97,0 1,3888,2,[1 0],1613154041.969,Fri Feb 12 2021 13:20:41 GMT-0500 (Eastern Standard Time),0
A,A3FOKP72T5I4FR,1381418618643,0,6,train,1,[1 0],[0 1],1 2 3,3,2 2,[1 0];[3 2],0 2,433 3291,97 97,0 1,3724,2,[1 0],1613154051.524,Fri Feb 12 2021 13:20:51 GMT-0500 (Eastern Standard Time),0
A,A3FOKP72T5I4FR,1381418618643,0,7,train,1,[0 1],[1 0],1 2 3,3,1 1,[0 2];[0 3],0 0,448 3339,98 99,0 1,3787,0,[1 0],1613154061.123,Fri Feb 12 2021 13:21:01 GMT-0500 (Eastern Standard Time),0
A,A3FOKP72T5I4FR,1381418618643,0,8,train,1,[1 0],[0 1],1 2 3,3,2 2,[1 0];[3 2],0 2,532 3382,97 97,0 1,3914,2,[1 0],1613154070.873,Fri Feb 12 2021 13:21:10 GMT-0500 (Eastern Standard Time),0
A,A3FOKP72T5I4FR,1381418618643,0,9,train,1,[1 0],[0 1],1 2 3,3,1 3,[0 2];[4 0],2 0,468 3273,98 98,0 1,3741,2,[1 0],1613154080.449,Fri Feb 12 2021 13:21:20 GMT-0500 (Eastern Standard Time),0
