group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3G5OWGKHW6OL5,1923440816831,0,0,train,1,[1 0],[1 0],1 2 3,3,-1 2,[];[2 3],0 2,1000 2968,116 97,0 1,3968,2,[0 1],1612851943.326,Tue Feb 09 2021 00:25:43 GMT-0600 (Central Standard Time),0
A,A3G5OWGKHW6OL5,1923440816831,0,1,train,1,[0 1],[0 1],1 2 3,3,2 -1,[0 1];[],1 0,701 3761,98 116,0 1,4462,1,[0 1],1612851952.802,Tue Feb 09 2021 00:25:52 GMT-0600 (Central Standard Time),0
A,A3G5OWGKHW6OL5,1923440816831,0,2,train,1,[0 1],[0 1],1 2 3,3,1 3,[2 0];[0 4],0 4,382 3296,97 99,0 1,3678,4,[0 1],1612851962.242,Tue Feb 09 2021 00:26:02 GMT-0600 (Central Standard Time),0
A,A3G5OWGKHW6OL5,1923440816831,0,3,train,1,[0 1],[0 1],1 2 3,3,2 1,[0 1];[3 0],1 0,269 607 3512,99 98 98,1 2,4388,1,[0 1],1612851972.394,Tue Feb 09 2021 00:26:12 GMT-0600 (Central Standard Time),0
A,A3G5OWGKHW6OL5,1923440816831,0,4,train,1,[1 0],[1 0],1 2 3,3,1 -1,[2 0];[],2 0,568 3755,97 116,0 1,4323,2,[0 1],1612851981.725,Tue Feb 09 2021 00:26:21 GMT-0600 (Central Standard Time),0
A,A3G5OWGKHW6OL5,1923440816831,0,5,train,1,[0 1],[0 1],1 2 3,3,2 1,[0 1];[3 0],1 0,547 3329,98 98,0 1,3876,1,[0 1],1612851991.363,Tue Feb 09 2021 00:26:31 GMT-0600 (Central Standard Time),0
A,A3G5OWGKHW6OL5,1923440816831,0,6,train,1,[1 0],[1 0],1 2 3,3,1 3,[2 0];[0 4],2 0,390 3528,97 99,0 1,3918,2,[0 1],1612852001.042,Tue Feb 09 2021 00:26:41 GMT-0600 (Central Standard Time),0
A,A3G5OWGKHW6OL5,1923440816831,0,7,train,1,[1 0],[1 0],1 2 3,3,1 1,[2 0];[3 0],2 3,294 3311,97 98,0 1,3605,5,[0 1],1612852010.41,Tue Feb 09 2021 00:26:50 GMT-0600 (Central Standard Time),0
A,A3G5OWGKHW6OL5,1923440816831,0,8,train,1,[0 1],[0 1],1 2 3,3,1 3,[2 0];[0 4],0 4,447 352 3377,100 97 99,1 2,4176,4,[0 1],1612852020.347,Tue Feb 09 2021 00:27:00 GMT-0600 (Central Standard Time),0
A,A3G5OWGKHW6OL5,1923440816831,0,9,train,1,[1 0],[1 0],1 2 3,3,2 2,[0 1];[2 3],0 2,324 3337,98 97,0 1,3661,2,[0 1],1612852029.769,Tue Feb 09 2021 00:27:09 GMT-0600 (Central Standard Time),0
