group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3KH1OG87C8DCM,1659814567133,0,0,train,1,[1 0],[0 1],1 2 3,3,-1 2,[];[3 2],0 2,1001 2655,116 49,0 1,3656,2,[1 0],1612840593.06,Mon Feb 08 2021 19:16:33 GMT-0800 (Pacific Standard Time),0
A,A3KH1OG87C8DCM,1659814567133,0,1,train,1,[0 1],[1 0],1 2 3,3,1 3,[0 2];[4 0],0 4,486 3416,50 50,0 1,3902,4,[1 0],1612840602.845,Mon Feb 08 2021 19:16:42 GMT-0800 (Pacific Standard Time),0
A,A3KH1OG87C8DCM,1659814567133,0,2,train,1,[0 1],[1 0],1 2 3,3,2 2,[1 0];[3 2],1 3,396 3433,49 49,0 1,3829,4,[1 0],1612840612.521,Mon Feb 08 2021 19:16:52 GMT-0800 (Pacific Standard Time),0
A,A3KH1OG87C8DCM,1659814567133,0,3,train,1,[1 0],[0 1],1 2 3,3,2 3,[1 0];[4 0],0 0,339 3528,49 50,0 1,3867,0,[1 0],1612840622.238,Mon Feb 08 2021 19:17:02 GMT-0800 (Pacific Standard Time),0
A,A3KH1OG87C8DCM,1659814567133,0,4,train,1,[0 1],[1 0],1 2 3,3,1 3,[0 2];[4 0],0 4,552 3408,50 50,0 1,3960,4,[1 0],1612840632.079,Mon Feb 08 2021 19:17:12 GMT-0800 (Pacific Standard Time),0
A,A3KH1OG87C8DCM,1659814567133,0,5,train,1,[1 0],[0 1],1 2 3,3,1 2,[0 2];[3 2],2 2,629 3536,50 49,0 1,4165,4,[1 0],1612840642.114,Mon Feb 08 2021 19:17:22 GMT-0800 (Pacific Standard Time),0
A,A3KH1OG87C8DCM,1659814567133,0,6,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,420 3352,50 51,0 1,3772,5,[1 0],1612840651.714,Mon Feb 08 2021 19:17:31 GMT-0800 (Pacific Standard Time),0
A,A3KH1OG87C8DCM,1659814567133,0,7,train,1,[1 0],[0 1],1 2 3,3,1 2,[0 2];[3 2],2 2,517 3288,50 49,0 1,3805,4,[1 0],1612840661.35,Mon Feb 08 2021 19:17:41 GMT-0800 (Pacific Standard Time),0
A,A3KH1OG87C8DCM,1659814567133,0,8,train,1,[1 0],[0 1],1 2 3,3,2 1,[1 0];[0 3],0 3,452 3415,49 51,0 1,3867,3,[1 0],1612840671.025,Mon Feb 08 2021 19:17:51 GMT-0800 (Pacific Standard Time),0
A,A3KH1OG87C8DCM,1659814567133,0,9,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,632 3344,50 51,0 1,3976,5,[1 0],1612840680.811,Mon Feb 08 2021 19:18:00 GMT-0800 (Pacific Standard Time),0
A,A3KH1OG87C8DCM,1659814567133,0,10,train,1,[0 1],[1 0],1 2 3,3,1 3,[0 2];[4 0],0 4,378 3335,50 50,0 1,3713,4,[1 0],1612840690.445,Mon Feb 08 2021 19:18:10 GMT-0800 (Pacific Standard Time),0
A,A3KH1OG87C8DCM,1659814567133,0,11,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,481 3193,49 50,0 1,3674,5,[1 0],1612840699.946,Mon Feb 08 2021 19:18:19 GMT-0800 (Pacific Standard Time),0
A,A3KH1OG87C8DCM,1659814567133,0,12,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,399 3232,49 50,0 1,3631,5,[1 0],1612840709.462,Mon Feb 08 2021 19:18:29 GMT-0800 (Pacific Standard Time),0
A,A3KH1OG87C8DCM,1659814567133,0,13,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,434 3247,49 50,0 1,3681,5,[1 0],1612840719.025,Mon Feb 08 2021 19:18:39 GMT-0800 (Pacific Standard Time),0
A,A3KH1OG87C8DCM,1659814567133,0,14,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,383 3242,49 50,0 1,3625,5,[1 0],1612840728.538,Mon Feb 08 2021 19:18:48 GMT-0800 (Pacific Standard Time),0
A,A3KH1OG87C8DCM,1659814567133,0,15,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,402 3232,50 51,0 1,3634,5,[1 0],1612840738.007,Mon Feb 08 2021 19:18:58 GMT-0800 (Pacific Standard Time),0
A,A3KH1OG87C8DCM,1659814567133,0,16,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[0 3],2 3,400 3266,50 51,0 1,3666,5,[1 0],1612840747.478,Mon Feb 08 2021 19:19:07 GMT-0800 (Pacific Standard Time),0
A,A3KH1OG87C8DCM,1659814567133,0,17,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,361 3224,49 50,0 1,3585,5,[1 0],1612840756.988,Mon Feb 08 2021 19:19:16 GMT-0800 (Pacific Standard Time),0
A,A3KH1OG87C8DCM,1659814567133,0,18,train,1,[0 1],[1 0],1 2 3,3,2 3,[1 0];[4 0],1 4,331 3202,49 50,0 1,3533,5,[1 0],1612840766.395,Mon Feb 08 2021 19:19:26 GMT-0800 (Pacific Standard Time),0
