group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,,1603844895466,0,0,train,1,[0 1],[1 0],1 2 3,3,-1 3,[];[4 0],0 4,1004 2800,116 49,0 1,3804,4,[1 0],1612825482.992,Mon Feb 08 2021 18:04:42 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,0,1,train,1,[1 0],[0 1],1 2 3,3,1 -1,[0 2];[],2 0,703 3762,50 116,0 1,4465,2,[1 0],1612825492.474,Mon Feb 08 2021 18:04:52 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,0,2,train,1,[1 0],[0 1],1 2 3,3,-1 1,[];[0 3],0 3,1004 2813,116 50,0 1,3817,3,[1 0],1612825502.057,Mon Feb 08 2021 18:05:02 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,0,3,train,1,[1 0],[0 1],1 2 3,3,-1 -1,[];[],0 0,798 203 3011,51 116 116,1 2,4012,0,[1 0],1612825511.085,Mon Feb 08 2021 18:05:11 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,0,4,train,1,[0 1],[1 0],1 2 3,3,1 -1,[0 2];[],0 0,1002 3764,50 116,0 1,4766,0,[1 0],1612825520.868,Mon Feb 08 2021 18:05:20 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,0,5,train,1,[1 0],[0 1],1 2 3,3,2 -1,[1 0];[],0 0,988 3761,49 116,0 1,4749,0,[1 0],1612825530.631,Mon Feb 08 2021 18:05:30 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,0,6,train,1,[1 0],[0 1],1 2 3,3,-1 -1,[];[],0 0,1005 3013,116 116,0 1,4018,0,[1 0],1612825539.939,Mon Feb 08 2021 18:05:39 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,0,7,train,1,[1 0],[0 1],1 2 3,3,-1 -1,[];[],0 0,1981 4810,116 116,0 1,6791,0,[1 0],1612825553.128,Mon Feb 08 2021 18:05:53 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,0,8,train,1,[0 1],[1 0],1 2 3,3,-1 -1,[];[],0 0,1493 4521,116 116,0 1,6014,0,[1 0],1612825565.218,Mon Feb 08 2021 18:06:05 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,0,9,train,1,[1 0],[0 1],1 2 3,3,-1 -1,[];[],0 0,1184 4954,116 116,0 1,6138,0,[1 0],1612825577.107,Mon Feb 08 2021 18:06:17 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,0,10,train,1,[0 1],[1 0],1 2 3,3,-1 -1,[];[],0 0,1007 5082,116 116,0 1,6089,0,[1 0],1612825589.232,Mon Feb 08 2021 18:06:29 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,0,11,train,1,[0 1],[1 0],1 2 3,3,-1 -1,[];[],0 0,1490 3610,116 116,0 1,5100,0,[1 0],1612825600.164,Mon Feb 08 2021 18:06:40 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,0,12,train,1,[1 0],[0 1],1 2 3,3,-1 -1,[];[],0 0,1118 4934,116 116,0 1,6052,0,[1 0],1612825612.93,Mon Feb 08 2021 18:06:52 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,0,13,train,1,[0 1],[1 0],1 2 3,3,-1 -1,[];[],0 0,1636 4011,116 116,0 1,5647,0,[1 0],1612825624.125,Mon Feb 08 2021 18:07:04 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,0,14,train,1,[0 1],[1 0],1 2 3,3,-1 -1,[];[],0 0,1278 4582,116 116,0 1,5860,0,[1 0],1612825636.254,Mon Feb 08 2021 18:07:16 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,0,15,train,1,[1 0],[0 1],1 2 3,3,-1 -1,[];[],0 0,1914 4745,116 116,0 1,6659,0,[1 0],1612825649.104,Mon Feb 08 2021 18:07:29 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,0,16,train,1,[1 0],[0 1],1 2 3,3,-1 -1,[];[],0 0,1205 4600,116 116,0 1,5805,0,[1 0],1612825662.112,Mon Feb 08 2021 18:07:42 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,0,17,train,1,[0 1],[1 0],1 2 3,3,-1 -1,[];[],0 0,1864 3984,116 116,0 1,5848,0,[1 0],1612825674.913,Mon Feb 08 2021 18:07:54 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,0,18,train,1,[0 1],[1 0],1 2 3,3,-1 -1,[];[],0 0,1500 4013,116 116,0 1,5513,0,[1 0],1612825687.964,Mon Feb 08 2021 18:08:07 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,0,19,train,1,[0 1],[1 0],1 2 3,3,-1 -1,[];[],0 0,1731 4054,116 116,0 1,5785,0,[1 0],1612825699.262,Mon Feb 08 2021 18:08:19 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,0,0,test,1,[1 1],[1 1],1 2 3,3,-1 -1,[];[],0 0,1000 4016,116 116,0 1,5016,0,[1 0],1612825710.282,Mon Feb 08 2021 18:08:30 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,1,0,train,1,[1 0],[1 0],1 2 3,3,-1 -1,[];[],0 0,1348 4713,116 116,0 1,6061,0,[0 1],1612825727.273,Mon Feb 08 2021 18:08:47 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,1,1,train,1,[1 0],[1 0],1 2 3,3,-1 -1,[];[],0 0,1620 5071,116 116,0 1,6691,0,[0 1],1612825741.195,Mon Feb 08 2021 18:09:01 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,1,2,train,1,[1 0],[1 0],1 2 3,3,-1 -1,[];[],0 0,1913 4698,116 116,0 1,6611,0,[0 1],1612825754.225,Mon Feb 08 2021 18:09:14 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,1,3,train,1,[1 0],[1 0],1 2 3,3,-1 -1,[];[],0 0,1557 4000,116 116,0 1,5557,0,[0 1],1612825765.962,Mon Feb 08 2021 18:09:25 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,1,4,train,1,[0 1],[0 1],1 2 3,3,-1 -1,[];[],0 0,1143 4641,116 116,0 1,5784,0,[0 1],1612825777.057,Mon Feb 08 2021 18:09:37 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,1,5,train,1,[0 1],[0 1],1 2 3,3,-1 -1,[];[],0 0,2163 4622,116 116,0 1,6785,0,[0 1],1612825790.262,Mon Feb 08 2021 18:09:50 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,1,6,train,1,[1 0],[1 0],1 2 3,3,-1 -1,[];[],0 0,1489 4538,116 116,0 1,6027,0,[0 1],1612825801.989,Mon Feb 08 2021 18:10:01 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,1,7,train,1,[0 1],[0 1],1 2 3,3,-1 -1,[];[],0 0,1183 4640,116 116,0 1,5823,0,[0 1],1612825813.103,Mon Feb 08 2021 18:10:13 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,1,8,train,1,[0 1],[0 1],1 2 3,3,-1 -1,[];[],0 0,1844 3956,116 116,0 1,5800,0,[0 1],1612825823.964,Mon Feb 08 2021 18:10:23 GMT-0500 (Eastern Standard Time),0
A,,1603844895466,1,9,train,1,[0 1],[0 1],1 2 3,3,-1 -1,[];[],0 0,1121 4707,116 116,0 1,5828,0,[0 1],1612825835.217,Mon Feb 08 2021 18:10:35 GMT-0500 (Eastern Standard Time),0
