group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A13WTEQ06V3B6D,1533291727792,0,0,train,1,[0 1],[1 0],1 2 3,3,4 3,[2 0];[4 4],2 4,1181 5240,32 74,0 1,6421,6,[1 0],1613343345.271,Sun Feb 14 2021 17:55:45 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,1,train,1,[0 1],[1 0],1 2 3,3,5 4,[1 0];[6 1],1 6,472 4598,74 75,0 1,5070,7,[1 0],1613343357.155,Sun Feb 14 2021 17:55:57 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,2,train,1,[1 0],[0 1],1 2 3,3,2 1,[0 3];[2 3],3 3,532 4548,76 186,0 1,5080,6,[1 0],1613343369.05,Sun Feb 14 2021 17:56:09 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,3,train,1,[1 0],[0 1],1 2 3,3,4 3,[2 0];[4 4],0 4,371 4324,32 74,0 1,4695,4,[1 0],1613343380.561,Sun Feb 14 2021 17:56:20 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,4,train,1,[1 0],[0 1],1 2 3,3,3 2,[1 1];[1 5],1 5,346 4406,75 76,0 1,4752,6,[1 0],1613343392.115,Sun Feb 14 2021 17:56:32 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,5,train,1,[0 1],[1 0],1 2 3,3,1 5,[0 2];[4 1],0 4,512 4089,186 32,0 1,4601,4,[1 0],1613343403.498,Sun Feb 14 2021 17:56:43 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,6,train,1,[0 1],[1 0],1 2 3,3,5 3,[1 0];[4 4],1 4,399 4056,74 74,0 1,4455,5,[1 0],1613343414.752,Sun Feb 14 2021 17:56:54 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,7,train,1,[1 0],[0 1],1 2 3,3,5 3,[1 0];[4 4],0 4,329 4138,74 74,0 1,4467,4,[1 0],1613343426.025,Sun Feb 14 2021 17:57:06 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,8,train,1,[1 0],[0 1],1 2 3,3,1 5,[0 2];[4 1],2 1,319 4417,186 32,0 1,4736,3,[1 0],1613343437.565,Sun Feb 14 2021 17:57:17 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,9,train,1,[0 1],[1 0],1 2 3,3,1 3,[0 2];[4 4],0 4,363 4076,186 74,0 1,4439,4,[1 0],1613343448.809,Sun Feb 14 2021 17:57:28 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,10,train,1,[1 0],[0 1],1 2 3,3,4 2,[2 0];[1 5],0 5,281 4294,32 76,0 1,4575,5,[1 0],1613343460.19,Sun Feb 14 2021 17:57:40 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,11,train,1,[1 0],[0 1],1 2 3,3,1 3,[0 2];[4 4],2 4,396 4166 679,186 72 74,0 2,5241,6,[1 0],1613343472.246,Sun Feb 14 2021 17:57:52 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,12,train,1,[0 1],[1 0],1 2 3,3,4 1,[2 0];[2 3],2 2,376 4200,32 186,0 1,4576,4,[1 0],1613343483.626,Sun Feb 14 2021 17:58:03 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,13,train,1,[1 0],[0 1],1 2 3,3,3 2,[1 1];[1 5],1 5,297 4122,75 76,0 1,4419,6,[1 0],1613343494.866,Sun Feb 14 2021 17:58:14 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,14,train,1,[0 1],[1 0],1 2 3,3,4 1,[2 0];[2 3],2 2,277 4620,32 186,0 1,4897,4,[1 0],1613343506.554,Sun Feb 14 2021 17:58:26 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,15,train,1,[1 0],[0 1],1 2 3,3,3 2,[1 1];[1 5],1 5,531 4136,75 76,0 1,4667,6,[1 0],1613343518.056,Sun Feb 14 2021 17:58:38 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,16,train,1,[0 1],[1 0],1 2 3,3,4 3,[2 0];[4 4],2 4,437 4102,32 74,0 1,4539,6,[1 0],1613343529.415,Sun Feb 14 2021 17:58:49 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,17,train,1,[1 0],[0 1],1 2 3,3,2 2,[0 3];[1 5],3 5,447 4493,76 76,0 1,4940,8,[1 0],1613343541.156,Sun Feb 14 2021 17:59:01 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,18,train,1,[1 0],[0 1],1 2 3,3,1 1,[0 2];[2 3],2 3,214 4201,186 186,0 1,4415,5,[1 0],1613343552.378,Sun Feb 14 2021 17:59:12 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,19,train,1,[0 1],[1 0],1 2 3,3,5 3,[1 0];[4 4],1 4,559 4199,74 74,0 1,4758,5,[1 0],1613343563.933,Sun Feb 14 2021 17:59:23 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,20,train,1,[1 0],[0 1],1 2 3,3,4 2,[2 0];[1 5],0 5,529 4270,32 76,0 1,4799,5,[1 0],1613343575.541,Sun Feb 14 2021 17:59:35 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,21,train,1,[0 1],[1 0],1 2 3,3,5 3,[1 0];[4 4],1 4,417 4111,74 74,0 1,4528,5,[1 0],1613343586.866,Sun Feb 14 2021 17:59:46 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,22,train,1,[1 0],[0 1],1 2 3,3,4 5,[2 0];[4 1],0 1,410 4957,32 32,0 1,5367,1,[1 0],1613343599.037,Sun Feb 14 2021 17:59:59 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,23,train,1,[0 1],[1 0],1 2 3,3,1 1,[0 2];[2 3],0 2,20 4384,186 186,0 1,4404,2,[1 0],1613343610.237,Sun Feb 14 2021 18:00:10 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,24,train,1,[0 1],[1 0],1 2 3,3,2 3,[0 3];[4 4],0 4,358 4191,76 74,0 1,4549,4,[1 0],1613343621.583,Sun Feb 14 2021 18:00:21 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,25,train,1,[1 0],[0 1],1 2 3,3,2 1,[0 3];[2 3],3 3,451 4445,76 186,0 1,4896,6,[1 0],1613343633.274,Sun Feb 14 2021 18:00:33 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,26,train,1,[1 0],[0 1],1 2 3,3,4 -1,[2 0];[],0 0,389 17 4429 706 508 147,78 32 78 78 77 116,1 5,6196,0,[1 0],1613343645.494,Sun Feb 14 2021 18:00:45 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,27,train,1,[0 1],[1 0],1 2 3,3,4 1,[2 0];[2 3],2 2,303 4209,32 186,0 1,4512,4,[1 0],1613343656.797,Sun Feb 14 2021 18:00:56 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,28,train,1,[0 1],[1 0],1 2 3,3,5 1,[1 0];[2 3],1 2,327 4292,74 186,0 1,4619,3,[1 0],1613343668.209,Sun Feb 14 2021 18:01:08 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,29,train,1,[1 0],[0 1],1 2 3,3,4 4,[2 0];[6 1],0 1,366 4872,32 75,0 1,5238,1,[1 0],1613343680.24,Sun Feb 14 2021 18:01:20 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,30,train,1,[0 1],[1 0],1 2 3,3,3 3,[1 1];[4 4],1 4,466 4387,75 74,0 1,4853,5,[1 0],1613343691.891,Sun Feb 14 2021 18:01:31 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,31,train,1,[0 1],[1 0],1 2 3,3,1 2,[0 2];[1 5],0 1,334 4249,186 76,0 1,4583,1,[1 0],1613343703.282,Sun Feb 14 2021 18:01:43 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,32,train,1,[1 0],[0 1],1 2 3,3,3 4,[1 1];[6 1],1 1,394 4458,75 75,0 1,4852,2,[1 0],1613343714.917,Sun Feb 14 2021 18:01:54 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,33,train,1,[1 0],[0 1],1 2 3,3,4 3,[2 0];[4 4],0 4,414 4343,32 74,0 1,4757,4,[1 0],1613343726.473,Sun Feb 14 2021 18:02:06 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,34,train,1,[1 0],[0 1],1 2 3,3,5 4,[1 0];[6 1],0 1,424 4229,74 75,0 1,4653,1,[1 0],1613343737.918,Sun Feb 14 2021 18:02:17 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,35,train,1,[0 1],[1 0],1 2 3,3,1 1,[0 2];[2 3],0 2,387 4442,186 186,0 1,4829,2,[1 0],1613343749.562,Sun Feb 14 2021 18:02:29 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,36,train,1,[0 1],[1 0],1 2 3,3,4 3,[2 0];[4 4],2 4,419 4236,32 74,0 1,4655,6,[1 0],1613343761.015,Sun Feb 14 2021 18:02:41 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,37,train,1,[1 0],[0 1],1 2 3,3,3 2,[1 1];[1 5],1 5,364 4072,75 76,0 1,4436,6,[1 0],1613343772.281,Sun Feb 14 2021 18:02:52 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,38,train,1,[0 1],[1 0],1 2 3,3,4 4,[2 0];[6 1],2 6,543 4441,32 75,0 1,4984,8,[1 0],1613343784.07,Sun Feb 14 2021 18:03:04 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,39,train,1,[0 1],[1 0],1 2 3,3,1 3,[0 2];[4 4],0 4,537 4230,186 74,0 1,4767,4,[1 0],1613343795.655,Sun Feb 14 2021 18:03:15 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,0,0,test,1,[1 1],[1 1],1 2 3,3,3 2,[1 1];[1 5],2 6,345 4262,75 76,0 1,4607,8,[1 0],1613343807.096,Sun Feb 14 2021 18:03:27 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,1,0,train,1,[0 1],[1 0],1 2 3,3,3 3,[1 1];[4 4],1 4,451 4541,74 32,0 1,4992,5,[1 0],1613343822.869,Sun Feb 14 2021 18:03:42 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,1,1,train,1,[0 1],[1 0],1 2 3,3,1 1,[0 2];[2 3],0 2,508 4326,186 75,0 1,4834,2,[1 0],1613343834.491,Sun Feb 14 2021 18:03:54 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,1,2,train,1,[1 0],[0 1],1 2 3,3,3 4,[1 1];[6 1],1 1,447 4119,74 186,0 1,4566,2,[1 0],1613343845.831,Sun Feb 14 2021 18:04:05 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,1,3,train,1,[0 1],[1 0],1 2 3,3,5 1,[1 0];[2 3],1 2,410 4088,32 75,0 1,4498,3,[1 0],1613343857.105,Sun Feb 14 2021 18:04:17 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,1,4,train,1,[0 1],[1 0],1 2 3,3,2 1,[0 3];[2 3],0 2,349 4109,76 75,0 1,4458,2,[1 0],1613343868.347,Sun Feb 14 2021 18:04:28 GMT-0500 (Eastern Standard Time),0
A,A13WTEQ06V3B6D,1533291727792,1,5,train,1,[0 1],[1 0],1 2 3,3,5 1,[1 0];[2 3],1 2,500 4324,32 75,0 1,4824,3,[1 0],1613343879.946,Sun Feb 14 2021 18:04:39 GMT-0500 (Eastern Standard Time),0
