group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A28T38MOUG43YD,1272503085703,0,0,train,1,[0 1],[0 1],1 2 3,3,4 4,[0 2];[1 6],2 6,454 4240,76 75,0 1,4694,8,[0 1],1613411961.473,Mon Feb 15 2021 11:59:21 GMT-0600 (Central Standard Time),0
A,A28T38MOUG43YD,1272503085703,0,1,train,1,[1 0],[1 0],1 2 3,3,2 3,[3 0];[4 4],3 4,410 3953,74 32,0 1,4363,7,[0 1],1613411972.627,Mon Feb 15 2021 11:59:32 GMT-0600 (Central Standard Time),0
A,A28T38MOUG43YD,1272503085703,0,2,train,1,[1 0],[1 0],1 2 3,3,1 2,[2 0];[5 1],2 5,444 4290,75 74,0 1,4734,7,[0 1],1613411984.145,Mon Feb 15 2021 11:59:44 GMT-0600 (Central Standard Time),0
A,A28T38MOUG43YD,1272503085703,0,3,train,1,[0 1],[0 1],1 2 3,3,3 5,[1 1];[1 4],1 4,309 3792,186 76,0 1,4101,5,[0 1],1613411995.024,Mon Feb 15 2021 11:59:55 GMT-0600 (Central Standard Time),0
A,A28T38MOUG43YD,1272503085703,0,4,train,1,[1 0],[1 0],1 2 3,3,2 3,[3 0];[4 4],3 4,269 3936,74 32,0 1,4205,7,[0 1],1613412006.008,Mon Feb 15 2021 12:00:06 GMT-0600 (Central Standard Time),0
A,A28T38MOUG43YD,1272503085703,0,5,train,1,[0 1],[0 1],1 2 3,3,1 5,[2 0];[1 4],0 4,295 3857,75 76,0 1,4152,4,[0 1],1613412016.929,Mon Feb 15 2021 12:00:16 GMT-0600 (Central Standard Time),0
A,A28T38MOUG43YD,1272503085703,0,6,train,1,[0 1],[0 1],1 2 3,3,4 5,[0 2];[1 4],2 4,53 3929,76 76,0 1,3982,6,[0 1],1613412027.687,Mon Feb 15 2021 12:00:27 GMT-0600 (Central Standard Time),0
A,A28T38MOUG43YD,1272503085703,0,7,train,1,[0 1],[0 1],1 2 3,3,5 1,[0 1];[3 2],1 2,82 3807,32 186,0 1,3889,3,[0 1],1613412038.35,Mon Feb 15 2021 12:00:38 GMT-0600 (Central Standard Time),0
A,A28T38MOUG43YD,1272503085703,0,8,train,1,[0 1],[0 1],1 2 3,3,1 1,[2 0];[3 2],0 2,1696 304 4120,70 75 186,1 2,6120,2,[0 1],1613412051.246,Mon Feb 15 2021 12:00:51 GMT-0600 (Central Standard Time),0
A,A28T38MOUG43YD,1272503085703,0,9,train,1,[0 1],[0 1],1 2 3,3,4 3,[0 2];[4 4],2 4,561 4425,76 32,0 1,4986,6,[0 1],1613412063.004,Mon Feb 15 2021 12:01:03 GMT-0600 (Central Standard Time),0
A,A28T38MOUG43YD,1272503085703,0,10,train,1,[1 0],[1 0],1 2 3,3,3 4,[1 1];[1 6],1 1,304 3849,186 75,0 1,4153,2,[0 1],1613412073.925,Mon Feb 15 2021 12:01:13 GMT-0600 (Central Standard Time),0
A,A28T38MOUG43YD,1272503085703,0,11,train,1,[1 0],[1 0],1 2 3,3,2 1,[3 0];[3 2],3 3,452 3879,74 186,0 1,4331,6,[0 1],1613412085.026,Mon Feb 15 2021 12:01:25 GMT-0600 (Central Standard Time),0
