group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2APG8MSLJ6G2K,1110002947328,0,0,train,1,[0 1],[0 1],1 2 3,3,-1 2,[];[5 1],0 1,2009 4037,116 75,0 1,6046,1,[0 1],1613402856.101,Mon Feb 15 2021 10:27:36 GMT-0500 (Eastern Standard Time),0
A,A2APG8MSLJ6G2K,1110002947328,0,1,train,1,[1 0],[1 0],1 2 3,3,2 -1,[3 0];[],3 0,1411 5776,76 116,0 1,7187,3,[0 1],1613402869.314,Mon Feb 15 2021 10:27:49 GMT-0500 (Eastern Standard Time),0
A,A2APG8MSLJ6G2K,1110002947328,0,2,train,1,[0 1],[0 1],1 2 3,3,4 -1,[0 2];[],2 0,1569 5797,32 116,0 1,7366,2,[0 1],1613402882.717,Mon Feb 15 2021 10:28:02 GMT-0500 (Eastern Standard Time),0
A,A2APG8MSLJ6G2K,1110002947328,0,3,train,1,[0 1],[0 1],1 2 3,3,4 2,[0 2];[5 1],2 1,523 4791,32 75,0 1,5314,3,[0 1],1613402894.808,Mon Feb 15 2021 10:28:14 GMT-0500 (Eastern Standard Time),0
A,A2APG8MSLJ6G2K,1110002947328,0,4,train,1,[1 0],[1 0],1 2 3,3,5 2,[0 1];[5 1],0 5,618 5455,75 75,0 1,6073,5,[0 1],1613402907.689,Mon Feb 15 2021 10:28:27 GMT-0500 (Eastern Standard Time),0
A,A2APG8MSLJ6G2K,1110002947328,0,5,train,1,[1 0],[1 0],1 2 3,3,3 2,[1 1];[5 1],1 5,939 4968,74 75,0 1,5907,6,[0 1],1613402920.39,Mon Feb 15 2021 10:28:40 GMT-0500 (Eastern Standard Time),0
A,A2APG8MSLJ6G2K,1110002947328,0,6,train,1,[0 1],[0 1],1 2 3,3,1 2,[2 0];[5 1],0 1,946 4544,186 75,0 1,5490,1,[0 1],1613402932.674,Mon Feb 15 2021 10:28:52 GMT-0500 (Eastern Standard Time),0
A,A2APG8MSLJ6G2K,1110002947328,0,7,train,1,[0 1],[0 1],1 2 3,3,2 -1,[3 0];[],0 0,1395 5804,76 116,0 1,7199,0,[0 1],1613402945.9,Mon Feb 15 2021 10:29:05 GMT-0500 (Eastern Standard Time),0
A,A2APG8MSLJ6G2K,1110002947328,0,8,train,1,[1 0],[1 0],1 2 3,3,3 2,[1 1];[5 1],1 5,982 5080,74 75,0 1,6062,6,[0 1],1613402958.748,Mon Feb 15 2021 10:29:18 GMT-0500 (Eastern Standard Time),0
A,A2APG8MSLJ6G2K,1110002947328,0,9,train,1,[0 1],[0 1],1 2 3,3,3 -1,[1 1];[],1 0,1740 5786,74 116,0 1,7526,1,[0 1],1613402972.307,Mon Feb 15 2021 10:29:32 GMT-0500 (Eastern Standard Time),0
A,A2APG8MSLJ6G2K,1110002947328,0,10,train,1,[0 1],[0 1],1 2 3,3,4 2,[0 2];[5 1],2 1,390 5304,32 75,0 1,5694,3,[0 1],1613402984.797,Mon Feb 15 2021 10:29:44 GMT-0500 (Eastern Standard Time),0
A,A2APG8MSLJ6G2K,1110002947328,0,11,train,1,[0 1],[0 1],1 2 3,3,4 3,[0 2];[4 4],2 4,1252 5127,32 32,0 1,6379,6,[0 1],1613402997.963,Mon Feb 15 2021 10:29:57 GMT-0500 (Eastern Standard Time),0
A,A2APG8MSLJ6G2K,1110002947328,0,12,train,1,[1 0],[1 0],1 2 3,3,5 -1,[0 1];[],0 0,903 5791,75 116,0 1,6694,0,[0 1],1613403010.686,Mon Feb 15 2021 10:30:10 GMT-0500 (Eastern Standard Time),0
A,A2APG8MSLJ6G2K,1110002947328,0,13,train,1,[0 1],[0 1],1 2 3,3,4 3,[0 2];[4 4],2 4,627 5540,32 32,0 1,6167,6,[0 1],1613403023.644,Mon Feb 15 2021 10:30:23 GMT-0500 (Eastern Standard Time),0
A,A2APG8MSLJ6G2K,1110002947328,0,14,train,1,[1 0],[1 0],1 2 3,3,4 2,[0 2];[5 1],0 5,954 5008,32 75,0 1,5962,5,[0 1],1613403036.396,Mon Feb 15 2021 10:30:36 GMT-0500 (Eastern Standard Time),0
A,A2APG8MSLJ6G2K,1110002947328,0,15,train,1,[0 1],[0 1],1 2 3,3,4 3,[0 2];[4 4],2 4,446 5400,32 32,0 1,5846,6,[0 1],1613403049.029,Mon Feb 15 2021 10:30:49 GMT-0500 (Eastern Standard Time),0
A,A2APG8MSLJ6G2K,1110002947328,0,16,train,1,[0 1],[0 1],1 2 3,3,4 3,[0 2];[4 4],2 4,634 5584,32 32,0 1,6218,6,[0 1],1613403062.029,Mon Feb 15 2021 10:31:02 GMT-0500 (Eastern Standard Time),0
A,A2APG8MSLJ6G2K,1110002947328,0,17,train,1,[1 0],[1 0],1 2 3,3,5 2,[0 1];[5 1],0 5,561 5720,75 75,0 1,6281,5,[0 1],1613403075.106,Mon Feb 15 2021 10:31:15 GMT-0500 (Eastern Standard Time),0
A,A2APG8MSLJ6G2K,1110002947328,0,18,train,1,[0 1],[0 1],1 2 3,3,4 3,[0 2];[4 4],2 4,458 5235,32 32,0 1,5693,6,[0 1],1613403087.591,Mon Feb 15 2021 10:31:27 GMT-0500 (Eastern Standard Time),0
A,A2APG8MSLJ6G2K,1110002947328,0,19,train,1,[1 0],[1 0],1 2 3,3,5 2,[0 1];[5 1],0 5,576 4400,75 75,0 1,4976,5,[0 1],1613403099.353,Mon Feb 15 2021 10:31:39 GMT-0500 (Eastern Standard Time),0
A,A2APG8MSLJ6G2K,1110002947328,0,20,train,1,[1 0],[1 0],1 2 3,3,4 3,[0 2];[4 4],0 4,545 5271,32 32,0 1,5816,4,[0 1],1613403111.963,Mon Feb 15 2021 10:31:51 GMT-0500 (Eastern Standard Time),0
