group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A2OX8TSRCU6NKD,1125723718375,0,0,train,1,[0 1],[1 0],1 2 3,3,4 5,[2 0];[4 1],2 4,1988 5303,74 75,0 1,7291,6,[1 0],1613405532.492,Mon Feb 15 2021 09:12:12 GMT-0700 (Mountain Standard Time),0
A,A2OX8TSRCU6NKD,1125723718375,0,1,train,1,[0 1],[1 0],1 2 3,3,2 4,[0 3];[6 1],0 6,927 4728,75 76,0 1,5655,6,[1 0],1613405544.973,Mon Feb 15 2021 09:12:24 GMT-0700 (Mountain Standard Time),0
A,A2OX8TSRCU6NKD,1125723718375,0,2,train,1,[0 1],[1 0],1 2 3,3,2 3,[0 3];[4 4],0 4,1335 4440,75 74,0 1,5775,4,[1 0],1613405557.563,Mon Feb 15 2021 09:12:37 GMT-0700 (Mountain Standard Time),0
A,A2OX8TSRCU6NKD,1125723718375,0,3,train,1,[1 0],[0 1],1 2 3,3,2 -1,[0 3];[],3 0,433 5408 409,75 77 116,0 2,6250,3,[1 0],1613405569.854,Mon Feb 15 2021 09:12:49 GMT-0700 (Mountain Standard Time),0
A,A2OX8TSRCU6NKD,1125723718375,0,4,train,1,[1 0],[0 1],1 2 3,3,4 2,[2 0];[1 5],0 5,963 4856,74 32,0 1,5819,5,[1 0],1613405582.477,Mon Feb 15 2021 09:13:02 GMT-0700 (Mountain Standard Time),0
A,A2OX8TSRCU6NKD,1125723718375,0,5,train,1,[1 0],[0 1],1 2 3,3,1 5,[0 2];[4 1],2 1,811 4704,186 75,0 1,5515,3,[1 0],1613405594.798,Mon Feb 15 2021 09:13:14 GMT-0700 (Mountain Standard Time),0
A,A2OX8TSRCU6NKD,1125723718375,0,6,train,1,[0 1],[1 0],1 2 3,3,5 -1,[1 0];[],1 0,1017 5120 677,76 72 116,0 2,6814,1,[1 0],1613405607.658,Mon Feb 15 2021 09:13:27 GMT-0700 (Mountain Standard Time),0
A,A2OX8TSRCU6NKD,1125723718375,0,7,train,1,[1 0],[0 1],1 2 3,3,4 5,[2 0];[4 1],0 1,873 4879,74 75,0 1,5752,1,[1 0],1613405620.217,Mon Feb 15 2021 09:13:40 GMT-0700 (Mountain Standard Time),0
A,A2OX8TSRCU6NKD,1125723718375,0,8,train,1,[1 0],[0 1],1 2 3,3,3 4,[1 1];[6 1],1 1,672 4735,32 76,0 1,5407,2,[1 0],1613405632.424,Mon Feb 15 2021 09:13:52 GMT-0700 (Mountain Standard Time),0
A,A2OX8TSRCU6NKD,1125723718375,0,9,train,1,[0 1],[1 0],1 2 3,3,5 1,[1 0];[2 3],1 2,815 4432,76 186,0 1,5247,3,[1 0],1613405644.468,Mon Feb 15 2021 09:14:04 GMT-0700 (Mountain Standard Time),0
