group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A34SIGOLUGKIHJ,1883869485992,0,0,train,1,[1 0],[0 1],1 2 3,3,-1 3,[];[4 4],0 4,2000 4035,116 75,0 1,6035,4,[1 0],1613334493.512,Sun Feb 14 2021 14:28:13 GMT-0600 (Central Standard Time),0
A,A34SIGOLUGKIHJ,1883869485992,0,1,train,1,[1 0],[0 1],1 2 3,3,2 2,[0 3];[1 5],3 5,667 5344,76 76,0 1,6011,8,[1 0],1613334506.291,Sun Feb 14 2021 14:28:26 GMT-0600 (Central Standard Time),0
A,A34SIGOLUGKIHJ,1883869485992,0,2,train,1,[0 1],[1 0],1 2 3,3,4 -1,[2 0];[],2 0,1527 4528 1228,186 72 116,0 2,7283,2,[1 0],1613334519.581,Sun Feb 14 2021 14:28:39 GMT-0600 (Central Standard Time),0
A,A34SIGOLUGKIHJ,1883869485992,0,3,train,1,[0 1],[1 0],1 2 3,3,1 4,[0 2];[6 1],0 6,1467 4384,75 74,0 1,5851,6,[1 0],1613334532.194,Sun Feb 14 2021 14:28:52 GMT-0600 (Central Standard Time),0
A,A34SIGOLUGKIHJ,1883869485992,0,4,train,1,[0 1],[1 0],1 2 3,3,5 2,[1 0];[1 5],1 1,742 4383,74 76,0 1,5125,2,[1 0],1613334544.081,Sun Feb 14 2021 14:29:04 GMT-0600 (Central Standard Time),0
A,A34SIGOLUGKIHJ,1883869485992,0,5,train,1,[0 1],[1 0],1 2 3,3,4 1,[2 0];[2 3],2 2,647 5056,186 32,0 1,5703,4,[1 0],1613334556.543,Sun Feb 14 2021 14:29:16 GMT-0600 (Central Standard Time),0
A,A34SIGOLUGKIHJ,1883869485992,0,6,train,1,[0 1],[1 0],1 2 3,3,1 4,[0 2];[6 1],0 6,170 5312,75 74,0 1,5482,6,[1 0],1613334568.786,Sun Feb 14 2021 14:29:28 GMT-0600 (Central Standard Time),0
A,A34SIGOLUGKIHJ,1883869485992,0,7,train,1,[1 0],[0 1],1 2 3,3,5 3,[1 0];[4 4],0 4,535 4832 913,74 71 75,0 2,6280,4,[1 0],1613334581.826,Sun Feb 14 2021 14:29:41 GMT-0600 (Central Standard Time),0
A,A34SIGOLUGKIHJ,1883869485992,0,8,train,1,[1 0],[0 1],1 2 3,3,2 -1,[0 3];[],3 0,229 5757,76 116,0 1,5986,3,[1 0],1613334593.821,Sun Feb 14 2021 14:29:53 GMT-0600 (Central Standard Time),0
A,A34SIGOLUGKIHJ,1883869485992,0,9,train,1,[1 0],[0 1],1 2 3,3,1 2,[0 2];[1 5],2 5,826 4560,75 76,0 1,5386,7,[1 0],1613334605.968,Sun Feb 14 2021 14:30:05 GMT-0600 (Central Standard Time),0
