group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3B7TNVOISSZ2O,1214430833606,0,0,train,1,[0 1],[1 0],1 2 3,3,5 -1,[1 0];[],1 0,1250 5786,32 116,0 1,7036,1,[1 0],1613404919.835,Mon Feb 15 2021 10:01:59 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,1,train,1,[1 0],[0 1],1 2 3,3,5 1,[1 0];[2 3],0 3,997 5187,32 74,0 1,6184,3,[1 0],1613404932.814,Mon Feb 15 2021 10:02:12 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,2,train,1,[1 0],[0 1],1 2 3,3,1 4,[0 2];[6 1],2 1,1035 4535,74 75,0 1,5570,3,[1 0],1613404945.183,Mon Feb 15 2021 10:02:25 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,3,train,1,[0 1],[1 0],1 2 3,3,5 5,[1 0];[4 1],1 4,591 4354,32 76,0 1,4945,5,[1 0],1613404956.935,Mon Feb 15 2021 10:02:36 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,4,train,1,[0 1],[1 0],1 2 3,3,4 2,[2 0];[1 5],2 1,585 4621,186 186,0 1,5206,3,[1 0],1613404968.933,Mon Feb 15 2021 10:02:48 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,5,train,1,[0 1],[1 0],1 2 3,3,2 4,[0 3];[6 1],0 6,802 4758,76 75,0 1,5560,6,[1 0],1613404981.293,Mon Feb 15 2021 10:03:01 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,6,train,1,[1 0],[0 1],1 2 3,3,2 1,[0 3];[2 3],3 3,366 4725,76 74,0 1,5091,6,[1 0],1613404993.191,Mon Feb 15 2021 10:03:13 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,7,train,1,[0 1],[1 0],1 2 3,3,2 5,[0 3];[4 1],0 4,919 4830,76 76,0 1,5749,4,[1 0],1613405005.737,Mon Feb 15 2021 10:03:25 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,8,train,1,[0 1],[1 0],1 2 3,3,3 4,[1 1];[6 1],1 6,364 4736,75 75,0 1,5100,7,[1 0],1613405017.651,Mon Feb 15 2021 10:03:37 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,9,train,1,[1 0],[0 1],1 2 3,3,2 3,[0 3];[4 4],3 4,296 4254,76 32,0 1,4550,7,[1 0],1613405028.993,Mon Feb 15 2021 10:03:48 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,10,train,1,[0 1],[1 0],1 2 3,3,3 1,[1 1];[2 3],1 2,616 4677,75 74,0 1,5293,3,[1 0],1613405041.088,Mon Feb 15 2021 10:04:01 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,11,train,1,[0 1],[1 0],1 2 3,3,2 2,[0 3];[1 5],0 1,1182 4836,76 186,0 1,6018,1,[1 0],1613405053.898,Mon Feb 15 2021 10:04:13 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,12,train,1,[0 1],[1 0],1 2 3,3,3 1,[1 1];[2 3],1 2,304 4742,75 74,0 1,5046,3,[1 0],1613405065.748,Mon Feb 15 2021 10:04:25 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,13,train,1,[0 1],[1 0],1 2 3,3,1 4,[0 2];[6 1],0 6,674 4779,74 75,0 1,5453,6,[1 0],1613405077.991,Mon Feb 15 2021 10:04:37 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,14,train,1,[0 1],[1 0],1 2 3,3,4 4,[2 0];[6 1],2 6,861 4768,186 75,0 1,5629,8,[1 0],1613405090.405,Mon Feb 15 2021 10:04:50 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,15,train,1,[0 1],[1 0],1 2 3,3,2 4,[0 3];[6 1],0 6,559 4395,76 75,0 1,4954,6,[1 0],1613405102.152,Mon Feb 15 2021 10:05:02 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,16,train,1,[1 0],[0 1],1 2 3,3,2 1,[0 3];[2 3],3 3,311 4366,76 74,0 1,4677,6,[1 0],1613405113.633,Mon Feb 15 2021 10:05:13 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,17,train,1,[1 0],[0 1],1 2 3,3,2 1,[0 3];[2 3],3 3,347 4198,76 74,0 1,4545,6,[1 0],1613405124.995,Mon Feb 15 2021 10:05:24 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,18,train,1,[0 1],[1 0],1 2 3,3,3 4,[1 1];[6 1],1 6,770 4295,75 75,0 1,5065,7,[1 0],1613405136.858,Mon Feb 15 2021 10:05:36 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,19,train,1,[1 0],[0 1],1 2 3,3,2 2,[0 3];[1 5],3 5,379 4557,76 186,0 1,4936,8,[1 0],1613405148.588,Mon Feb 15 2021 10:05:48 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,20,train,1,[1 0],[0 1],1 2 3,3,2 2,[0 3];[1 5],3 5,351 4296,76 186,0 1,4647,8,[1 0],1613405160.035,Mon Feb 15 2021 10:06:00 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,21,train,1,[1 0],[0 1],1 2 3,3,2 2,[0 3];[1 5],3 5,206 4102,76 186,0 1,4308,8,[1 0],1613405171.133,Mon Feb 15 2021 10:06:11 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,22,train,1,[1 0],[0 1],1 2 3,3,5 2,[1 0];[1 5],0 5,296 4203,32 186,0 1,4499,5,[1 0],1613405182.437,Mon Feb 15 2021 10:06:22 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,23,train,1,[0 1],[1 0],1 2 3,3,2 4,[0 3];[6 1],0 6,788 4693,76 75,0 1,5481,6,[1 0],1613405194.714,Mon Feb 15 2021 10:06:34 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,24,train,1,[0 1],[1 0],1 2 3,3,1 4,[0 2];[6 1],0 6,293 4272,74 75,0 1,4565,6,[1 0],1613405206.088,Mon Feb 15 2021 10:06:46 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,25,train,1,[0 1],[1 0],1 2 3,3,4 4,[2 0];[6 1],2 6,320 4186,186 75,0 1,4506,8,[1 0],1613405217.386,Mon Feb 15 2021 10:06:57 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,26,train,1,[1 0],[0 1],1 2 3,3,2 2,[0 3];[1 5],3 5,523 4359,76 186,0 1,4882,8,[1 0],1613405229.065,Mon Feb 15 2021 10:07:09 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,27,train,1,[1 0],[0 1],1 2 3,3,2 2,[0 3];[1 5],3 5,447 4161,76 186,0 1,4608,8,[1 0],1613405240.486,Mon Feb 15 2021 10:07:20 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,28,train,1,[1 0],[0 1],1 2 3,3,2 2,[0 3];[1 5],3 5,403 4109,76 186,0 1,4512,8,[1 0],1613405251.793,Mon Feb 15 2021 10:07:31 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,29,train,1,[1 0],[0 1],1 2 3,3,2 2,[0 3];[1 5],3 5,291 4145,76 186,0 1,4436,8,[1 0],1613405263.024,Mon Feb 15 2021 10:07:43 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,30,train,1,[0 1],[1 0],1 2 3,3,2 4,[0 3];[6 1],0 6,282 4327,76 75,0 1,4609,6,[1 0],1613405274.426,Mon Feb 15 2021 10:07:54 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,31,train,1,[1 0],[0 1],1 2 3,3,2 2,[0 3];[1 5],3 5,538 4384,76 186,0 1,4922,8,[1 0],1613405286.156,Mon Feb 15 2021 10:08:06 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,32,train,1,[1 0],[0 1],1 2 3,3,2 2,[0 3];[1 5],3 5,374 4068,76 186,0 1,4442,8,[1 0],1613405297.384,Mon Feb 15 2021 10:08:17 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,33,train,1,[1 0],[0 1],1 2 3,3,2 2,[0 3];[1 5],3 5,221 4114,76 186,0 1,4335,8,[1 0],1613405308.517,Mon Feb 15 2021 10:08:28 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,34,train,1,[0 1],[1 0],1 2 3,3,1 4,[0 2];[6 1],0 6,524 4197,74 75,0 1,4721,6,[1 0],1613405320.025,Mon Feb 15 2021 10:08:40 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,35,train,1,[1 0],[0 1],1 2 3,3,2 2,[0 3];[1 5],3 5,245 4277,76 186,0 1,4522,8,[1 0],1613405331.354,Mon Feb 15 2021 10:08:51 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,36,train,1,[1 0],[0 1],1 2 3,3,2 2,[0 3];[1 5],3 5,353 4199,76 186,0 1,4552,8,[1 0],1613405342.692,Mon Feb 15 2021 10:09:02 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,37,train,1,[0 1],[1 0],1 2 3,3,3 4,[1 1];[6 1],1 6,843 4327,75 75,0 1,5170,7,[1 0],1613405354.668,Mon Feb 15 2021 10:09:14 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,38,train,1,[1 0],[0 1],1 2 3,3,2 2,[0 3];[1 5],3 5,318 4099,76 186,0 1,4417,8,[1 0],1613405365.884,Mon Feb 15 2021 10:09:25 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,39,train,1,[0 1],[1 0],1 2 3,3,4 4,[2 0];[6 1],2 6,416 4159,186 75,0 1,4575,8,[1 0],1613405377.257,Mon Feb 15 2021 10:09:37 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,0,0,test,1,[1 1],[1 1],1 2 3,3,2 2,[0 3];[1 5],3 6,895 4079,76 186,0 1,4974,9,[1 0],1613405389.037,Mon Feb 15 2021 10:09:49 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,1,0,train,1,[0 1],[1 0],1 2 3,3,2 4,[0 3];[6 1],0 6,676 4282,32 32,0 1,4958,6,[1 0],1613405404.792,Mon Feb 15 2021 10:10:04 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,1,1,train,1,[0 1],[1 0],1 2 3,3,5 4,[1 0];[6 1],1 6,460 4139,74 32,0 1,4599,7,[1 0],1613405416.175,Mon Feb 15 2021 10:10:16 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,1,2,train,1,[1 0],[0 1],1 2 3,3,2 3,[0 3];[4 4],3 4,345 4101,32 75,0 1,4446,7,[1 0],1613405427.408,Mon Feb 15 2021 10:10:27 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,1,3,train,1,[1 0],[0 1],1 2 3,3,2 1,[0 3];[2 3],3 3,555 4046,32 76,0 1,4601,6,[1 0],1613405438.79,Mon Feb 15 2021 10:10:38 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,1,4,train,1,[1 0],[0 1],1 2 3,3,2 5,[0 3];[4 1],3 1,404 4115,32 186,0 1,4519,4,[1 0],1613405450.105,Mon Feb 15 2021 10:10:50 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,1,5,train,1,[1 0],[0 1],1 2 3,3,2 3,[0 3];[4 4],3 4,303 4064,32 75,0 1,4367,7,[1 0],1613405461.267,Mon Feb 15 2021 10:11:01 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,1,6,train,1,[1 0],[0 1],1 2 3,3,2 3,[0 3];[4 4],3 4,322 4111,32 75,0 1,4433,7,[1 0],1613405472.476,Mon Feb 15 2021 10:11:12 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,1,7,train,1,[0 1],[1 0],1 2 3,3,5 3,[1 0];[4 4],1 4,313 4641,74 75,0 1,4954,5,[1 0],1613405484.21,Mon Feb 15 2021 10:11:24 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,1,8,train,1,[0 1],[1 0],1 2 3,3,3 3,[1 1];[4 4],1 4,352 4119,76 75,0 1,4471,5,[1 0],1613405495.465,Mon Feb 15 2021 10:11:35 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,1,9,train,1,[0 1],[1 0],1 2 3,3,4 3,[2 0];[4 4],2 4,368 4051,186 75,0 1,4419,6,[1 0],1613405506.691,Mon Feb 15 2021 10:11:46 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,1,10,train,1,[1 0],[0 1],1 2 3,3,2 3,[0 3];[4 4],3 4,320 4186,32 75,0 1,4506,7,[1 0],1613405517.971,Mon Feb 15 2021 10:11:57 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,1,11,train,1,[0 1],[1 0],1 2 3,3,5 3,[1 0];[4 4],1 4,280 4011,74 75,0 1,4291,5,[1 0],1613405529.04,Mon Feb 15 2021 10:12:09 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,1,12,train,1,[1 0],[0 1],1 2 3,3,2 3,[0 3];[4 4],3 4,533 4074,32 75,0 1,4607,7,[1 0],1613405540.433,Mon Feb 15 2021 10:12:20 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,1,13,train,1,[0 1],[1 0],1 2 3,3,3 3,[1 1];[4 4],1 4,217 4119,76 75,0 1,4336,5,[1 0],1613405551.557,Mon Feb 15 2021 10:12:31 GMT-0600 (Central Standard Time),0
A,A3B7TNVOISSZ2O,1214430833606,1,14,train,1,[1 0],[0 1],1 2 3,3,2 3,[0 3];[4 4],3 4,289 4096,32 75,0 1,4385,7,[1 0],1613405562.736,Mon Feb 15 2021 10:12:42 GMT-0600 (Central Standard Time),0
