group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3P7AXWF57BHNX,1902658123089,0,0,train,1,[0 1],[1 0],1 2 3,3,5 1,[1 0];[2 3],1 2,1147 4442,32 74,0 1,5589,3,[1 0],1613336337.925,Sun Feb 14 2021 15:58:57 GMT-0500 (Eastern Standard Time),0
A,A3P7AXWF57BHNX,1902658123089,0,1,train,1,[0 1],[1 0],1 2 3,3,3 5,[1 1];[4 1],1 4,424 4492,75 76,0 1,4916,5,[1 0],1613336349.64,Sun Feb 14 2021 15:59:09 GMT-0500 (Eastern Standard Time),0
A,A3P7AXWF57BHNX,1902658123089,0,2,train,1,[0 1],[1 0],1 2 3,3,2 1,[0 3];[2 3],0 2,1192 4324,186 74,0 1,5516,2,[1 0],1613336361.975,Sun Feb 14 2021 15:59:21 GMT-0500 (Eastern Standard Time),0
A,A3P7AXWF57BHNX,1902658123089,0,3,train,1,[1 0],[0 1],1 2 3,3,2 1,[0 3];[2 3],3 3,340 4358,186 74,0 1,4698,6,[1 0],1613336373.492,Sun Feb 14 2021 15:59:33 GMT-0500 (Eastern Standard Time),0
A,A3P7AXWF57BHNX,1902658123089,0,4,train,1,[0 1],[1 0],1 2 3,3,5 3,[1 0];[4 4],1 4,471 4450,32 32,0 1,4921,5,[1 0],1613336385.232,Sun Feb 14 2021 15:59:45 GMT-0500 (Eastern Standard Time),0
A,A3P7AXWF57BHNX,1902658123089,0,5,train,1,[1 0],[0 1],1 2 3,3,4 2,[2 0];[1 5],0 5,445 4293,74 75,0 1,4738,5,[1 0],1613336396.786,Sun Feb 14 2021 15:59:56 GMT-0500 (Eastern Standard Time),0
A,A3P7AXWF57BHNX,1902658123089,0,6,train,1,[1 0],[0 1],1 2 3,3,3 5,[1 1];[4 1],1 1,412 4240,75 76,0 1,4652,2,[1 0],1613336408.232,Sun Feb 14 2021 16:00:08 GMT-0500 (Eastern Standard Time),0
A,A3P7AXWF57BHNX,1902658123089,0,7,train,1,[0 1],[1 0],1 2 3,3,1 2,[0 2];[1 5],0 1,385 4304,76 75,0 1,4689,1,[1 0],1613336419.746,Sun Feb 14 2021 16:00:19 GMT-0500 (Eastern Standard Time),0
A,A3P7AXWF57BHNX,1902658123089,0,8,train,1,[1 0],[0 1],1 2 3,3,5 1,[1 0];[2 3],0 3,419 4285,32 74,0 1,4704,3,[1 0],1613336431.27,Sun Feb 14 2021 16:00:31 GMT-0500 (Eastern Standard Time),0
A,A3P7AXWF57BHNX,1902658123089,0,9,train,1,[1 0],[0 1],1 2 3,3,2 5,[0 3];[4 1],3 1,435 4203,186 76,0 1,4638,4,[1 0],1613336442.731,Sun Feb 14 2021 16:00:42 GMT-0500 (Eastern Standard Time),0
A,A3P7AXWF57BHNX,1902658123089,0,10,train,1,[0 1],[1 0],1 2 3,3,3 1,[1 1];[2 3],1 2,356 4251,75 74,0 1,4607,3,[1 0],1613336454.175,Sun Feb 14 2021 16:00:54 GMT-0500 (Eastern Standard Time),0
A,A3P7AXWF57BHNX,1902658123089,0,11,train,1,[1 0],[0 1],1 2 3,3,2 5,[0 3];[4 1],3 1,387 4634,186 76,0 1,5021,4,[1 0],1613336465.99,Sun Feb 14 2021 16:01:05 GMT-0500 (Eastern Standard Time),0
A,A3P7AXWF57BHNX,1902658123089,0,12,train,1,[1 0],[0 1],1 2 3,3,2 2,[0 3];[1 5],3 5,509 4358,186 75,0 1,4867,8,[1 0],1613336477.692,Sun Feb 14 2021 16:01:17 GMT-0500 (Eastern Standard Time),0
A,A3P7AXWF57BHNX,1902658123089,0,13,train,1,[0 1],[1 0],1 2 3,3,4 3,[2 0];[4 4],2 4,415 4279,74 32,0 1,4694,6,[1 0],1613336489.217,Sun Feb 14 2021 16:01:29 GMT-0500 (Eastern Standard Time),0
A,A3P7AXWF57BHNX,1902658123089,0,14,train,1,[1 0],[0 1],1 2 3,3,3 4,[1 1];[6 1],1 1,385 4147,75 186,0 1,4532,2,[1 0],1613336500.558,Sun Feb 14 2021 16:01:40 GMT-0500 (Eastern Standard Time),0
A,A3P7AXWF57BHNX,1902658123089,0,15,train,1,[1 0],[0 1],1 2 3,3,3 5,[1 1];[4 1],1 1,338 4429,75 76,0 1,4767,2,[1 0],1613336512.137,Sun Feb 14 2021 16:01:52 GMT-0500 (Eastern Standard Time),0
A,A3P7AXWF57BHNX,1902658123089,0,16,train,1,[1 0],[0 1],1 2 3,3,2 3,[0 3];[4 4],3 4,391 4274,186 32,0 1,4665,7,[1 0],1613336523.638,Sun Feb 14 2021 16:02:03 GMT-0500 (Eastern Standard Time),0
A,A3P7AXWF57BHNX,1902658123089,0,17,train,1,[0 1],[1 0],1 2 3,3,3 5,[1 1];[4 1],1 4,447 4154,75 76,0 1,4601,5,[1 0],1613336535.051,Sun Feb 14 2021 16:02:15 GMT-0500 (Eastern Standard Time),0
A,A3P7AXWF57BHNX,1902658123089,0,18,train,1,[0 1],[1 0],1 2 3,3,1 2,[0 2];[1 5],0 1,319 4257,76 75,0 1,4576,1,[1 0],1613336546.441,Sun Feb 14 2021 16:02:26 GMT-0500 (Eastern Standard Time),0
A,A3P7AXWF57BHNX,1902658123089,0,19,train,1,[1 0],[0 1],1 2 3,3,3 4,[1 1];[6 1],1 1,359 4074,75 186,0 1,4433,2,[1 0],1613336557.669,Sun Feb 14 2021 16:02:37 GMT-0500 (Eastern Standard Time),0
A,A3P7AXWF57BHNX,1902658123089,0,20,train,1,[0 1],[1 0],1 2 3,3,1 2,[0 2];[1 5],0 1,301 4114,76 75,0 1,4415,1,[1 0],1613336568.911,Sun Feb 14 2021 16:02:48 GMT-0500 (Eastern Standard Time),0
A,A3P7AXWF57BHNX,1902658123089,0,21,train,1,[0 1],[1 0],1 2 3,3,3 2,[1 1];[1 5],1 1,358 4203,75 75,0 1,4561,2,[1 0],1613336580.294,Sun Feb 14 2021 16:03:00 GMT-0500 (Eastern Standard Time),0
A,A3P7AXWF57BHNX,1902658123089,0,22,train,1,[1 0],[0 1],1 2 3,3,4 3,[2 0];[4 4],0 4,424 4187,74 32,0 1,4611,4,[1 0],1613336591.724,Sun Feb 14 2021 16:03:11 GMT-0500 (Eastern Standard Time),0
