group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AJQ71YIGY01HZ,1886998532552,0,0,train,1,[0 1],[1 0],1 2 3,3,4 1,[2 0];[2 3],2 2,1848 4769,74 75,0 1,6617,4,[1 0],1613345944.976,Sun Feb 14 2021 18:39:04 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,1,train,1,[0 1],[1 0],1 2 3,3,1 5,[0 2];[4 1],0 4,560 4194,75 76,0 1,4754,4,[1 0],1613345956.519,Sun Feb 14 2021 18:39:16 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,2,train,1,[0 1],[1 0],1 2 3,3,3 2,[1 1];[1 5],1 1,117 5153,186 32,0 1,5270,2,[1 0],1613345968.562,Sun Feb 14 2021 18:39:28 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,3,train,1,[0 1],[1 0],1 2 3,3,5 2,[1 0];[1 5],1 1,46 5075,76 32,0 1,5121,2,[1 0],1613345980.457,Sun Feb 14 2021 18:39:40 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,4,train,1,[1 0],[0 1],1 2 3,3,5 3,[1 0];[4 4],0 4,873 5133,76 186,0 1,6006,4,[1 0],1613345993.232,Sun Feb 14 2021 18:39:53 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,5,train,1,[1 0],[0 1],1 2 3,3,4 2,[2 0];[1 5],0 5,863 4261,74 32,0 1,5124,5,[1 0],1613346005.128,Sun Feb 14 2021 18:40:05 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,6,train,1,[1 0],[0 1],1 2 3,3,2 1,[0 3];[2 3],3 3,652 4929,32 75,0 1,5581,6,[1 0],1613346017.482,Sun Feb 14 2021 18:40:17 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,7,train,1,[1 0],[0 1],1 2 3,3,4 2,[2 0];[1 5],0 5,88 4189,74 32,0 1,4277,5,[1 0],1613346028.533,Sun Feb 14 2021 18:40:28 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,8,train,1,[1 0],[0 1],1 2 3,3,2 3,[0 3];[4 4],3 4,178 4611,32 186,0 1,4789,7,[1 0],1613346040.097,Sun Feb 14 2021 18:40:40 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,9,train,1,[0 1],[1 0],1 2 3,3,1 5,[0 2];[4 1],0 4,689 4265,75 76,0 1,4954,4,[1 0],1613346051.822,Sun Feb 14 2021 18:40:51 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,10,train,1,[0 1],[1 0],1 2 3,3,2 4,[0 3];[6 1],0 6,816 4370,32 74,0 1,5186,6,[1 0],1613346063.785,Sun Feb 14 2021 18:41:03 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,11,train,1,[1 0],[0 1],1 2 3,3,3 4,[1 1];[6 1],1 1,148 4266,186 74,0 1,4414,2,[1 0],1613346074.971,Sun Feb 14 2021 18:41:14 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,12,train,1,[0 1],[1 0],1 2 3,3,2 4,[0 3];[6 1],0 6,325 4433,32 74,0 1,4758,6,[1 0],1613346086.502,Sun Feb 14 2021 18:41:26 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,13,train,1,[1 0],[0 1],1 2 3,3,4 1,[2 0];[2 3],0 3,220 3960,74 75,0 1,4180,3,[1 0],1613346097.457,Sun Feb 14 2021 18:41:37 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,14,train,1,[1 0],[0 1],1 2 3,3,5 4,[1 0];[6 1],0 1,294 4959,76 74,0 1,5253,1,[1 0],1613346109.484,Sun Feb 14 2021 18:41:49 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,15,train,1,[1 0],[0 1],1 2 3,3,2 2,[0 3];[1 5],3 5,1274 4989,32 32,0 1,6263,8,[1 0],1613346122.522,Sun Feb 14 2021 18:42:02 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,16,train,1,[0 1],[1 0],1 2 3,3,4 -1,[2 0];[],2 0,1479 5767,74 116,0 1,7246,2,[1 0],1613346135.785,Sun Feb 14 2021 18:42:15 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,17,train,1,[0 1],[1 0],1 2 3,3,4 5,[2 0];[4 1],2 4,632 5080,74 76,0 1,5712,6,[1 0],1613346148.269,Sun Feb 14 2021 18:42:28 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,18,train,1,[0 1],[1 0],1 2 3,3,5 3,[1 0];[4 4],1 4,497 4188,76 186,0 1,4685,5,[1 0],1613346159.732,Sun Feb 14 2021 18:42:39 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,19,train,1,[0 1],[1 0],1 2 3,3,3 5,[1 1];[4 1],1 4,354 5538,186 76,0 1,5892,5,[1 0],1613346172.402,Sun Feb 14 2021 18:42:52 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,20,train,1,[0 1],[1 0],1 2 3,3,5 3,[1 0];[4 4],1 4,583 4306,76 186,0 1,4889,5,[1 0],1613346184.062,Sun Feb 14 2021 18:43:04 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,21,train,1,[1 0],[0 1],1 2 3,3,5 3,[1 0];[4 4],0 4,479 4259,76 186,0 1,4738,4,[1 0],1613346195.573,Sun Feb 14 2021 18:43:15 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,22,train,1,[0 1],[1 0],1 2 3,3,3 2,[1 1];[1 5],1 1,445 4568,186 32,0 1,5013,2,[1 0],1613346207.359,Sun Feb 14 2021 18:43:27 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,23,train,1,[1 0],[0 1],1 2 3,3,5 3,[1 0];[4 4],0 4,412 4456,76 186,0 1,4868,4,[1 0],1613346219.003,Sun Feb 14 2021 18:43:39 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,24,train,1,[0 1],[1 0],1 2 3,3,5 3,[1 0];[4 4],1 4,1122 4407,76 186,0 1,5529,5,[1 0],1613346231.308,Sun Feb 14 2021 18:43:51 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,25,train,1,[0 1],[1 0],1 2 3,3,3 3,[1 1];[4 4],1 4,325 4662,186 186,0 1,4987,5,[1 0],1613346243.074,Sun Feb 14 2021 18:44:03 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,26,train,1,[1 0],[0 1],1 2 3,3,4 2,[2 0];[1 5],0 5,1044 4149,74 32,0 1,5193,5,[1 0],1613346255.04,Sun Feb 14 2021 18:44:15 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,27,train,1,[1 0],[0 1],1 2 3,3,2 1,[0 3];[2 3],3 3,325 4442,32 75,0 1,4767,6,[1 0],1613346266.578,Sun Feb 14 2021 18:44:26 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,28,train,1,[1 0],[0 1],1 2 3,3,2 2,[0 3];[1 5],3 5,501 4296,32 32,0 1,4797,8,[1 0],1613346278.149,Sun Feb 14 2021 18:44:38 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,29,train,1,[1 0],[0 1],1 2 3,3,1 2,[0 2];[1 5],2 5,503 4147,75 32,0 1,4650,7,[1 0],1613346289.571,Sun Feb 14 2021 18:44:49 GMT-0500 (Eastern Standard Time),0
A,AJQ71YIGY01HZ,1886998532552,0,30,train,1,[1 0],[0 1],1 2 3,3,1 4,[0 2];[6 1],2 1,870 4135,75 74,0 1,5005,3,[1 0],1613346301.349,Sun Feb 14 2021 18:45:01 GMT-0500 (Eastern Standard Time),0
