group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,AW5O1RK3W60FC,1549942847554,0,0,train,1,[1 0],[0 1],1 2 3,3,-1 4,[];[6 1],0 1,2015 4848,116 75,0 1,6863,1,[1 0],1613363225.521,Sun Feb 14 2021 23:27:05 GMT-0500 (Eastern Standard Time),0
A,AW5O1RK3W60FC,1549942847554,0,1,train,1,[0 1],[1 0],1 2 3,3,-1 3,[];[4 4],0 4,2016 4274,116 186,0 1,6290,4,[1 0],1613363238.624,Sun Feb 14 2021 23:27:18 GMT-0500 (Eastern Standard Time),0
A,AW5O1RK3W60FC,1549942847554,0,2,train,1,[0 1],[1 0],1 2 3,3,1 4,[0 2];[6 1],0 6,755 5344,186 75,0 1,6099,6,[1 0],1613363251.519,Sun Feb 14 2021 23:27:31 GMT-0500 (Eastern Standard Time),0
A,AW5O1RK3W60FC,1549942847554,0,3,train,1,[1 0],[0 1],1 2 3,3,1 4,[0 2];[6 1],2 1,635 5713,186 75,0 1,6348,3,[1 0],1613363264.669,Sun Feb 14 2021 23:27:44 GMT-0500 (Eastern Standard Time),0
A,AW5O1RK3W60FC,1549942847554,0,4,train,1,[0 1],[1 0],1 2 3,3,3 2,[1 1];[1 5],1 1,1401 5297,74 74,0 1,6698,2,[1 0],1613363278.153,Sun Feb 14 2021 23:27:58 GMT-0500 (Eastern Standard Time),0
A,AW5O1RK3W60FC,1549942847554,0,5,train,1,[0 1],[1 0],1 2 3,3,5 4,[1 0];[6 1],1 6,10 4872,76 75,0 1,4882,7,[1 0],1613363289.815,Sun Feb 14 2021 23:28:09 GMT-0500 (Eastern Standard Time),0
A,AW5O1RK3W60FC,1549942847554,0,6,train,1,[1 0],[0 1],1 2 3,3,5 2,[1 0];[1 5],0 5,1002 5464,76 74,0 1,6466,5,[1 0],1613363303.083,Sun Feb 14 2021 23:28:23 GMT-0500 (Eastern Standard Time),0
A,AW5O1RK3W60FC,1549942847554,0,7,train,1,[1 0],[0 1],1 2 3,3,3 -1,[1 1];[],1 0,1942 5794,74 116,0 1,7736,1,[1 0],1613363316.856,Sun Feb 14 2021 23:28:36 GMT-0500 (Eastern Standard Time),0
A,AW5O1RK3W60FC,1549942847554,0,8,train,1,[1 0],[0 1],1 2 3,3,1 2,[0 2];[1 5],2 5,1185 5495,186 74,0 1,6680,7,[1 0],1613363330.32,Sun Feb 14 2021 23:28:50 GMT-0500 (Eastern Standard Time),0
A,AW5O1RK3W60FC,1549942847554,0,9,train,1,[1 0],[0 1],1 2 3,3,4 5,[2 0];[4 1],0 1,300 5337,32 76,0 1,5637,1,[1 0],1613363342.742,Sun Feb 14 2021 23:29:02 GMT-0500 (Eastern Standard Time),0
