group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1SHLWKA0UH1IS,1640851863778,0,0,train,1,[0 1],[1 0],1 2 5 6,4,1 3 1,[0 3];[1 1];[2 4],0 1 2,5029 12012 7137,49 49 49,0 1 2,24178,3,[1 0],1613940690.297,Sun Feb 21 2021 15:51:30 GMT-0500 (Eastern Standard Time),0
A,A1SHLWKA0UH1IS,1640851863778,0,1,train,1,[1 0],[0 1],1 2 5 6,4,1 3 3,[0 3];[1 1];[5 2],3 1 2,1768 5001 4329,49 49 50,0 1 2,11098,6,[1 0],1613940709.122,Sun Feb 21 2021 15:51:49 GMT-0500 (Eastern Standard Time),0
A,A1SHLWKA0UH1IS,1640851863778,0,2,train,1,[1 0],[0 1],1 2 3 6,4,1 1 3,[0 3];[1 1];[4 3],3 1 3,2268 3841 3146,49 51 50,0 1 2,9255,7,[1 0],1613940723.349,Sun Feb 21 2021 15:52:03 GMT-0500 (Eastern Standard Time),0
A,A1SHLWKA0UH1IS,1640851863778,0,3,train,1,[1 0],[0 1],1 2 4 6,4,1 2 3,[0 3];[1 1];[7 0],3 1 0,1845 3369 3718,49 50 49,0 1 2,8932,4,[1 0],1613940735.851,Sun Feb 21 2021 15:52:15 GMT-0500 (Eastern Standard Time),0
A,A1SHLWKA0UH1IS,1640851863778,0,4,train,1,[0 1],[1 0],1 2 3 6,4,1 1 3,[0 3];[1 1];[4 3],0 1 4,2061 4682 2771,49 51 50,0 1 2,9514,5,[1 0],1613940748.895,Sun Feb 21 2021 15:52:28 GMT-0500 (Eastern Standard Time),0
A,A1SHLWKA0UH1IS,1640851863778,0,5,train,1,[1 0],[0 1],1 2 5 6,4,2 3 3,[2 0];[1 1];[5 2],0 1 2,1965 4670 3297,50 49 50,0 1 2,9932,3,[1 0],1613940761.797,Sun Feb 21 2021 15:52:41 GMT-0500 (Eastern Standard Time),0
A,A1SHLWKA0UH1IS,1640851863778,0,6,train,1,[1 0],[0 1],1 2 5 6,4,2 3 2,[2 0];[1 1];[9 1],0 1 1,2202 950 4315 3311,51 50 49 51,1 2 3,10778,2,[1 0],1613940775.561,Sun Feb 21 2021 15:52:55 GMT-0500 (Eastern Standard Time),0
A,A1SHLWKA0UH1IS,1640851863778,0,7,train,1,[1 0],[0 1],1 2 5 6,4,1 3 3,[0 3];[1 1];[5 2],3 1 2,1658 3972 3095,49 49 50,0 1 2,8725,6,[1 0],1613940787.082,Sun Feb 21 2021 15:53:07 GMT-0500 (Eastern Standard Time),0
A,A1SHLWKA0UH1IS,1640851863778,0,8,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 3];[1 1];[1 8],3 1 8,1342 5870 3529,49 51 51,0 1 2,10741,12,[1 0],1613940801.978,Sun Feb 21 2021 15:53:21 GMT-0500 (Eastern Standard Time),0
A,A1SHLWKA0UH1IS,1640851863778,0,9,train,1,[0 1],[1 0],1 2 3 6,4,2 1 3,[2 0];[1 1];[4 3],2 1 4,1719 4821 4787,50 51 50,0 1 2,11327,7,[1 0],1613940816.553,Sun Feb 21 2021 15:53:36 GMT-0500 (Eastern Standard Time),0
A,A1SHLWKA0UH1IS,1640851863778,0,10,train,1,[1 0],[0 1],1 2 4 6,4,2 2 3,[2 0];[1 1];[7 0],0 1 0,2323 4673 4858,50 50 49,0 1 2,11854,1,[1 0],1613940832.502,Sun Feb 21 2021 15:53:52 GMT-0500 (Eastern Standard Time),0
