group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A1V2H0UF94ATWY,1114784547296,0,0,train,1,[1 0],[1 0],1 2 4 6,4,2 2 3,[0 2];[1 1];[0 7],0 1 0,5944 17456 1537 10512,49 32 49 50,0 2 3,35449,1,[0 1],1613940340.705,Sun Feb 21 2021 15:45:40 GMT-0500 (Eastern Standard Time),0
A,A1V2H0UF94ATWY,1114784547296,0,1,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[1 1];[8 1],0 1 8,1912 4312 3064 6512,49 32 50 51,0 2 3,15800,9,[0 1],1613940369.224,Sun Feb 21 2021 15:46:09 GMT-0500 (Eastern Standard Time),0
A,A1V2H0UF94ATWY,1114784547296,0,2,train,1,[0 1],[0 1],1 2 4 6,4,1 2 1,[3 0];[1 1];[6 0],0 1 0,2159 4384 6887,50 49 51,0 1 2,13430,1,[0 1],1613940391.391,Sun Feb 21 2021 15:46:31 GMT-0500 (Eastern Standard Time),0
A,A1V2H0UF94ATWY,1114784547296,0,3,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[1 1];[8 1],0 1 8,920 6824 5767,49 50 51,0 1 2,13511,9,[0 1],1613940413.431,Sun Feb 21 2021 15:46:53 GMT-0500 (Eastern Standard Time),0
A,A1V2H0UF94ATWY,1114784547296,0,4,train,1,[1 0],[1 0],1 2 5 6,4,1 3 3,[3 0];[1 1];[2 5],3 1 2,2183 10416 5081,50 51 50,0 1 2,17680,6,[0 1],1613940436.041,Sun Feb 21 2021 15:47:16 GMT-0500 (Eastern Standard Time),0
A,A1V2H0UF94ATWY,1114784547296,0,5,train,1,[0 1],[0 1],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],2 1 4,1287 5289 4696,49 50 50,0 1 2,11272,7,[0 1],1613940452.688,Sun Feb 21 2021 15:47:32 GMT-0500 (Eastern Standard Time),0
A,A1V2H0UF94ATWY,1114784547296,0,6,train,1,[0 1],[0 1],1 2 4 6,4,2 2 3,[0 2];[1 1];[0 7],2 1 7,1064 4026 4399,49 49 50,0 1 2,9489,10,[0 1],1613940466.487,Sun Feb 21 2021 15:47:46 GMT-0500 (Eastern Standard Time),0
A,A1V2H0UF94ATWY,1114784547296,0,7,train,1,[1 0],[1 0],1 2 3 6,4,2 1 2,[0 2];[1 1];[8 1],0 1 8,2745 2528 2265,49 50 51,0 1 2,7538,9,[0 1],1613940477.761,Sun Feb 21 2021 15:47:57 GMT-0500 (Eastern Standard Time),0
A,A1V2H0UF94ATWY,1114784547296,0,8,train,1,[0 1],[0 1],1 2 3 6,4,2 1 1,[0 2];[1 1];[5 3],2 1 3,3821 4745 3360,49 50 49,0 1 2,11926,6,[0 1],1613940493.529,Sun Feb 21 2021 15:48:13 GMT-0500 (Eastern Standard Time),0
A,A1V2H0UF94ATWY,1114784547296,0,9,train,1,[0 1],[0 1],1 2 4 6,4,1 2 1,[3 0];[1 1];[6 0],0 1 0,1592 4799 3865,50 49 51,0 1 2,10256,1,[0 1],1613940507.112,Sun Feb 21 2021 15:48:27 GMT-0500 (Eastern Standard Time),0
