group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A31681CCEVDIH3,1156617505840,0,0,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[1 1];[6 5],2 1 6,3904 14191 12387,50 49 50,0 1 2,30482,9,[1 0],1613976483,Mon Feb 22 2021 00:48:03 GMT-0600 (Central Standard Time),0
A,A31681CCEVDIH3,1156617505840,0,1,train,1,[0 1],[1 0],1 2 5 6,4,1 3 1,[0 3];[1 1];[2 4],0 1 2,2515 8332 8788,49 51 49,0 1 2,19635,3,[1 0],1613976508.384,Mon Feb 22 2021 00:48:28 GMT-0600 (Central Standard Time),0
A,A31681CCEVDIH3,1156617505840,0,2,train,1,[0 1],[1 0],1 2 3 6,4,2 1 1,[2 0];[1 1];[3 5],2 1 3,3171 5035 4742,50 50 49,0 1 2,12948,6,[1 0],1613976526.435,Mon Feb 22 2021 00:48:46 GMT-0600 (Central Standard Time),0
A,A31681CCEVDIH3,1156617505840,0,3,train,1,[0 1],[1 0],1 2 4 6,4,1 2 1,[0 3];[1 1];[0 6],0 1 0,2468 5950 4305,49 49 51,0 1 2,12723,1,[1 0],1613976542.343,Mon Feb 22 2021 00:49:02 GMT-0600 (Central Standard Time),0
A,A31681CCEVDIH3,1156617505840,0,4,train,1,[0 1],[1 0],1 2 5 6,4,2 3 3,[2 0];[1 1];[5 2],2 1 5,907 3383 5429,50 51 50,0 1 2,9719,8,[1 0],1613976555.881,Mon Feb 22 2021 00:49:15 GMT-0600 (Central Standard Time),0
A,A31681CCEVDIH3,1156617505840,0,5,train,1,[1 0],[0 1],1 2 4 6,4,2 2 1,[2 0];[1 1];[0 6],0 1 6,585 3366 3943,50 49 51,0 1 2,7894,7,[1 0],1613976566.457,Mon Feb 22 2021 00:49:26 GMT-0600 (Central Standard Time),0
A,A31681CCEVDIH3,1156617505840,0,6,train,1,[0 1],[1 0],1 2 4 6,4,1 2 1,[0 3];[1 1];[0 6],0 1 0,2997 4283 4973,49 49 51,0 1 2,12253,1,[1 0],1613976581.621,Mon Feb 22 2021 00:49:41 GMT-0600 (Central Standard Time),0
A,A31681CCEVDIH3,1156617505840,0,7,train,1,[1 0],[0 1],1 2 5 6,4,1 3 1,[0 3];[1 1];[2 4],3 1 4,1250 7188 3843,49 51 49,0 1 2,12281,8,[1 0],1613976597.254,Mon Feb 22 2021 00:49:57 GMT-0600 (Central Standard Time),0
A,A31681CCEVDIH3,1156617505840,0,8,train,1,[0 1],[1 0],1 2 4 6,4,2 2 2,[2 0];[1 1];[6 5],2 1 6,2987 6236 4597,50 49 50,0 1 2,13820,9,[1 0],1613976615.497,Mon Feb 22 2021 00:50:15 GMT-0600 (Central Standard Time),0
A,A31681CCEVDIH3,1156617505840,0,9,train,1,[1 0],[0 1],1 2 5 6,4,2 3 1,[2 0];[1 1];[2 4],0 1 4,3737 8131 4519,50 51 49,0 1 2,16387,5,[1 0],1613976635.831,Mon Feb 22 2021 00:50:35 GMT-0600 (Central Standard Time),0
A,A31681CCEVDIH3,1156617505840,0,10,train,1,[1 0],[0 1],1 2 3 6,4,1 1 1,[0 3];[1 1];[3 5],3 1 5,6352 9762 5275,49 50 49,0 1 2,21389,9,[1 0],1613976661.239,Mon Feb 22 2021 00:51:01 GMT-0600 (Central Standard Time),0
A,A31681CCEVDIH3,1156617505840,0,11,train,1,[0 1],[1 0],1 2 5 6,4,1 3 1,[0 3];[1 1];[2 4],0 1 2,3794 8813 5759,49 51 49,0 1 2,18366,3,[1 0],1613976682.937,Mon Feb 22 2021 00:51:22 GMT-0600 (Central Standard Time),0
A,A31681CCEVDIH3,1156617505840,0,12,train,1,[1 0],[0 1],1 2 3 6,4,2 1 1,[2 0];[1 1];[3 5],0 1 5,3558 4158 2951,50 50 49,0 1 2,10667,6,[1 0],1613976696.651,Mon Feb 22 2021 00:51:36 GMT-0600 (Central Standard Time),0
A,A31681CCEVDIH3,1156617505840,0,13,train,1,[0 1],[1 0],1 2 5 6,4,1 3 1,[0 3];[1 1];[2 4],0 1 2,2421 12466 3310,49 51 49,0 1 2,18197,3,[1 0],1613976717.889,Mon Feb 22 2021 00:51:57 GMT-0600 (Central Standard Time),0
A,A31681CCEVDIH3,1156617505840,0,14,train,1,[1 0],[0 1],1 2 5 6,4,1 3 3,[0 3];[1 1];[5 2],3 1 2,1690 7468 4276,49 51 50,0 1 2,13434,6,[1 0],1613976736.809,Mon Feb 22 2021 00:52:16 GMT-0600 (Central Standard Time),0
A,A31681CCEVDIH3,1156617505840,0,15,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 3];[1 1];[6 5],3 1 5,17567 7049 4555,49 49 50,0 1 2,29171,9,[1 0],1613976768.802,Mon Feb 22 2021 00:52:48 GMT-0600 (Central Standard Time),0
A,A31681CCEVDIH3,1156617505840,0,16,train,1,[0 1],[1 0],1 2 3 6,4,1 1 2,[0 3];[1 1];[1 8],0 1 1,2450 6940 4274,49 50 50,0 1 2,13664,2,[1 0],1613976786.147,Mon Feb 22 2021 00:53:06 GMT-0600 (Central Standard Time),0
A,A31681CCEVDIH3,1156617505840,0,17,train,1,[1 0],[0 1],1 2 5 6,4,1 3 1,[0 3];[1 1];[2 4],3 1 4,11349 9617 5933,49 51 49,0 1 2,26899,8,[1 0],1613976816.03,Mon Feb 22 2021 00:53:36 GMT-0600 (Central Standard Time),0
A,A31681CCEVDIH3,1156617505840,0,18,train,1,[1 0],[0 1],1 2 4 6,4,1 2 2,[0 3];[1 1];[6 5],3 1 5,2399 12593 3840,49 49 50,0 1 2,18832,9,[1 0],1613976837.714,Mon Feb 22 2021 00:53:57 GMT-0600 (Central Standard Time),0
A,A31681CCEVDIH3,1156617505840,0,19,train,1,[0 1],[1 0],1 2 5 6,4,2 3 1,[2 0];[1 1];[2 4],2 1 2,4703 10389 4764,50 51 49,0 1 2,19856,5,[1 0],1613976860.486,Mon Feb 22 2021 00:54:20 GMT-0600 (Central Standard Time),0
A,A31681CCEVDIH3,1156617505840,0,20,train,1,[1 0],[0 1],1 2 3 6,4,1 1 1,[0 3];[1 1];[3 5],3 1 5,6519 4235 3490,49 50 49,0 1 2,14244,9,[1 0],1613976877.78,Mon Feb 22 2021 00:54:37 GMT-0600 (Central Standard Time),0
