group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A3CGQOJC28OVGN,1933147372867,0,0,train,1,[1 0],[1 0],1 2 5 6,4,2 3 3,[0 2];[1 1];[2 5],0 1 2,6016 11674 9266,49 50 51,0 1 2,26956,3,[0 1],1613937574.95,Sun Feb 21 2021 13:59:34 GMT-0600 (Central Standard Time),0
A,A3CGQOJC28OVGN,1933147372867,0,1,train,1,[1 0],[1 0],1 2 3 6,4,1 1 1,[3 0];[1 1];[5 3],3 1 5,3245 12433 5991,50 51 49,0 1 2,21669,9,[0 1],1613937604.862,Sun Feb 21 2021 14:00:04 GMT-0600 (Central Standard Time),0
A,A3CGQOJC28OVGN,1933147372867,0,2,train,1,[1 0],[1 0],1 2 4 6,4,1 2 3,[3 0];[1 1];[0 7],3 1 0,2824 6404 5283,50 49 51,0 1 2,14511,4,[0 1],1613937623.318,Sun Feb 21 2021 14:00:23 GMT-0600 (Central Standard Time),0
A,A3CGQOJC28OVGN,1933147372867,0,3,train,1,[0 1],[0 1],1 2 3 6,4,2 1 1,[0 2];[1 1];[5 3],2 1 3,4225 8137 8158,49 51 49,0 1 2,20520,6,[0 1],1613937649.389,Sun Feb 21 2021 14:00:49 GMT-0600 (Central Standard Time),0
A,A3CGQOJC28OVGN,1933147372867,0,4,train,1,[0 1],[0 1],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],2 1 4,2264 4527 5904,49 51 50,0 1 2,12695,7,[0 1],1613937668.669,Sun Feb 21 2021 14:01:08 GMT-0600 (Central Standard Time),0
A,A3CGQOJC28OVGN,1933147372867,0,5,train,1,[0 1],[0 1],1 2 4 6,4,2 2 2,[0 2];[1 1];[5 6],2 1 6,3152 5120 3759,49 49 50,0 1 2,12031,9,[0 1],1613937686.33,Sun Feb 21 2021 14:01:26 GMT-0600 (Central Standard Time),0
A,A3CGQOJC28OVGN,1933147372867,0,6,train,1,[1 0],[1 0],1 2 3 6,4,1 1 2,[3 0];[1 1];[8 1],3 1 8,1591 4920 7143,50 51 51,0 1 2,13654,12,[0 1],1613937704.91,Sun Feb 21 2021 14:01:44 GMT-0600 (Central Standard Time),0
A,A3CGQOJC28OVGN,1933147372867,0,7,train,1,[1 0],[1 0],1 2 5 6,4,1 3 1,[3 0];[1 1];[4 2],3 1 4,4716 3847 5544,50 50 49,0 1 2,14107,8,[0 1],1613937723.857,Sun Feb 21 2021 14:02:03 GMT-0600 (Central Standard Time),0
A,A3CGQOJC28OVGN,1933147372867,0,8,train,1,[1 0],[1 0],1 2 3 6,4,2 1 3,[0 2];[1 1];[3 4],0 1 3,1568 4480 5056,49 51 50,0 1 2,11104,4,[0 1],1613937738.849,Sun Feb 21 2021 14:02:18 GMT-0600 (Central Standard Time),0
A,A3CGQOJC28OVGN,1933147372867,0,9,train,1,[1 0],[1 0],1 2 5 6,4,2 3 3,[0 2];[1 1];[2 5],0 1 2,1208 4984 2880,49 50 51,0 1 2,9072,3,[0 1],1613937751.689,Sun Feb 21 2021 14:02:31 GMT-0600 (Central Standard Time),0
