group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A170R0WAZC31WC,1495503058444,0,0,train,1,[1 0],[0 1],1 2 4 6,4,1 2 3,[0 3];[1 1];[7 0],3 1 0,8089 28439 11392,97 99 99,0 1 2,47920,4,[1 0],1615401954.328,Wed Mar 10 2021 11:45:54 GMT-0700 (Mountain Standard Time),0
A,A170R0WAZC31WC,1495503058444,0,1,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[1 1];[1 8],0 1 8,2296 10720 7256,98 97 99,0 1 2,20272,9,[1 0],1615401984.144,Wed Mar 10 2021 11:46:24 GMT-0700 (Mountain Standard Time),0
A,A170R0WAZC31WC,1495503058444,0,2,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 3];[1 1];[1 8],3 1 8,2550 7185 7367,97 97 99,0 1 2,17102,12,[1 0],1615402007.113,Wed Mar 10 2021 11:46:47 GMT-0700 (Mountain Standard Time),0
A,A170R0WAZC31WC,1495503058444,0,3,train,1,[0 1],[1 0],1 2 3 6,4,1 1 1,[0 3];[1 1];[3 5],0 1 3,1624 8552 8743,97 97 98,0 1 2,18919,4,[1 0],1615402030.584,Wed Mar 10 2021 11:47:10 GMT-0700 (Mountain Standard Time),0
A,A170R0WAZC31WC,1495503058444,0,4,train,1,[0 1],[1 0],1 2 5 6,4,2 3 3,[2 0];[1 1];[5 2],2 1 5,2279 5306 7263,98 98 99,0 1 2,14848,8,[1 0],1615402050.63,Wed Mar 10 2021 11:47:30 GMT-0700 (Mountain Standard Time),0
A,A170R0WAZC31WC,1495503058444,0,5,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 3];[1 1];[6 5],0 1 6,2720 6034 3845 6200,97 32 99 97,0 2 3,18799,7,[1 0],1615402073.878,Wed Mar 10 2021 11:47:53 GMT-0700 (Mountain Standard Time),0
A,A170R0WAZC31WC,1495503058444,0,6,train,1,[1 0],[0 1],1 2 3 6,4,1 1 2,[0 3];[1 1];[1 8],3 1 8,1536 5071 5201,97 97 99,0 1 2,11808,12,[1 0],1615402091.59,Wed Mar 10 2021 11:48:11 GMT-0700 (Mountain Standard Time),0
A,A170R0WAZC31WC,1495503058444,0,7,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 3];[1 1];[0 6],3 1 6,1384 5944 5888,97 99 98,0 1 2,13216,10,[1 0],1615402115.806,Wed Mar 10 2021 11:48:35 GMT-0700 (Mountain Standard Time),0
A,A170R0WAZC31WC,1495503058444,0,8,train,1,[0 1],[1 0],1 2 5 6,4,2 3 2,[2 0];[1 1];[9 1],2 1 9,1624 4703 8985,98 98 97,0 1 2,15312,12,[1 0],1615402138.222,Wed Mar 10 2021 11:48:58 GMT-0700 (Mountain Standard Time),0
A,A170R0WAZC31WC,1495503058444,0,9,train,1,[0 1],[1 0],1 2 5 6,4,2 3 1,[2 0];[1 1];[2 4],2 1 2,1392 4408 6177,98 98 98,0 1 2,11977,5,[1 0],1615402153.645,Wed Mar 10 2021 11:49:13 GMT-0700 (Mountain Standard Time),0
