group, workerId, subj_id, block, trial, stage, start, goal_original, goal, state_path, length, action_path, feature_path, reward_path, RTs, keys, valid_keys, RT_tot, reward, feature_shuffle, timestamp, datetime, check_fails
A,A17WT0K0HFTW9U,1113221061646,0,0,train,1,[1 0],[0 1],1 2 5 6,4,1 3 1,[0 3];[1 1];[2 4],3 1 4,9630 13428 11625,97 98 99,0 1 2,34683,8,[1 0],1615388349.327,Wed Mar 10 2021 09:59:09 GMT-0500 (Eastern Standard Time),1
A,A17WT0K0HFTW9U,1113221061646,0,1,train,1,[1 0],[0 1],1 2 4 6,4,1 2 1,[0 3];[1 1];[0 6],3 1 6,5620 7823 5096,97 99 98,0 1 2,18539,10,[1 0],1615388380.14,Wed Mar 10 2021 09:59:40 GMT-0500 (Eastern Standard Time),1
A,A17WT0K0HFTW9U,1113221061646,0,2,train,1,[1 0],[0 1],1 2 5 6,4,2 3 1,[2 0];[1 1];[2 4],0 1 4,5237 7214 6024,98 98 99,0 1 2,18475,5,[1 0],1615388405.315,Wed Mar 10 2021 10:00:05 GMT-0500 (Eastern Standard Time),1
A,A17WT0K0HFTW9U,1113221061646,0,3,train,1,[0 1],[1 0],1 2 5 6,4,1 3 1,[0 3];[1 1];[2 4],0 1 2,2384 7342 6358,97 98 99,0 1 2,16084,3,[1 0],1615388427.039,Wed Mar 10 2021 10:00:27 GMT-0500 (Eastern Standard Time),1
A,A17WT0K0HFTW9U,1113221061646,0,4,train,1,[1 0],[0 1],1 2 3 6,4,2 1 1,[2 0];[1 1];[3 5],0 1 5,2662 5497 4091,98 97 98,0 1 2,12250,6,[1 0],1615388445.741,Wed Mar 10 2021 10:00:45 GMT-0500 (Eastern Standard Time),1
A,A17WT0K0HFTW9U,1113221061646,0,5,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 3];[1 1];[6 5],0 1 6,3042 8430 5852,97 99 97,0 1 2,17324,7,[1 0],1615388469.757,Wed Mar 10 2021 10:01:09 GMT-0500 (Eastern Standard Time),1
A,A17WT0K0HFTW9U,1113221061646,0,6,train,1,[0 1],[1 0],1 2 3 6,4,2 1 1,[2 0];[1 1];[3 5],2 1 3,2847 9838 7569,98 97 98,0 1 2,20254,6,[1 0],1615388500.834,Wed Mar 10 2021 10:01:40 GMT-0500 (Eastern Standard Time),1
A,A17WT0K0HFTW9U,1113221061646,0,7,train,1,[1 0],[0 1],1 2 5 6,4,1 3 3,[0 3];[1 1];[5 2],3 1 2,3024 6370 8598,97 98 97,0 1 2,17992,6,[1 0],1615388528.293,Wed Mar 10 2021 10:02:08 GMT-0500 (Eastern Standard Time),1
A,A17WT0K0HFTW9U,1113221061646,0,8,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[1 1];[1 8],0 1 8,2566 5305 5649,98 97 99,0 1 2,13520,9,[1 0],1615388546.654,Wed Mar 10 2021 10:02:26 GMT-0500 (Eastern Standard Time),1
A,A17WT0K0HFTW9U,1113221061646,0,9,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 3];[1 1];[6 5],0 1 6,2503 6324 5188,97 99 97,0 1 2,14015,7,[1 0],1615388564.488,Wed Mar 10 2021 10:02:44 GMT-0500 (Eastern Standard Time),1
A,A17WT0K0HFTW9U,1113221061646,0,10,train,1,[0 1],[1 0],1 2 3 6,4,2 1 1,[2 0];[1 1];[3 5],2 1 3,2858 4434 5138,98 97 98,0 1 2,12430,6,[1 0],1615388581.25,Wed Mar 10 2021 10:03:01 GMT-0500 (Eastern Standard Time),1
A,A17WT0K0HFTW9U,1113221061646,0,11,train,1,[0 1],[1 0],1 2 3 6,4,2 1 1,[2 0];[1 1];[3 5],2 1 3,3154 4569 4809,98 97 98,0 1 2,12532,6,[1 0],1615388596.727,Wed Mar 10 2021 10:03:16 GMT-0500 (Eastern Standard Time),1
A,A17WT0K0HFTW9U,1113221061646,0,12,train,1,[1 0],[0 1],1 2 3 6,4,1 1 1,[0 3];[1 1];[3 5],3 1 5,6224 4418 3795,97 97 98,0 1 2,14437,9,[1 0],1615388614.598,Wed Mar 10 2021 10:03:34 GMT-0500 (Eastern Standard Time),1
A,A17WT0K0HFTW9U,1113221061646,0,13,train,1,[1 0],[0 1],1 2 3 6,4,1 1 1,[0 3];[1 1];[3 5],3 1 5,2735 4229 5784,97 97 98,0 1 2,12748,9,[1 0],1615388632.834,Wed Mar 10 2021 10:03:52 GMT-0500 (Eastern Standard Time),1
A,A17WT0K0HFTW9U,1113221061646,0,14,train,1,[1 0],[0 1],1 2 3 6,4,2 1 2,[2 0];[1 1];[1 8],0 1 8,2147 5000 4050,98 97 99,0 1 2,11197,9,[1 0],1615388651.359,Wed Mar 10 2021 10:04:11 GMT-0500 (Eastern Standard Time),1
A,A17WT0K0HFTW9U,1113221061646,0,15,train,1,[0 1],[1 0],1 2 4 6,4,1 2 2,[0 3];[1 1];[6 5],0 1 6,2471 3861 4542,97 99 97,0 1 2,10874,7,[1 0],1615388665.858,Wed Mar 10 2021 10:04:25 GMT-0500 (Eastern Standard Time),1
